NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1585,4254,s,s,5895,124,0,11,0,135,302,s,0,s,340,8271,1080,316,1065,10732,673,s,0,s,724,154,2299,s,s,2541,s,s,4,8,416,96,4,9,173,282,s,s,2,1,1476,514,23,0,0,777,871,so,36,70,977,273,27,s,s,320,359,7,0,3,369,1617,so,25,65,1708
E12 - Industrie laitière,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,15,447,0,0,0,0,0,13,s,s,1,14,27,0,0,0,27,3,0,2,1,6,0,0,0,0,0,0,0,0,0,0,s,so,s,0,s,s,s,0,s,30,0,s,0,0,s,s,so,s,2,66
E13 - Sucreries,s,0,s,0,95,s,0,11,0,s,s,s,0,0,15,423,0,79,8,509,s,0,0,0,s,0,0,0,0,0,s,0,s,0,27,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,s,so,0,0,s,s,0,0,0,s,0,0,0,0,0,62,so,0,0,62
"E14 - Industries alimentaires, hors industrie du lait et du sucre",33,0,0,0,33,30,0,0,0,30,8,0,0,0,8,1310,1,138,98,1547,0,0,0,0,0,63,1,0,15,78,s,s,0,1,39,15,0,2,10,27,0,0,0,0,0,0,0,0,0,0,66,so,0,0,66,53,1,0,14,68,s,0,0,s,0,73,so,0,3,76
E16 - Sidérurgie,s,s,43,s,s,s,0,0,0,s,130,s,0,0,s,544,3,0,29,575,s,6,0,s,10,3,0,0,1,3,s,0,0,s,1,8,0,0,18,26,s,0,0,0,s,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,s,0,0,s,10,so,0,2,12
E18 - Métallurgie de première transformation des métaux non ferreux,s,0,0,0,s,s,0,0,0,s,0,s,0,0,s,265,0,0,17,282,s,17,0,0,s,0,0,0,1,1,s,0,0,s,s,s,s,0,3,4,s,0,0,0,s,s,0,0,0,s,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
E19 - Production de minéraux divers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,7,s,s,4,12,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
