TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Indicateurs,Nombre d'établissements,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,20957,5895,135,340,10732,724,2541,416,282,21066,1476,777,977,320,369,3919,24985,1708,9777,36470,507,467,35497
20 à 49 salariés,11592,30,s,9,724,s,82,s,105,1084,s,s,122,s,1,176,1260,29,909,2199,ns,ns,2182
50 à 99 salariés,4432,135,s,76,1105,196,56,s,58,1699,248,0,143,79,149,618,2317,161,1319,3798,ns,ns,3778
100 à 249 salariés,3387,446,46,64,3562,353,73,113,57,4715,s,s,310,131,210,725,5440,645,2527,8613,ns,ns,8443
250 à 499 salariés,1058,329,33,37,3224,17,1080,137,21,4877,615,705,349,74,1,1744,6621,557,2267,9446,ns,ns,8930
500 salariés ou plus,488,4955,s,155,2118,s,1249,s,41,8691,583,s,53,s,7,655,9346,315,2754,12415,ns,ns,12163
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2016.",,,,,,,,,,,,,,,,,,,,,,,
