"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13116,so,9262,9523,1025,111,326,334,35,108,530,510,106,199,139383,139383,3421,25,958,951,110,115,2316,2321,839,362,425,437,126,297,331424,333769,179,0.54,2280,3803,96,42,23726,23726,512,22,110376,113682,6667,60
20 à 49 salariés,so,so,1380,so,46,48,6,120,s,s,s,s,14,14,1,100,9402,9402,303,32,s,s,s,s,78,75,46,591,s,s,s,s,123898,124108,69,0.55,290,474,11,40,408,408,10,24,10557,10574,901,85
50 à 99 salariés,so,so,1643,so,213,218,19,90,s,s,s,s,108,113,16,149,14351,14351,410,29,261,257,25,94,51,51,30,589,s,s,s,s,67696,68549,36,0.53,262,556,9,34,2239,2239,49,22,15155,15339,1026,68
100 à 249 salariés,so,so,3478,so,719,721,93,129,107,112,12,111,98,96,26,261,46262,46262,1140,25,468,464,44,95,67,67,35,515,116,119,36,308,66915,67389,35,0.53,783,1207,37,48,8964,8964,197,22,28597,29380,1824,64
250 à 499 salariés,so,so,3074,so,537,532,47,87,78,81,10,123,61,55,14,235,41864,41864,940,22,20,22,8,412,978,986,401,410,144,144,39,270,25099,25397,14,0.55,838,1359,31,37,7741,7741,157,20,25116,26365,1413,56
500 salariés ou plus,so,so,3541,so,7746,8005,860,111,s,s,s,s,249,232,48,194,27503,27503,629,23,s,s,s,s,1142,1141,327,287,s,s,s,s,47816,48325,25,0.52,107,207,7,64,4373,4373,99,23,30951,32024,1505,49
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
