"REG_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Région,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,so,so,13116,so,9262,9523,1025,111,326,334,35,108,530,510,106,199,139383,139383,3421,25,958,951,110,115,2316,2321,839,362,425,437,126,297,331424,333769,179,0.54,2280,3803,96,42,23726,23726,512,22,110376,113682,6667,60
Île-de-France,so,so,544,so,42,41,5,111,0,0,0,so,4,2,1,215,8688,8688,193,22,13,13,2,145,4,4,3,715,1,1,0,317,12849,12954,7,0.57,s,s,s,s,62,62,3,52,4835,4850,330,68
Centre-Val de Loire,so,so,435,so,30,31,3,103,0,0,0,so,2,2,0,204,5261,5261,141,27,61,65,6,106,8,8,5,561,2,2,1,270,8917,8994,5,0.57,101,202,3,34,82,82,2,27,3743,3818,269,72
Bourgogne-Franche-Comté,so,so,659,so,94,94,8,88,0,0,0,so,15,13,4,242,6223,6223,176,28,0,0,0,so,18,18,9,513,20,21,6,312,21161,21679,11,0.51,88,364,1,9,1633,1633,44,27,s,6023,400,67
Normandie,so,so,1274,so,s,s,s,s,0,0,0,so,4,3,1,181,16761,16761,403,24,s,s,s,s,s,s,s,s,s,s,s,s,15844,16044,9,0.54,242,503,13,52,3414,3414,69,20,8441,8655,541,64
Hauts-de-France,so,so,2318,so,s,s,s,s,s,s,s,s,181,164,32,177,25583,25583,579,23,s,s,s,s,s,s,s,s,s,s,s,s,38125,38404,20,0.54,97,104,4,46,2381,2381,52,22,20736,21948,1044,50
