"TEFF_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateurs,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
Tranche d'effectif salarié,,,,,,,,,,,
Total industrie,4561,441,1697,3306,110376,113682,70292,11833,12197,8049,11311
20 à 49 salariés,64,10,57,17,10557,10574,7244,979,127,1199,1026
50 à 99 salariés,172,32,21,184,15155,15339,9785,1375,1113,1082,1984
100 à 249 salariés,900,141,258,783,28597,29380,18386,4205,961,2603,3224
250 à 499 salariés,2032,158,941,1249,25116,26365,16737,2746,2926,1278,2679
500 salariés ou plus,1394,100,421,1073,30951,32024,18141,2528,7070,1887,2398
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2016.",,,,,,,,,,,
