Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Toutes régions,1585,4254,s,s,5895,124,0,11,0,135,302,s,0,s,340,8271,1080,316,1065,10732,673,s,0,s,724,154,2299,s,s,2541,s,s,4,8,416,96,4,9,173,282,s,s,2,1,1476,514,23,0,0,777,871,so,36,70,977,273,27,s,s,320,359,7,0,3,369,1617,so,25,65,1708
Île-de-France,s,s,0,s,26,0,0,0,0,0,s,s,0,0,1,415,s,s,s,669,s,1,0,s,10,s,s,0,2,4,s,0,0,s,1,s,s,0,8,11,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,s,0,0,0,s,0,0,0,0,0,s,so,0,s,4
Centre-Val de Loire,19,0,0,0,19,0,0,0,0,0,1,0,0,0,1,324,0,25,56,405,s,s,0,0,50,6,0,0,3,9,2,0,0,0,2,s,s,0,4,8,0,0,0,0,0,0,0,0,0,0,50,so,0,2,52,10,0,0,7,17,0,s,0,s,0,4,so,0,2,6
Bourgogne-Franche-Comté,58,0,0,0,58,0,0,0,0,0,9,0,0,0,9,369,8,1,101,479,0,0,0,0,0,13,0,s,s,20,18,s,0,s,20,3,1,0,14,18,0,s,0,s,0,0,0,0,0,0,73,so,s,s,94,3,0,0,0,3,0,0,0,0,0,105,so,0,12,118
Normandie,s,0,s,0,s,0,0,0,0,0,2,0,0,0,2,840,352,9,90,1291,s,0,0,0,s,12,s,0,7,s,44,0,s,s,s,4,0,1,8,14,s,s,0,0,554,0,0,0,0,0,119,so,s,s,129,40,s,s,s,70,13,s,0,s,17,236,so,s,s,246
Hauts-de-France,s,s,0,0,s,s,0,11,0,s,97,13,0,0,110,1601,4,196,170,1970,176,s,0,0,s,9,s,s,9,s,53,0,s,1,s,13,0,1,19,32,227,2,0,1,230,0,0,0,0,0,24,so,0,3,27,9,1,0,1,12,59,s,0,s,63,165,so,0,6,171
Grand Est,s,0,s,0,1218,78,0,0,0,78,s,s,0,s,99,1513,467,45,175,2200,67,s,0,s,70,10,0,0,15,24,21,0,0,1,22,15,1,0,28,45,s,s,0,s,s,0,0,0,0,0,211,so,15,20,246,38,0,0,s,s,111,0,0,0,111,170,so,s,s,182
Pays de la Loire,s,0,0,0,s,s,0,0,0,s,8,0,0,0,8,433,0,3,61,498,40,0,0,0,40,s,s,s,8,22,s,s,s,0,12,5,0,1,11,17,0,0,0,0,0,0,0,0,0,0,32,so,0,6,38,s,0,0,0,s,s,0,0,0,s,58,so,s,s,71
Bretagne,s,0,0,0,s,0,0,0,0,0,8,0,0,0,8,352,s,s,39,392,0,0,0,0,0,20,0,s,s,25,12,0,0,s,s,3,0,2,6,10,0,0,0,0,0,s,0,0,0,s,9,so,0,s,s,0,0,0,0,0,0,s,0,s,0,31,so,0,3,34
Nouvelle-Aquitaine,s,s,s,s,s,0,0,0,0,0,13,0,0,0,13,458,1,11,79,550,s,s,0,0,44,30,s,0,6,s,s,s,s,1,136,7,0,1,18,27,3,5,0,0,8,221,23,0,0,484,185,so,11,4,201,90,0,0,0,90,9,0,0,0,9,340,so,s,s,351
Occitanie,s,s,0,0,s,0,0,0,0,0,0,0,0,0,0,282,1,0,38,320,51,s,0,0,s,7,0,0,4,11,15,0,0,0,16,s,s,1,11,18,0,0,0,s,s,s,0,0,0,s,s,so,0,7,s,s,0,0,s,6,33,0,0,0,33,s,so,s,1,32
