ID,NAF,Nombre d'établissements,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
_T,Total,20957,5895,135,340,10732,724,2541,416,282,21066,1476,777,977,320,369,3919,24985,1708,9777,36470,507,467,35497
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,ns,ns,1
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",222,0,0,0,39,0,s,s,65,108,s,0,s,s,0,20,128,s,64,202,ns,ns,202
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2868,s,s,22,2357,s,80,91,30,2801,0,0,93,77,0,170,2971,185,1567,4723,ns,ns,4452
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",383,0,0,0,140,0,12,2,7,162,0,0,5,33,0,38,200,18,171,389,ns,ns,387
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",13,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,6,0,3,9,ns,ns,9
13,Fabrication de textiles,476,0,0,0,110,0,5,3,3,121,s,0,0,0,s,0,121,0,93,214,ns,ns,214
14,Industrie de l'habillement,297,0,0,0,12,0,0,0,1,14,0,0,0,0,0,0,14,0,11,24,ns,ns,24
15,Industrie du cuir et de la chaussure,210,0,0,0,8,0,1,0,0,9,0,0,0,0,0,0,10,0,10,20,ns,ns,20
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",828,0,0,0,54,0,3,3,14,74,0,s,s,0,0,333,407,10,179,596,ns,ns,580
17,Industrie du papier et du carton,577,s,0,0,866,0,8,s,6,939,0,s,323,52,s,1138,2077,378,740,3196,ns,ns,3009
18,Imprimerie et reproduction d'enregistrements,658,0,0,0,s,0,1,0,1,s,0,0,0,0,1,1,s,s,116,165,ns,ns,165
20,Industrie chimique,950,401,s,25,3041,s,2307,97,14,5907,1356,s,101,s,6,1551,7458,945,1641,10044,ns,ns,9628
21,Industrie pharmaceutique,301,0,0,0,175,0,s,0,1,s,0,0,0,0,s,s,178,38,206,423,ns,ns,419
22,Fabrication de produits en caoutchouc et en plastique,1468,0,0,0,226,0,12,9,7,253,s,0,s,0,0,18,271,53,581,905,ns,ns,892
23,Fabrication d'autres produits minéraux non métalliques,976,202,26,33,1427,543,12,159,28,2431,55,0,74,77,354,560,2990,19,697,3706,ns,ns,3705
24,Métallurgie,456,s,s,236,1058,s,9,5,34,6662,s,0,s,0,s,58,6720,18,1879,8617,ns,ns,8575
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3483,s,s,s,332,0,37,0,10,387,0,0,2,0,0,2,389,1,433,823,ns,ns,823
26,"Fabrication de produits informatiques, électroniques et optiques",759,0,0,0,s,0,0,0,3,s,0,0,0,0,0,0,s,s,183,226,ns,ns,226
27,Fabrication d'équipements électriques,841,0,0,s,116,0,5,0,5,s,s,0,s,0,0,s,138,1,188,327,ns,ns,326
28,Fabrication de machines et équipements n.c.a.,1691,0,0,0,146,0,10,2,13,171,0,0,1,0,0,2,173,0,218,390,ns,ns,390
29,Industrie automobile,724,0,0,6,311,0,9,1,4,331,2,0,2,0,0,3,334,13,409,757,ns,ns,750
30,Fabrication d'autres matériels de transport,341,0,0,0,s,0,5,s,3,116,s,0,s,0,s,6,121,4,167,292,ns,ns,292
31,Fabrication de meubles,438,0,0,0,20,0,2,0,2,24,0,0,17,0,0,17,42,0,49,91,ns,ns,91
32,Autres industries manufacturières,505,0,0,0,31,0,1,0,1,33,0,0,0,0,0,0,33,2,74,108,ns,ns,108
33,Réparation et installation de machines et d'équipements,1021,0,0,0,16,0,1,0,2,19,0,0,0,0,0,0,19,s,34,55,ns,ns,55
38,"Collecte, traitement et élimination des déchets ; récupération",464,0,0,0,47,0,18,0,27,92,0,0,s,s,0,0,92,10,62,164,ns,ns,153
