ID,REG,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
FRA,France,4561,441,1697,3306,110376,113682,70292,11833,12197,8049,11311
IDF,Ile-de-France,s,s,s,14,4835,4850,2584,848,70,684,664
CVL,Centre-Val de Loire,126,1,52,75,3743,3818,2562,463,23,345,424
BFC,Bourgogne-Franche-Comté,s,s,s,s,s,6023,3704,s,s,379,516
NOR,Normandie,s,s,198,214,8441,8655,6756,597,48,522,733
HDF,Hauts-de-France,s,s,340,1212,20736,21948,12055,1912,5195,814,1973
GRE,Grand Est,895,117,329,683,16395,17078,12725,1936,145,947,1325
PAL,Pays de la Loire,s,s,s,s,s,6228,4325,570,54,466,813
BRE,Bretagne,6,1,3,4,4350,4355,2645,319,22,354,1014
NOA,Nouvelle-Aquitaine,s,s,136,319,7477,7796,5329,899,313,503,752
OCC,Occitanie,s,s,87,263,4842,5105,2853,s,s,481,642
ARA,Auvergne-Rhône-Alpes,206,72,154,125,19183,19308,8874,2916,3478,2171,1869
PAC,Provence-Alpes-Côte d'Azur,s,s,102,316,7689,8005,5535,270,1382,372,446
DOM,Départements d’Outre-mer,s,s,s,s,s,512,344,s,s,13,139
