naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,136,0,0,0,,1426,1426,48,33,,,,,0,0,0,,5,5,2,506,3,3,1,378,3334,3533,2,0.52,,,,,0,0,0,,0,0,,,,,,,,,1080,1086,,83,77
14,Industrie de l'habillement,18,0,0,0,,162,162,6,39,,,,,0,0,0,,0,0,0,550,0,0,0,,1158,1105,1,0.58,,,,,0,0,0,,4,0,43,,,,,,,,,123,,11,89
15,Industrie du cuir et de la chaussure,16,0,0,0,,104,104,4,41,,,,,0,0,0,,1,1,0,470,0,0,0,444,430,438,0,0.52,,,,,0,0,0,103,0,0,,,,,,,,,116,116,,11,97
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",199,0,0,0,,703,703,20,29,,,,,0,0,0,,3,3,2,635,3,3,1,396,16392,16368,9,0.55,,,,,,,,,278,3,19,,,,,,,,2078,2080,,154,74
17,Industrie du papier et du carton,806,0.0,0.0,0.0,,11247,11247,251,22,,,,,0,0,0,,8,8,5,630,,,,,7288,7317,4,0.55,,,,,979,1256,42,43,10512,95,18,,,,,,,,7753,8606,,396,51
18,Imprimerie et reproduction d'enregistrements,131,0,0,0,,,,,,,,,,0,0,0,,1,1,0,550,0,0,0,,1511,1628,1,0.49,,,,,1,1,0,50,,,,,,,,,,,1347,1347,,108,80
20,Industrie chimique,2861,697.0,686.0,70.0,333.0,39499,39499,797,20,,,,,,,,,2101,2106,719,342,95,102,28,291,16948,17084,9,0.52,,,,,309,394,16,52,26246,296,23,,,,,,,,18460,19082,,919,50
21,Industrie pharmaceutique,266,0,0,0,,2278,2278,71,31,,,,,0,0,0,,,,,,0,0,0,,790,921,0,0.57,,,,,0,0,0,,1066,16,30,,,,,,,,2397,2401,,178,74
22,Fabrication de produits en caoutchouc et en plastique,619,0,0,0,,2930,2930,93,32,,,,,0,0,0,,11,11,7,648,9,9,3,362,7923,7925,4,0.53,,,,,,,,,1476,14,20,,,,,,,,,6758,,496,74
23,Fabrication d'autres produits minéraux non métalliques,1085,439,441,51,498,18530,18530,414,22,,,,,722,712,74,102,11,11,6,574,166,167,42,254,32710,32974,17,0.53,,,,,245,287,5,21,520,8,29,,,,,,,,,8100,,468,58
