naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,94,0,0,16,,,,,0,3,,,,,,,,,,,,,
14,Industrie de l'habillement,9,0,0,4,,,,0,,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,3,0,0,5,,,,0,0,,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",34,0,,,,,,,0,11,,,,,,,,,,,,,
17,Industrie du papier et du carton,791,0,37,37,,,,,,4,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,28,0,0,,,,0,0,0,1,,,,,,,,,,,,,
20,Industrie chimique,1866,1053,36,87,,,5,1,0,8,,,,,,,,,,,,,
21,Industrie pharmaceutique,142,0,0,33,,,,,0,0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,160,,,59,,,1,0,0,5,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1367,,,,,,8,0,1,19,,,,,,,,,,,,,
24,Métallurgie,974,3,0,82,,,11,0,0,23,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",215,0,0,117,,,1,0,0,9,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",7,,0,32,,,0,0,0,3,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,,,,51,,,0,0,1,4,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,51,0,0,95,,,5,0,0,7,,,,,,,,,,,,,
29,Industrie automobile,160,5,5,141,,,1,0,0,2,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,33,,0,67,,,,,0,2,,,,,,,,,,,,,
31,Fabrication de meubles,9,0,0,11,,,,0,0,,,,,,,,,,,,,,
32,Autres industries manufacturières,14,0,0,17,,,0,,,1,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,,,0,14,,,,,0,2,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",43,0,1,3,,,5,1,0,21,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",39,0,0,1,,,34.0,0.0,,31,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2165,1,217,121,,,19,0,4,14,,,,,,,,,,,,,
_T,Total,8271,1080,316,1065,,,96,4,9,173,,,,,,,,,,,,,
