reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1749,50.0,49.0,15.0,303.0,16598,16598,448,27,,,,,137,140,26,188,,,,,61,61,16,265,34324,34649,19,0.55,,,,,263,296,9,35,6446,79,24,,,,,,,,19183,19308,,1074,56
BFC,Bourgogne-Franche-Comté,659,109.0,107.0,12.0,330.0,6223,6223,176,28,,,,,0,0,0,,18,18,9,513,20,21,6,312,21161,21679,11,0.51,,,,,88,364,1,9,3266,44,27,,,,,,,,,6023,,400,67
BRE,Bretagne,516,12.0,11.0,1.0,94.0,5085,5085,155,30,,,,,0,0,0,,23,22,11,472,,,,,12024,12269,6,0.51,,,,,,,,,952,12,25,,,,,,,,4350,4355,,323,74
CVL,Centre-Val de Loire,435,32.0,33.0,3.0,307.0,5261,5261,141,27,,,,,61,65,6,106,8,8,5,561,2,2,1,270,8917,8994,5,0.57,,,,,101,202,3,34,164,2,27,,,,,,,,3743,3818,,269,72
DOM,Départements d’Outre-mer,79,0.0,0.0,0.0,,1,1,0,26,,,,,0,0,0,,1,1,1,1168,3,3,1,422,22269,22323,12,0.53,,,,,,,,,1824,11,13,,,,,,,,,512,,53,106
FRA,France,13116,10118.0,10367.0,1166.0,418,139383,139383,3421,25,,,,,958,951,110,115,2316,2321,839,362,425,437,126,297,331424,333769,179,0.54,,,,,2280,3803,96,42,47452,512,22,,,,,,,,110376,113682,,6667,60
GRE,Grand Est,2074,2062.0,2309.0,291.0,461,28575,28575,656,23,,,,,96,92,9,94,20,22,13,653,23,23,6,271,52407,52731,29,0.55,,,,,679,958,29,43,5046,56,22,,,,,,,,16395,17078,,985,60
HDF,Hauts-de-France,2318,181.0,164.0,32.0,177.0,25583,25583,579,23,,,,,,,,,,,,,,,,,38125,38404,20,0.54,,,,,97,104,4,46,4762,52,22,,,,,,,,20736,21948,,1044,50
IDF,Ile-de-France,544,46.0,43.0,6.0,326.0,8688,8688,193,22,,,,,13,13,2,145,4,4,3,715,1,1,0,317,12849,12954,7,0.57,,,,,,,,,124,3,52,,,,,,,,4835,4850,,330,68
NOA,Nouvelle-Aquitaine,891,20.0,19.0,6.0,330.0,7142,7142,192,27,,,,,56,58,4,79,,,,,134,143,39,294,32102,31817,18,0.56,,,,,411,781,18,44,9736,95,20,,,,,,,,7477,7796,,488,65
NOR,Normandie,1274,4.0,3.0,1.0,181.0,16761,16761,403,24,,,,,,,,,,,,,,,,,15844,16044,9,0.54,,,,,242,503,13,52,6828,69,20,,,,,,,,8441,8655,,541,64
OCC,Occitanie,507,0.0,0.0,0.0,,4157,4157,117,28,,,,,,,,,10,10,5,534,17,17,7,390,21454,21382,12,0.54,,,,,,,,,882,9,20,,,,,,,,4842,5105,,331,68
PAC,Provence-Alpes-Côte d'Azur,1368,2342.0,2377.0,248.0,218.0,8844,8844,177,20,,,,,165,168,12,73,1206,1210,458,380,34,34,8,248,39714,39897,20,0.51,,,,,,,,,5454,58,21,,,,,,,,7689,8005,,376,49
PAL,Pays de la Loire,701,12.0,11.0,3.0,270.0,6463,6463,184,29,,,,,60,53,5,77,20,20,11,549,12,12,4,370,20233,20625,11,0.54,,,,,69,149,4,63,1966,21,21,,,,,,,,,6228,,457,74
