NCE_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Indicateurs,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,
Total industrie,19421,6092,10524,594,2362,259,282,20113,3339,790,934,365,283,5710,25824,1828,9724,37376,575,446,36354
E12 - Industrie laitière,365,0,462,0,14,23,5,505,0,0,26,32,0,58,563,60,301,924,ns,ns,921
E13 - Sucreries,32,s,556,s,0,0,4,736,0,0,s,s,0,10,746,65,91,902,ns,ns,807
"E14 - Industries alimentaires, hors industrie du lait et du sucre",2630,111,1397,0,59,61,19,1647,s,0,64,135,s,200,1847,124,1393,3364,ns,ns,3219
E16 - Sidérurgie,63,4965,629,10,3,1,31,5640,s,0,s,0,s,7,5647,23,918,6588,ns,ns,6536
E18 - Métallurgie de première transformation des métaux non ferreux,92,s,282,s,1,5,4,s,s,0,0,0,0,s,s,s,727,1172,ns,ns,1172
E19 - Production de minéraux divers,46,0,7,0,1,s,12,s,0,0,0,0,0,0,s,s,22,53,ns,ns,51
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",68,180,256,410,1,12,13,871,46,0,44,64,233,386,1257,s,214,1479,ns,ns,1479
E21 - Production d'autres matériaux de construction et de céramique,733,s,442,s,8,7,71,575,s,0,15,11,s,43,618,s,223,850,ns,ns,850
E22 - Industrie du verre,208,0,819,0,s,90,2,s,s,0,0,0,0,s,916,1,314,1231,ns,ns,1230
E23 - Fabrication d'engrais,37,0,877,0,1,3,2,883,0,0,s,s,0,16,899,0,63,962,ns,ns,959
E24 - Autres industries de la chimie minérale,89,382,408,s,2,s,2,806,266,0,s,0,s,284,1090,270,740,2100,ns,ns,1950
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",83,s,140,0,0,s,0,208,0,0,0,0,0,0,208,160,155,524,ns,ns,499
E26 - Autres industries de la chimie organique de base,357,0,1426,s,2127,s,5,3563,3004,s,49,s,13,3096,6659,586,692,7938,ns,ns,7624
E28 - Parachimie et industrie pharmaceutique,608,0,166,0,19,1,3,189,0,0,7,0,0,7,196,13,217,426,ns,ns,426
E29 - Fonderie et travail des métaux,3362,144,483,0,47,0,14,688,0,0,2,0,0,3,691,1,630,1322,ns,ns,1321
E30 - Construction mécanique,2409,0,147,0,12,0,9,168,0,0,1,0,0,1,169,0,223,393,ns,ns,393
E31 - Construction électrique et électronique,1457,s,140,0,6,0,4,s,0,0,s,0,0,s,s,s,368,532,ns,ns,531
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,669,s,347,0,s,1,8,373,s,0,2,0,s,3,376,17,434,827,ns,ns,819
"E33 - Construction navale et aéronautique, armement",439,0,109,0,3,0,3,115,s,0,s,0,0,5,120,3,209,332,ns,ns,332
"E34 - Industrie textile, du cuir et de l'habillement",943,0,148,0,7,2,4,161,0,0,0,0,0,0,161,0,110,271,ns,ns,271
E35 - Industrie du papier et du carton,521,16,828,0,7,26,5,881,s,766,363,s,s,1220,2101,390,722,3214,ns,ns,3023
E36 - Fabrication de produits en caoutchouc,153,0,70,0,s,s,0,73,0,0,11,0,0,11,84,42,111,237,ns,ns,223
E37 - Fabrication de produits en plastique,1201,0,132,0,11,13,6,162,0,0,4,0,0,4,166,17,449,631,ns,ns,631
E38 - Industries diverses,2857,0,251,0,15,3,56,325,0,s,318,s,s,354,679,29,396,1104,ns,ns,1088
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2017.",,,,,,,,,,,,,,,,,,,,,
