"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13279,so,9600,9891,1628,170,136676,136676,3254,24,770,780,102,132,2170,2157,924,426,269,272,114,423,373078,334243,233,0.62,2200,3636,90,41,25393,25393,561,22,109718,113067,6374,58
E12 - Industrie laitière,so,so,434,so,0,0,0,so,5996,5996,152,25,0,0,0,so,13,13,7,502,25,25,12,482,5945,5962,3,0.58,101,102,7,71,838,838,22,26,3488,3505,231,66
E13 - Sucreries,so,so,251,so,s,s,s,s,7225,7225,161,22,s,s,s,s,0,0,0,1139,0,0,0,so,6920,4467,4,0.65,s,s,s,s,900,900,14,15,392,1053,30,76
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1690,so,199,192,17,86,18140,18140,499,28,0,0,0,so,54,54,32,602,65,65,40,619,22439,22082,13,0.59,248,251,12,48,1718,1718,40,23,s,16202,1035,67
E16 - Sidérurgie,so,so,1997,so,7689,7998,1359,177,8175,8175,166,20,14,14,3,208,3,3,2,519,1,1,1,508,39704,36986,23,0.59,s,s,s,s,316,316,4,14,10390,10679,438,42
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,379,so,s,s,s,s,3665,3665,78,21,s,s,s,s,1,1,0,595,5,5,2,370,4393,4394,3,0.63,0,0,0,so,s,s,s,s,8455,8455,261,31
E19 - Production de minéraux divers,so,so,30,so,0,0,0,so,95,95,2,26,0,0,0,so,1,1,1,556,s,s,s,s,13855,13842,9,0.65,0,0,0,so,s,s,s,s,s,s,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",so,so,297,so,310,306,33,105,3320,3320,68,20,526,538,54,104,1,1,0,579,12,13,3,269,14725,14906,9,0.61,171,171,4,21,s,s,s,s,s,s,s,s
E21 - Production d'autres matériaux de construction et de céramique,so,so,394,so,s,s,s,s,5744,5744,127,22,s,s,s,s,7,7,5,661,7,7,3,433,95214,84315,59,0.62,54,56,3,47,s,s,s,s,s,s,s,s
E22 - Industrie du verre,so,so,456,so,0,0,0,466,10638,10638,222,21,0,0,0,so,s,s,s,s,92,95,28,298,2799,2660,2,0.61,0,0,0,so,17,17,0,18,3645,3648,203,56
E23 - Fabrication d'engrais,so,so,237,so,0,0,0,so,11384,11384,197,17,0,0,0,so,1,1,1,510,3,3,1,498,2850,2582,2,0.64,s,s,s,s,0,0,0,so,s,730,35,55
E24 - Autres industries de la chimie minérale,so,so,639,so,621,630,74,120,5301,5301,105,20,s,s,s,s,2,2,1,538,s,s,s,s,7333,2627,5,0.65,s,s,s,s,3751,3751,95,25,s,8606,350,42
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",so,so,203,so,s,s,s,s,1821,1821,42,23,0,0,0,so,0,0,0,751,s,s,s,s,454,458,0,0.6,0,0,0,so,2225,2225,51,23,s,1806,96,55
E26 - Autres industries de la chimie organique de base,so,so,1789,so,0,0,0,so,18518,18518,394,21,s,s,s,s,1953,1942,789,404,s,s,s,s,7018,5977,4,0.61,168,189,9,55,8137,8137,189,23,7736,8050,401,52
E28 - Parachimie et industrie pharmaceutique,so,so,279,so,0,0,0,so,2156,2156,68,32,0,0,0,so,18,17,12,669,1,1,1,862,4613,3741,3,0.59,27,27,2,64,184,184,6,32,s,2523,188,75
E29 - Fonderie et travail des métaux,so,so,810,so,222,222,61,275,6277,6277,188,30,0,0,0,481,44,43,28,635,0,0,0,754,16628,16213,10,0.63,4,9,0,65,13,13,1,46,7322,7331,521,71
E30 - Construction mécanique,so,so,295,so,0,0,0,so,1915,1915,71,37,0,0,0,so,10,11,7,657,0,0,0,731,10683,10653,7,0.65,1,4,0,91,4,4,0,47,2594,2595,210,81
E31 - Construction électrique et électronique,so,so,383,so,s,s,s,s,1820,1820,65,36,0,0,0,so,6,6,4,610,0,0,0,604,5388,5190,3,0.6,s,s,s,s,s,s,s,s,4268,4278,306,72
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,so,so,463,so,s,s,s,s,4501,4501,129,29,0,0,0,so,s,s,s,s,1,1,1,615,9431,9489,6,0.67,3,6,0,61,237,237,4,18,5014,5046,314,63
