NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueur noire,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1640,4379,s,s,6092,7970,1027,313,1213,10524,552,s,s,s,594,135,2147,2,72,2362,218,0,1,39,259,64,5,8,205,282,s,s,2,0,3339,768,22,0,0,790,859,so,22,53,934,307,41,s,s,365,248,s,s,s,283,1716,so,30,67,1828
E12 - Industrie laitière,0,0,0,0,0,406,0,0,55,462,0,0,0,0,0,s,0,s,2,14,s,0,0,s,23,3,0,2,1,5,0,0,0,0,0,0,0,0,0,0,26,so,0,0,26,s,s,0,s,32,0,0,0,0,0,59,so,0,1,60
E13 - Sucreries,167,0,s,0,s,492,0,58,6,556,s,0,0,0,s,0,s,0,s,0,0,0,0,0,0,s,0,s,2,4,0,0,0,0,0,0,0,0,0,0,s,so,0,0,s,s,0,0,0,s,0,0,0,0,0,65,so,0,0,65
"E14 - Industries alimentaires, hors industrie du lait et du sucre",111,0,0,0,111,1164,1,139,92,1397,0,0,0,0,0,46,s,0,s,59,28,0,0,34,61,10,0,1,8,19,0,0,s,0,s,0,0,0,0,0,64,so,0,0,64,s,2,s,12,135,0,0,0,s,s,117,so,0,3,124
E16 - Sidérurgie,s,4346,s,s,4965,600,s,0,s,629,4,s,0,s,10,3,0,0,1,3,s,0,0,s,1,s,0,0,s,31,s,0,0,0,s,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,s,0,0,s,21,so,0,2,23
E18 - Métallurgie de première transformation des métaux non ferreux,s,s,0,0,s,266,0,0,16,282,s,s,0,0,s,0,0,0,0,1,5,0,0,0,5,0,0,0,3,4,s,0,0,0,s,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,0,s
