SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
Année,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2005,2006,2007,2008,2009,2010,2011,2012.0,2013 (ancienne série estimée),2013 (nouvelle série),2014.0,2015.0,2016.0,2017.0
Indicateurs,,,,,,,,,,,,,,,,,,,,,,,,
Consommation brute (en millions de TEP),32.9,33.4,34.6,34.5,34.4,33.7,33.1,32.7,33.3,32.9,43.340975184582,42.617768892919,42.081138401541,42.147591856401,35.978163489245,37.17612747459,36.037379890115,35.314726658085,35.36,37.007753938874,37.096529639502,37.4,38.11,37.4
Consommation nette (en millions de TEP),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,41.014140371139,40.482683251783,40.104129067287,40.267321586156,34.152328052199,35.357677898625,34.545335815192,33.825711999565,33.96,35.630792562303,35.902330747801,36.183608937,37.137,36.4
Facture énergétique (en millions d'euros courants),7603,7894,7770,7569,8477,8762,8327,8462,9031,10356,12091.993419521,13550.569278254,13680.211681368,15398.518434125,12580.292613589,13767.574278663,14767.300643655,15256.203683254,15052,15894.281006577,15174.828282562,14304.416496,13116.0,13300.0
Electricité consommée hors utilisation en tant que matière première (en %),36.6,37.8,37.7,38.3,39.3,38.6,38.1,39.4,38.9,39.6,32.2,32.1,33,32.1,32.9,32.4,32.4,32.2,so,32.2,32.3,32.6,32.5,32.9
"Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant que matière première (en %)",5.5,5.1,4.9,4.4,5.6,4.1,7.1,5.1,4.2,4.9,4.5,4.9,5,4.7,4.4,4.9,6.4,6.3,so,6,5.6,7.5,6.9,5.8
Gaz de réseau consommé hors utilisation en tant que matière première (en %),37.6,38.4,38.6,39,37.8,38,36.4,37.7,37.3,37,32.6,32.2,32.3,31.2,32,32.9,32.5,33.8,so,34.6,33.7,32.2,32.1,32.1
"Produits pétroliers (coke de pétrole, butane-propane, fioul lourd et fioul domestique) consommés hors utilisation en tant que matière première (en %)",18.1,16.8,16.7,15.5,13.8,14.3,12.6,11.9,13.4,11.5,9.7,9.5,8.7,8,8,7.4,7.5,6.8,so,6.2,5.6,5.2,5.1,4.4
