"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13279,so,9600,9891,1628,170,136676,136676,3254,24,770,780,102,132,2170,2157,924,426,269,272,114,423,373078,334243,233,0.62,2200,3636,90,41,25393,25393,561,22,109718,113067,6374,58
20 à 49 salariés,so,so,1475,so,159,158,15,93,8310,8310,271,33,s,s,s,s,64,63,46,722,s,s,s,s,142248,126732,91,0.64,235,419,12,50,656,656,19,29,12427,12446,978,79
50 à 99 salariés,so,so,1574,so,477,482,65,137,14385,14385,387,27,223,234,25,111,49,48,30,615,35,35,14,413,74867,69586,46,0.61,251,401,8,33,2718,2718,61,23,14394,14458,937,65
100 à 249 salariés,so,so,3180,so,845,842,134,158,44569,44569,1052,24,322,326,38,118,66,66,36,549,48,50,18,366,71864,62279,44,0.61,1024,1483,44,43,9053,9053,196,22,26793,27687,1619,60
250 à 499 salariés,so,so,3051,so,644,641,77,119,42516,42516,935,22,10,10,2,210,1047,1038,467,446,90,90,32,359,27226,24301,17,0.61,595,1166,20,33,7944,7944,163,21,24905,26052,1337,54
500 salariés ou plus,so,so,3999,so,7475,7768,1338,179,26895,26895,608,23,s,s,s,s,943,942,344,364,s,s,s,s,56873,51346,35,0.61,95,166,6,64,5022,5022,122,24,31200,32425,1503,48
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
