TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueur noire,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1640,4379,s,s,6092,7970,1027,313,1213,10524,552,s,s,s,594,135,2147,2,72,2362,218,0,1,39,259,64,5,8,205,282,s,s,2,0,3339,768,22,0,0,790,859,so,22,53,934,307,41,s,s,365,248,s,s,s,283,1716,so,30,67,1828
20 à 49 salariés,88,8,0,0,97,504,4,0,132,640,s,s,0,0,s,43,6,0,18,69,s,0,s,35,s,s,s,1,76,107,s,1,0,s,s,0,s,0,s,s,83,so,10,15,108,s,s,0,8,48,0,0,s,s,s,44,so,0,0,47
50 à 99 salariés,s,s,s,0,287,909,40,1,158,1108,s,s,0,0,178,35,0,s,s,53,33,0,0,0,33,11,1,1,46,59,s,s,0,0,188,0,0,0,0,0,93,so,0,10,103,50,29,0,0,79,84,0,0,3,88,181,so,2,3,196
100 à 249 salariés,336,155,s,s,502,2616,378,87,351,3432,237,s,s,s,249,37,7,2,25,72,45,0,0,2,47,13,0,2,37,53,s,12,0,0,s,s,0,s,0,s,370,so,s,s,381,95,s,s,0,101,155,0,0,0,157,628,so,5,15,652
250 à 499 salariés,346,s,s,s,382,2248,589,158,279,3274,s,1,0,s,8,12,1116,s,s,1136,84,0,s,s,86,s,s,2,14,21,2528,s,0,s,2528,706,0,0,0,706,284,so,s,s,300,128,0,0,s,s,s,s,0,0,s,546,so,7,18,572
500 salariés ou plus,s,4117,s,0,4824,1693,16,68,294,2071,s,s,0,0,s,9,1018,s,s,1031,s,0,0,s,s,7,2,2,31,43,589,0,2,0,590,s,0,0,0,s,29,so,0,13,43,s,0,0,s,s,s,s,0,s,9,317,so,15,30,362
