"NAF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13279,so,9600,9891,1628,170,136676,136676,3254,24,770,780,102,132,2170,2157,924,426,269,272,114,423,373078,334243,233,0.62,2200,3636,90,41,25393,25393,561,22,109718,113067,6374,58
07 - Extraction de minerais métalliques,so,so,1,so,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
08 - 09 - Industries extractives,so,so,111,so,0,0,0,so,415,415,10,24,0,0,0,so,s,s,s,s,s,s,s,s,78144,75896,48,0.62,s,s,s,s,s,s,s,s,s,s,s,s
10 - Industries alimentaires,so,so,2155,so,545,523,59,108,29752,29752,758,25,s,s,s,s,s,s,s,s,88,87,51,582,29923,27125,18,0.6,333,337,18,55,3416,3416,75,22,17255,18576,1139,66
11 - Fabrication de boissons,so,so,218,so,0,0,0,so,1554,1554,54,34,0,0,0,so,5,5,3,580,2,2,1,534,5364,5365,3,0.6,16,16,1,38,40,40,1,17,s,2168,156,72
12 - Fabrication de produits à base de tabac,so,so,3,so,0,0,0,so,54,54,1,24,0,0,0,so,0,0,0,so,0,0,0,so,18,21,0,0.74,0,0,0,so,0,0,0,so,16,17,2,103
13 - Fabrication de textiles,so,so,126,so,0,0,0,so,1640,1640,46,28,0,0,0,so,4,4,2,539,2,2,1,496,3628,3191,2,0.61,0,0,0,so,0,0,0,so,s,1048,74,71
14 - Industrie de l'habillement,so,so,17,so,0,0,0,so,165,165,6,36,0,0,0,so,0,0,0,844,0,0,0,so,1082,1049,1,0.61,0,0,0,so,1,1,0,144,109,109,10,89
15 - Industrie du cuir et de la chaussure,so,so,19,so,0,0,0,so,117,117,5,44,0,0,0,so,2,2,2,772,0,0,0,800,587,563,0,0.58,0,1,0,117,0,0,0,so,124,124,12,95
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,189,so,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,3,3,1,484,29506,20966,19,0.64,s,s,s,s,135,135,2,18,2007,2007,136,68
17 - Industrie du papier et du carton,so,so,767,so,25,25,3,103,10759,10759,239,22,0,0,0,so,6,6,4,675,27,27,9,348,5432,5412,3,0.63,967,1412,36,37,5418,5418,102,19,7561,8399,371,49
18 - Imprimerie et reproduction d'enregistrements,so,so,114,so,0,0,0,so,525,525,17,32,0,0,0,so,1,1,1,846,0,0,0,so,1697,1698,1,0.6,s,s,s,s,s,s,s,s,1182,1183,95,80
20 - Industrie chimique,so,so,2897,so,730,738,87,119,37000,37000,743,20,s,s,s,s,1974,1963,802,406,s,s,s,s,21072,14266,13,0.62,s,s,s,s,13653,13653,323,24,18584,19312,904,49
21 - Industrie pharmaceutique,so,so,249,so,0,0,0,so,2180,2180,63,29,0,0,0,so,1,1,0,727,0,0,0,1381,s,s,s,s,0,0,0,so,644,644,18,28,2382,2404,166,70
22 - Fabrication de produits en caoutchouc et en plastique,so,so,553,so,0,0,0,so,2632,2632,80,31,0,0,0,so,12,12,7,617,12,14,5,448,7670,7278,5,0.59,10,56,2,166,820,820,15,18,s,6513,439,68
23 - Fabrication d'autres produits minéraux non métalliques,so,so,1065,so,361,357,51,141,19382,19382,409,21,542,555,62,114,11,11,7,640,110,113,33,299,47388,38757,29,0.62,211,213,5,25,235,235,6,27,8313,8330,463,56
24 - Métallurgie,so,so,2663,so,7900,8210,1417,179,14280,14280,307,21,s,s,s,s,s,s,s,s,6,6,2,400,48558,45822,29,0.6,1,1,0,119,316,316,4,14,21358,21656,861,40
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,545,so,s,s,s,s,3948,3948,129,33,0,0,0,so,39,38,25,637,0,0,0,756,s,s,s,s,3,8,0,50,13,13,1,46,5031,5031,377,75
"26 - Fabrication de produits informatiques, électroniques et optiques",so,so,174,so,0,0,0,so,s,s,s,s,0,0,0,so,0,0,0,561,0,0,0,742,825,839,1,0.66,0,0,0,so,s,s,s,s,2174,2174,158,73
