Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueur noire,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Toutes régions,1640,4379,s,s,6092,7970,1027,313,1213,10524,552,s,s,s,594,135,2147,2,72,2362,218,0,1,39,259,64,5,8,205,282,s,s,2,0,3339,768,22,0,0,790,859,so,22,53,934,307,41,s,s,365,248,s,s,s,283,1716,so,30,67,1828
Île-de-France,s,s,0,s,26,378,s,8,s,605,7,s,0,s,9,2,0,0,3,5,0,0,0,0,0,s,s,0,11,15,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,s,0,0,0,s,0,0,0,0,0,s,so,0,s,7
Centre-Val de Loire,17,0,0,0,17,299,0,34,54,387,36,0,0,0,37,6,0,0,4,10,5,0,0,0,6,s,s,1,4,8,0,0,0,0,0,0,0,0,0,0,31,so,0,2,33,10,0,0,8,18,s,0,0,s,0,4,so,0,1,5
Bourgogne-Franche-Comté,s,s,0,0,s,332,s,0,s,445,0,0,0,0,0,14,s,s,7,22,s,0,0,0,s,2,1,0,10,15,s,s,0,0,0,0,0,0,0,0,56,so,s,s,65,5,0,s,0,s,s,s,0,s,s,s,so,0,s,125
Normandie,66,0,s,0,s,705,279,9,147,1139,s,0,0,0,s,10,s,2,6,s,s,0,s,1,24,4,0,2,10,15,s,s,0,0,547,0,0,0,0,0,s,so,s,0,128,26,s,s,s,s,s,0,0,0,s,239,so,s,s,246
Hauts-de-France,219,s,6,0,s,1780,3,172,159,2114,s,s,s,0,179,8,s,0,8,s,s,0,0,s,23,7,0,0,21,31,s,10,0,s,s,0,0,0,0,0,s,so,0,3,s,s,1,0,s,83,61,s,0,s,68,184,so,0,8,192
Grand Est,1010,s,s,s,1040,1467,511,52,202,2231,67,s,0,s,69,s,s,s,11,22,12,0,0,1,13,7,2,0,31,42,s,s,0,s,s,0,0,s,s,s,239,so,s,10,s,s,0,0,s,63,64,0,0,0,64,225,so,s,s,247
Pays de la Loire,9,0,0,0,9,363,3,2,67,434,38,0,0,0,38,s,s,0,7,23,s,s,s,1,9,5,0,1,14,19,0,0,0,0,0,0,0,0,0,0,s,so,0,12,s,14,0,0,0,14,s,0,s,0,s,61,so,s,s,74
Bretagne,s,0,0,0,s,294,s,s,82,377,0,0,0,0,0,s,0,s,6,30,s,0,0,s,s,3,0,1,6,10,0,0,0,0,0,s,0,0,0,s,s,so,0,0,s,0,0,0,0,0,0,0,0,0,0,51,so,0,3,56
Nouvelle-Aquitaine,78,0,s,s,s,440,s,s,s,530,s,0,0,0,s,15,0,0,5,22,s,0,s,0,46,7,0,0,18,25,s,s,0,0,10,s,s,0,0,496,216,so,s,s,225,47,0,0,0,47,8,0,0,25,33,338,so,s,s,351
Occitanie,s,s,0,0,87,267,1,0,39,307,s,s,0,0,56,6,0,0,2,9,s,s,0,0,16,6,0,1,11,19,s,0,0,0,s,s,0,0,0,s,s,so,0,5,s,s,s,0,s,16,27,0,0,0,27,s,so,s,2,39
Auvergne-Rhône-Alpes,100,106,0,0,208,973,s,s,197,1252,67,10,0,0,82,s,s,s,12,40,s,0,s,1,47,5,0,1,29,36,s,s,2,0,5,0,0,0,0,0,78,so,0,7,85,s,s,0,s,20,s,0,0,s,41,215,so,5,8,229
Provence-Alpes-Côte d'Azur et Corse,0,s,s,0,s,672,1,s,s,701,76,0,0,0,76,6,s,0,2,s,20,0,0,33,54,s,s,1,30,34,538,0,0,0,538,s,0,0,0,s,27,so,s,1,s,9,0,0,0,9,s,0,0,0,s,187,so,4,1,192
Dom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,1,3,0,0,0,3,9,0,1,3,14,0,0,0,s,s,0,0,0,0,0,s,so,0,0,s,s,0,0,0,s,0,0,0,0,0,65,so,0,0,65
