ID,REG,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
FRA,France,19421,6092,10524,594,2362,259,282,20113,3339,790,934,365,283,5710,25824,1828,9724,37376,575,446,36354
IDF,Ile-de-France,1647,26,605,9,5,0,15,660,0,0,s,s,0,3,663,7,430,1100,ns,ns,1090
CVL,Centre-Val de Loire,1003,17,387,37,10,6,8,465,0,0,33,18,0,51,516,5,327,848,ns,ns,813
BFC,Bourgogne-Franche-Comté,1247,s,445,0,22,s,15,570,0,0,65,s,s,79,649,125,504,1278,ns,ns,1161
NOR,Normandie,1143,s,1139,s,s,24,15,1916,547,0,128,s,s,738,2654,246,736,3635,ns,ns,3597
HDF,Hauts-de-France,1961,s,2114,179,s,23,31,5293,s,0,s,83,68,466,5759,192,1972,7922,ns,ns,7736
GRE,Grand Est,2071,1040,2231,69,22,13,42,3418,s,s,s,63,64,2330,5748,247,1585,7580,ns,ns,7418
PAL,Pays de la Loire,1697,9,434,38,23,9,19,533,0,0,s,14,s,79,613,74,500,1186,ns,ns,1174
BRE,Bretagne,1065,s,377,0,30,s,10,440,0,s,s,0,0,6,447,56,368,871,ns,ns,865
NOA,Nouvelle-Aquitaine,1838,s,530,s,22,46,25,725,10,496,225,47,33,811,1536,351,630,2517,ns,ns,2373
OCC,Occitanie,1270,87,307,56,9,16,19,494,s,s,s,16,27,263,757,39,344,1140,ns,ns,1138
ARA,Auvergne-Rhône-Alpes,3432,208,1252,82,40,47,36,1665,5,0,85,20,41,151,1816,229,1610,3655,ns,ns,3608
PAC,Provence-Alpes-Côte d'Azur,787,s,701,76,s,54,34,3917,538,s,s,9,s,702,4619,192,677,5487,ns,ns,5225
DOM,Départements d’Outre-mer,260,0,0,0,1,3,14,17,s,0,s,s,0,30,47,65,44,156,ns,ns,155
