naf_code,naf_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
13,Fabrication de textiles,469,0,126,,0,4,2,3,,135,0,0,0,,0,0,0,0,,225,,,225
14,Industrie de l'habillement,265,0,13,,0,0,0,1,,14,0,0,0,,0,0,0,0,,23,,,23
15,Industrie du cuir et de la chaussure,209,0,9,,0,2,0,0,,12,0,0,0,,0,0,0,0,,23,,,23
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",754,0,,,0,,3,18,,77,0,,,,0,0,314,10,,573,,,558
17,Industrie du papier et du carton,521,16,828,,0,7,26,5,,881,,766,363,,,,1220,390,,3214,,,3023
18,Imprimerie et reproduction d'enregistrements,650,0,40,,0,1,0,1,,43,0,0,,,0,,,,,173,,,173
20,Industrie chimique,871,448,2849,,,2149,,12,,5480,3271,,,,26,10,3401,983,,11524,,,11036
21,Industrie pharmaceutique,303,0,168,,0,1,0,,,,0,0,0,,0,,,46,,426,,,421
22,Fabrication de produits en caoutchouc et en plastique,1353,0,203,,0,13,13,6,,235,0,0,14,,0,0,15,59,,869,,,854
23,Fabrication d'autres produits minéraux non métalliques,858,214,1492,,423,12,107,33,,2281,53,0,55,,69,233,410,17,,3424,,,3423
24,Métallurgie,444,5101,1100,,,,6,39,,6418,,0,0,,0,,7,23,,8310,,,8258
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3229,,304,,0,42,0,,,365,0,0,2,,0,0,2,1,,801,,,801
26,"Fabrication de produits informatiques, électroniques et optiques",715,0,,,0,0,0,1,,,0,0,0,,0,0,0,,,220,,,220
27,Fabrication d'équipements électriques,692,,98,,0,5,0,4,,,0,0,,,0,0,,,,289,,,289
28,Fabrication de machines et équipements n.c.a.,1497,0,143,,0,11,0,10,,163,0,0,1,,0,0,1,,,351,,,351
29,Industrie automobile,611,,323,,0,,1,5,,345,,0,2,,0,,3,13,,783,,,775
30,Fabrication d'autres matériels de transport,330,0,,,0,4,,3,,111,,0,,,0,0,5,6,,287,,,286
31,Fabrication de meubles,330,0,19,,0,1,0,2,,22,0,0,14,,0,0,14,0,,71,,,71
32,Autres industries manufacturières,507,0,29,,0,2,0,1,,31,0,0,0,,0,0,0,,,97,,,96
33,Réparation et installation de machines et d'équipements,1212,0,25,,0,1,0,4,,30,0,0,0,,0,0,0,2,,96,,,96
38,"Collecte, traitement et élimination des déchets ; récupération",377,0,122,,0,5,0,32,,159,0,0,,,,0,0,15,,220,,,219
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",197,0.0,32.0,,0.0,,,64.0,,101.0,10.0,0.0,,,,,20.0,,,188,,,187
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",3028,287,2415,,0.0,6.0,85,28,,2888,0.0,0,91,,177,0.0,268,249,,5191,,,4947
_T,Total,19421,6092,10524,,594,2362,259,282,,20113,3339,790,934,,365,283,5710,1828,,37376,575,446,36354
