reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,973,,,197,,,5,0,1,29,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,332,,0,,,,2,1,0,10,,,,,,,,,,,,,
BRE,Bretagne,294,,,82,,,3,0,1,6,,,,,,,,,,,,,
CVL,Centre-Val de Loire,299,0,34,54,,,,,1,4,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,0,0,0,0,,,9,0,1,3,,,,,,,,,,,,,
FRA,France,7970,1027,313,1213,,,64,5,8,205,,,,,,,,,,,,,
GRE,Grand Est,1467,511,52,202,,,7,2,0,31,,,,,,,,,,,,,
HDF,Hauts-de-France,1780,3,172,159,,,7,0,0,21,,,,,,,,,,,,,
IDF,Ile-de-France,378,,8,,,,,,0,11,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,440,,,,,,7,0,0,18,,,,,,,,,,,,,
NOR,Normandie,705,279,9,147,,,4,0,2,10,,,,,,,,,,,,,
OCC,Occitanie,267,1,0,39,,,6,0,1,11,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,672,1,,,,,,,1,30,,,,,,,,,,,,,
PAL,Pays de la Loire,363,3,2,67,,,5,0,1,14,,,,,,,,,,,,,
