ENERGIE;SECTEUR;QAUP;CSUP;VALA;PRIX
T;07;so;so;s;so
T;08;so;so;132;so
T;10;so;so;2290;so
T;11;so;so;235;so
T;12;so;so;s;so
T;13;so;so;132;so
T;14;so;so;23;so
T;15;so;so;19;so
T;16;so;so;217;so
T;17;so;so;828;so
T;18;so;so;115;so
T;20;so;so;3386;so
T;21;so;so;265;so
T;22;so;so;593;so
T;23;so;so;1199;so
T;24;so;so;2812;so
T;25;so;so;577;so
T;26;so;so;155;so
T;27;so;so;215;so
T;28;so;so;278;so
T;29;so;so;469;so
T;30;so;so;227;so
T;31;so;so;48;so
T;32;so;so;70;so
T;33;so;so;122;so
T;38;so;so;126;so
T;T;so;so;14535;so
BR;07;s;s;s;s
BR;08;s;s;s;s
BR;10;17956;19288;1199;67
BR;11;2231;2237;166;74
BR;12;s;s;s;s
BR;13;s;s;s;s
BR;14;s;99;9;96
BR;15;141;141;13;91
BR;16;s;s;s;s
BR;17;7408;8372;387;52
BR;18;1097;1097;87;80
BR;20;19020;20016;985;52
BR;21;s;2586;182;70
BR;22;s;6890;447;68
BR;23;8409;8432;482;57
BR;24;20968;21356;940;45
BR;25;4991;4991;392;78
BR;26;1881;1882;136;72
BR;27;1978;1981;138;70
BR;28;2146;2148;173;81
BR;29;4756;4768;310;65
BR;30;2098;2113;161;77
BR;31;s;416;37;88
BR;32;667;668;56;83
BR;33;545;545;55;101
BR;38;s;923;60;77
BR;T;110777;115032;6699;60
CR;07;s;s;s;s
CR;08;s;s;s;s
CR;10;3088;3088;74;24
CR;11;99;99;3;31
CR;12;s;s;s;s
CR;13;s;s;s;s
CR;14;s;s;s;s
CR;15;55;55;1;17
CR;16;s;s;s;s
CR;17;5245;5245;111;21
CR;18;s;s;s;s
CR;20;14331;14331;383;27
CR;21;328;328;11;33
CR;22;834;834;16;20
CR;23;338;338;9;27
CR;24;212;212;4;17
CR;25;10;10;0;42
CR;26;49;49;1;27
CR;27;14;14;1;53
CR;28;11;11;1;78
CR;29;210;210;5;24
CR;30;157;157;5;33
CR;31;0;0;0;0
CR;32;30;30;1;18
CR;33;28;28;1;35
CR;38;324;324;4;14
CR;T;25701;25701;638;25
DR;07;s;s;s;s
DR;08;385;385;11;28
DR;10;30221;30221;816;27
DR;11;1769;1769;55;31
DR;12;s;s;s;s
DR;13;1512;1512;46;31
DR;14;143;143;5;37
DR;15;84;84;4;45
DR;16;826;826;24;29
DR;17;10644;10644;266;25
DR;18;600;600;25;41
DR;20;39014;39014;930;24
DR;21;s;s;s;s
DR;22;2818;2818;93;33
DR;23;20834;20834;470;23
DR;24;14531;14531;356;24
DR;25;3771;3771;131;35
DR;26;417;417;17;40
DR;27;1553;1553;52;34
DR;28;1661;1661;67;41
DR;29;4103;4103;124;30
DR;30;1319;1319;50;38
DR;31;230;230;9;40
DR;32;340;340;12;36
DR;33;207;207;10;47
DR;38;912;912;24;26
DR;T;140008;140008;3664;26
FR;07;s;s;s;s
FR;08;0;0;0;0
FR;10;s;s;s;s
FR;11;1;1;0;128
FR;12;s;s;s;s
FR;13;0;0;0;0
FR;14;41;0;7;165
FR;15;0;0;0;0
FR;16;13;0;1;104
FR;17;19;19;2;111
FR;18;0;0;0;0
FR;20;717;633;98;137
FR;21;24;0;4;156
FR;22;125;0;16;130
FR;23;496;443;79;159
FR;24;8316;7924;1432;172
FR;25;61;58;12;190
FR;26;0;0;0;0
FR;27;81;25;17;209
FR;28;144;0;22;153
FR;29;s;s;s;s
FR;30;18;0;3;165
FR;31;0;0;0;0
FR;32;0;0;0;0
FR;33;301;0;50;165
FR;38;61;0;10;164
FR;T;11146;9768;1849;166
IR;07;s;s;s;s
IR;08;0;0;0;0
IR;10;s;s;s;s
IR;11;0;0;0;0
IR;12;s;s;s;s
IR;13;0;0;0;0
IR;14;0;0;0;0
IR;15;0;0;0;0
IR;16;0;0;0;0
IR;17;0;0;0;0
IR;18;0;0;0;0
IR;20;s;s;s;s
IR;21;0;0;0;0
IR;22;0;0;0;0
IR;23;577;588;89;155
IR;24;s;s;s;s
IR;25;0;0;0;0
IR;26;0;0;0;0
IR;27;0;0;0;0
IR;28;0;0;0;0
IR;29;0;0;0;0
IR;30;0;0;0;0
IR;31;0;0;0;0
IR;32;0;0;0;0
IR;33;0;0;0;0
IR;38;0;0;0;0
IR;T;732;736;140;192
JR;07;s;s;s;s
JR;08;1;1;1;629
JR;10;66;69;43;651
JR;11;4;4;3;730
JR;12;s;s;s;s
JR;13;4;4;2;604
JR;14;0;0;0;765
JR;15;1;1;1;692
JR;16;4;4;3;718
JR;17;6;6;5;737
JR;18;1;1;1;1007
JR;20;1888;1879;921;488
JR;21;s;s;s;s
JR;22;11;11;8;679
JR;23;11;11;7;675
JR;24;9;9;6;633
JR;25;33;33;32;961
JR;26;s;s;s;s
JR;27;4;4;3;676
JR;28;8;8;6;738
JR;29;12;11;8;648
JR;30;3;2;2;760
JR;31;1;1;1;731
JR;32;1;1;1;719
JR;33;1;1;1;727
JR;38;2;2;2;706
JR;T;2072;2063;1054;509
KR;07;s;s;s;s
KR;08;1;0;1;644
KR;10;41;42;24;584
KR;11;2;2;1;651
KR;12;s;s;s;s
KR;13;2;2;1;630
KR;14;s;s;s;s
KR;15;0;0;0;1250
KR;16;2;2;1;558
KR;17;29;28;13;445
KR;18;0;0;0;1000
KR;20;s;s;s;s
KR;21;0;0;0;0
KR;22;14;14;6;446
KR;23;69;69;25;360
KR;24;5;6;2;447
KR;25;0;0;0;762
KR;26;s;s;s;s
KR;27;0;0;0;801
KR;28;0;0;0;731
KR;29;1;1;1;679
KR;30;0;0;0;1000
KR;31;0;0;0;0
KR;32;0;0;0;0
KR;33;0;0;0;0
KR;38;1;1;1;620
KR;T;184;194;84;455
LR;07;s;s;s;s
LR;08;87086;86106;64;0.73
LR;10;38572;38471;28;0.74
LR;11;8439;8251;6;0.71
LR;12;s;s;s;s
LR;13;2896;2739;2;0.7
LR;14;1300;1215;1;0.72
LR;15;804;803;1;0.67
LR;16;24072;23727;19;0.77
LR;17;5559;5441;4;0.76
LR;18;2025;1869;1;0.59
LR;20;15303;15153;11;0.72
LR;21;2010;1972;1;0.72
LR;22;7514;7534;5;0.71
LR;23;43606;42916;30;0.68
LR;24;s;s;s;s
LR;25;12380;12294;9;0.73
LR;26;878;880;1;0.75
LR;27;3625;3593;3;0.74
LR;28;11086;11130;9;0.78
LR;29;s;s;s;s
LR;30;3894;3828;3;0.81
LR;31;2352;2511;2;0.67
LR;32;1117;1163;1;0.76
LR;33;7929;7735;6;0.76
LR;38;33990;31650;25;0.75
LR;T;344023;338238;252;0.73
OR;07;s;s;s;s
OR;08;s;s;s;s
OR;10;s;s;s;s
OR;11;18;18;1;48
OR;12;s;s;s;s
OR;13;0;0;0;0
OR;14;0;0;0;0
OR;15;0;0;0;243
OR;16;471;1475;15;31
OR;17;1073;1384;41;38
OR;18;s;s;s;s
OR;20;s;s;s;s
OR;21;0;0;0;0
OR;22;14;44;1;61
OR;23;231;236;7;29
OR;24;1;1;0;107
OR;25;5;9;0;49
