ENERGIE2;SECTEUR;USQF;USQ2;USQ3;USQ4;CSTP
CR;07;0;so;0;0;0
CR;08;s;so;0;s;s
CR;10;216;so;0;6;222
CR;11;7;so;0;0;7
CR;12;s;so;s;s;s
CR;13;s;so;0;s;s
CR;14;0;so;0;s;s
CR;15;2;so;0;2;4
CR;16;s;so;0;s;s
CR;17;365;so;s;s;378
CR;18;s;so;0;0;s
CR;20;996;so;17;18;1032
CR;21;17;so;0;6;24
CR;22;s;so;s;9;60
CR;23;s;so;0;s;24
CR;24;14;so;0;2;15
CR;25;s;so;0;s;1
CR;26;0;so;0;4;4
CR;27;s;so;0;s;1
CR;28;0;so;0;1;1
CR;29;1;so;0;14;15
CR;30;s;so;0;s;11
CR;31;0;so;0;0;0
CR;32;s;so;0;s;2
CR;33;s;so;0;s;2
CR;38;s;so;0;s;23
CR;T;1736;so;32;83;1850
DR;07;0;0;0;0;0
DR;08;29;0;0;1;30
DR;10;2052;4;166;105;2327
DR;11;120;0;0;17;136
DR;12;s;s;s;s;s
DR;13;94;0;1;21;116
DR;14;6;0;0;5;11
DR;15;3;0;0;3;6
DR;16;s;0;s;4;64
DR;17;716;s;s;48;820
DR;18;29;0;0;18;46
DR;20;1776;1028;63;137;3004
DR;21;125;0;0;s;s
DR;22;131;7;31;48;217
DR;23;1519;s;0;s;1604
DR;24;1041;1;0;77;1119
DR;25;178;0;0;113;290
DR;26;8;1;0;23;32
DR;27;51;22;0;47;120
DR;28;45;0;0;83;128
DR;29;169;0;4;143;316
DR;30;s;s;1;56;102
DR;31;9;0;0;9;18
DR;32;15;0;0;11;26
DR;33;2;0;0;13;16
DR;38;s;0;s;3;70
DR;T;8266;1077;339;1099;10781
FR;07;0;0;0;0;0
FR;08;0;0;0;0;0
FR;10;336;0;s;0;s
FR;11;0;0;0;0;0
FR;12;s;s;s;s;s
FR;13;0;0;0;0;0
FR;14;0;0;0;0;0
FR;15;0;0;0;0;0
FR;16;0;0;0;0;0
FR;17;s;0;s;0;12
FR;18;0;0;0;0;0
FR;20;352;s;s;s;384
FR;21;0;0;0;0;0
FR;22;0;0;0;0;0
FR;23;251;14;0;0;265
FR;24;s;4197;s;s;4924
FR;25;s;s;0;0;36
FR;26;0;0;0;0;0
FR;27;17;0;0;0;17
FR;28;0;0;0;0;0
FR;29;s;0;0;0;s
FR;30;0;0;0;0;0
FR;31;0;0;0;0;0
FR;32;0;0;0;0;0
FR;33;0;0;0;0;0
FR;38;0;0;0;0;0
FR;T;1652;4269;s;s;5994
IR;07;0;0;0;0;0
IR;08;0;0;0;0;0
IR;10;s;0;0;0;s
IR;11;0;0;0;0;0
IR;12;s;s;s;s;s
IR;13;0;0;0;0;0
IR;14;0;0;0;0;0
IR;15;0;0;0;0;0
IR;16;0;0;0;0;0
IR;17;0;0;0;0;0
IR;18;0;0;0;0;0
IR;20;s;s;0;0;s
IR;21;0;0;0;0;0
IR;22;0;0;0;0;0
IR;23;s;s;0;0;448
IR;24;s;28;0;s;s
IR;25;0;0;0;0;0
IR;26;0;0;0;0;0
IR;27;0;0;0;0;0
IR;28;0;0;0;0;0
IR;29;0;0;0;0;0
IR;30;0;0;0;0;0
IR;31;0;0;0;0;0
IR;32;0;0;0;0;0
IR;33;0;0;0;0;0
IR;38;0;0;0;0;0
IR;T;498;s;s;s;561
JR;07;0;0;0;s;s
JR;08;1;0;0;0;1
JR;10;s;s;0;13;75
JR;11;2;0;0;3;5
JR;12;s;s;s;s;s
JR;13;3;0;0;1;4
JR;14;0;0;0;0;0
JR;15;0;0;0;1;1
JR;16;2;0;0;2;4
JR;17;2;0;0;5;7
JR;18;1;0;0;0;1
JR;20;s;2045;s;4;2057
JR;21;1;s;0;s;s
JR;22;s;1;s;6;12
JR;23;s;s;0;4;12
JR;24;s;0;s;3;9
JR;25;20;0;0;16;36
JR;26;s;0;0;0;s
JR;27;1;0;0;3;4
JR;28;s;0;s;4;9
JR;29;8;0;0;5;13
JR;30;s;s;0;1;2
JR;31;0;0;0;1;1
JR;32;0;0;0;0;1
JR;33;0;0;0;1;1
JR;38;2;0;0;0;3
JR;T;137;2047;0;75;2259
KR;07;s;0;0;0;0
KR;08;0;0;0;0;0
KR;10;s;0;s;1;40
KR;11;1;0;0;0;2
KR;12;s;s;s;s;s
KR;13;s;0;s;s;2
KR;14;0;0;0;s;s
KR;15;0;0;0;0;0
KR;16;2;0;0;0;2
KR;17;s;0;s;0;27
KR;18;0;0;0;0;0
KR;20;s;0;0;0;s
KR;21;0;0;0;0;0
KR;22;12;0;0;1;13
KR;23;65;0;0;1;66
KR;24;s;0;0;s;5
KR;25;s;0;s;0;0
KR;26;0;0;s;0;s
KR;27;s;0;s;s;0
KR;28;s;0;0;s;0
KR;29;s;0;0;s;1
KR;30;0;0;0;0;0
KR;31;0;0;0;0;0
KR;32;0;0;0;0;0
KR;33;0;0;0;0;0
KR;38;0;0;1;0;1
KR;T;170;0;3;12;185
LR;07;s;0;s;s;s
LR;08;28;1;0;43;73
LR;10;15;s;4;s;33
LR;11;s;0;s;2;7
LR;12;s;s;s;s;0
LR;13;0;0;0;2;2
LR;14;0;0;0;1;1
LR;15;0;0;0;1;1
LR;16;s;s;0;18;20
LR;17;1;0;0;3;5
LR;18;0;0;0;1;2
LR;20;4;1;0;8;13
LR;21;s;s;1;0;2
LR;22;1;0;0;5;6
LR;23;9;1;1;26;36
LR;24;s;s;0;13;s
LR;25;1;0;0;9;10
LR;26;0;s;s;1;1
LR;27;0;0;0;2;3
LR;28;4;1;0;5;9
LR;29;1;s;0;3;s
LR;30;1;0;1;2;3
LR;31;0;0;0;2;2
LR;32;0;0;0;1;1
LR;33;4;0;0;2;7
LR;38;5;1;0;20;27
LR;T;86;7;9;184;286
OR;07;0;so;0;0;0
OR;08;s;so;0;0;s
OR;10;s;so;0;s;s
OR;11;4;so;0;1;5
OR;12;s;so;s;s;s
OR;13;0;so;0;0;0
OR;14;0;so;0;0;0
OR;15;0;so;0;0;0
OR;16;341;so;0;38;379
OR;17;341;so;s;s;356
