NCE;NB_ETAB;FR_CSTP;DR_CSTP;IR_CSTP;JR_CSTP;KR_CSTP;LR_CSTP;CONCOMB1;MR_CSTP;NR_CSTP;OR_CSTP;XR_CSTP;YR_CSTP;CONCOMB2;CONCOMB;CR_CSTP;BR_CSTP;CONSBRT;CR_VTTP;COMBPRB;CONSNET
T;20704;5994;10781;561;2259;185;286;20066;3117;753;993;279.7;405.2;4863;24929;1850;9893;37357;455;612;36290
E12;401;0;427;0;17;17;5;466;s;0;s;s;0.3;34;500;48;326;886;ns;ns;880
E13;32;191;645;s;s;0;6;841;0;0;s;s;0;0;842;30;94;974;ns;ns;860
E14;2784;159;1393;0;63;25;28;1668;1;0;s;68.4;s;56;1724;152;1431;3396;ns;ns;3287
E16;64;4855;658;12;4;0;11;5540;s;0;s;0;s;5;5545;11;950;6511;ns;ns;6453
E18;90;s;275;s;0;5;4;s;s;0;0;0;0;s;s;s;677;1061;ns;ns;1061
E19;45;0;s;0;0;0;13;s;0;0;0;0;0;0;s;s;20;53;ns;ns;53
E20;68;195;266;414;1;7;14;897;41;0;41;71.7;334;82;979;12;208;1604;ns;ns;1604
E21;818;70;453;34;8;7;80;653;14;0;23;12.5;22.1;37;690;s;245;981;ns;ns;980
E22;220;0;905;0;s;51;2;s;s;0;0;0;0;s;962;1;313;1276;ns;ns;1276
E23;39;0;986;0;s;s;2;989;0;0;3;0;0;3;992;0;87;1079;ns;ns;1050
E24;94;323;339;s;2;s;3;678;254;0;s;0;s;269;948;249;770;1968;ns;ns;1937
E25;92;s;144;0;0;s;1;206;s;0;0;s;s;1;207;170;147;525;ns;ns;502
E26;368;0;1528;s;2035;s;6;3581;2796;s;s;9.4;14.3;2858;6439;622;694;7779;ns;ns;7477
E28;615;0;s;0;20;0;4;s;s;0;s;0.1;0;s;195;14;246;455;ns;ns;455
E29;3611;104;467;0;36;0;14;621;s;0;2;s;0.1;2;623;1;619;1242;ns;ns;1242
E30;2561;0;135;0;14;0;9;158;s;0;s;0;s;2;160;3;215;379;ns;ns;379
E31;1467;17;160;0;5;0;4;186;0;0;0;0.2;0.1;0;186;2;343;532;ns;ns;531
E32;697;s;342;0;s;1;8;370;s;0;0;s;0.2;2;372;16;425;815;ns;ns;809
E33;389;0;s;0;2;s;6;s;s;0;4;0;0.1;s;110;12;194;316;ns;ns;315
E34;1017;0;134;0;5;8;4;152;0;0;0;0;0.1;0;152;11;115;278;ns;ns;277
E35;604;12;820;0;7;27;5;870;s;s;356;91.1;3.8;1096;1966;378;720;3158;ns;ns;2833
E36;160;0;s;0;1;s;0;85;0;0;7;0;0;7;92;38;111;241;ns;ns;227
E37;1243;0;142;0;12;5;6;164;0;0;5;0.1;0;5;168;22;482;672;ns;ns;646
E38;3226;0;215;0;9;3;52;280;0;s;395;s;3.2;395;675;33;459;1176;ns;ns;1157
