NCE;ENERGIE2;USQF;USQ2;USQ3;USQ4;CSTP
E12;CR;47;so;0;1;48
E13;CR;30;so;0;0;30
E14;CR;147;so;0;5;152
E16;CR;9;so;0;2;11
E18;CR;s;so;0;0;s
E19;CR;s;so;0;s;s
E20;CR;12;so;0;0;12
E21;CR;s;so;0;0;s
E22;CR;s;so;0;s;1
E23;CR;0;so;0;0;0
E24;CR;239;so;s;s;249
E25;CR;165;so;s;s;170
E26;CR;600;so;10;12;622
E28;CR;10;so;0;4;14
E29;CR;s;so;0;s;1
E30;CR;0;so;0;3;3
E31;CR;s;so;0;s;2
E32;CR;1;so;0;15;16
E33;CR;2;so;0;10;12
E34;CR;8;so;0;2;11
E35;CR;365;so;s;s;378
E36;CR;s;so;s;6;38
E37;CR;20;so;0;3;22
E38;CR;32;so;0;1;33
T;CR;1736;so;32;83;1850
E12;DR;409;0;0;18;427
E13;DR;573;0;63;8;645
E14;DR;1190;4;103;96;1393
E16;DR;624;s;0;s;658
E18;DR;260;s;0;s;275
E19;DR;9;0;0;s;s
E20;DR;261;0;0;5;266
E21;DR;419;s;0;s;453
E22;DR;858;s;0;s;905
E23;DR;305;568;s;s;986
E24;DR;282;s;s;2;339
E25;DR;128;0;7;9;144
E26;DR;1071;s;s;23;1528
E28;DR;115;0;0;s;s
E29;DR;330;1;0;136;467
E30;DR;46;0;0;89;135
E31;DR;70;23;0;67;160
E32;DR;178;0;4;161;342
E33;DR;34;s;1;54;s
E34;DR;103;0;1;30;134
E35;DR;716;s;s;48;820
E36;DR;58;0;s;13;s
E37;DR;73;7;26;36;142
E38;DR;154;0;s;s;215
T;DR;8266;1077;339;1099;10781
E12;FR;0;0;0;0;0
E13;FR;178;0;13;0;191
E14;FR;159;0;0;0;159
E16;FR;s;4162;s;s;4855
E18;FR;0;s;0;0;s
E19;FR;0;0;0;0;0
E20;FR;195;0;0;0;195
E21;FR;56;14;0;0;70
E22;FR;s;s;0;0;0
E23;FR;0;0;0;0;0
E24;FR;294;29;0;0;323
E25;FR;59;0;s;s;s
E26;FR;0;0;0;0;0
E28;FR;0;0;0;0;0
E29;FR;s;s;0;0;104
E30;FR;0;0;0;0;0
E31;FR;17;0;0;0;17
E32;FR;s;0;0;0;s
E33;FR;0;0;0;0;0
E34;FR;0;0;0;0;0
E35;FR;s;0;s;0;12
E36;FR;0;0;0;0;0
E37;FR;0;0;0;0;0
E38;FR;0;0;0;0;0
T;FR;1652;4269;s;s;5994
E12;IR;0;0;0;0;0
E13;IR;s;0;0;0;s
E14;IR;0;0;0;0;0
E16;IR;s;5;0;s;12
E18;IR;s;s;0;0;s
E19;IR;0;0;0;0;0
E20;IR;414;0;0;0;414
E21;IR;s;33;s;0;34
E22;IR;0;0;0;0;0
E23;IR;0;0;0;0;0
E24;IR;s;0;0;0;s
E25;IR;0;0;0;0;0
E26;IR;0;s;0;0;s
E28;IR;0;0;0;0;0
E29;IR;s;0;0;s;0
E30;IR;0;0;0;0;0
E31;IR;0;0;0;0;0
E32;IR;0;0;0;0;0
E33;IR;0;0;0;0;0
E34;IR;0;0;0;0;0
E35;IR;0;0;0;0;0
E36;IR;0;0;0;0;0
E37;IR;0;0;0;0;0
E38;IR;0;0;0;0;0
T;IR;498;s;s;s;561
E12;JR;s;0;s;3;17
E13;JR;0;0;0;s;s
E14;JR;49;0;0;13;63
E16;JR;3;0;0;1;4
E18;JR;s;s;0;s;0
E19;JR;0;0;0;0;0
E20;JR;s;s;0;0;1
E21;JR;5;0;0;3;8
E22;JR;s;0;0;1;s
E23;JR;0;0;0;s;s
E24;JR;2;0;0;0;2
E25;JR;0;0;0;0;0
E26;JR;s;2031;s;s;2035
E28;JR;s;s;s;2;20
E29;JR;s;0;s;16;36
E30;JR;s;0;s;6;14
E31;JR;1;0;0;4;5
E32;JR;s;0;0;5;s
E33;JR;s;s;0;0;2
E34;JR;3;0;0;2;5
E35;JR;2;0;0;5;7
E36;JR;s;0;0;s;1
E37;JR;s;1;s;5;12
E38;JR;5;0;0;4;9
T;JR;137;2047;0;75;2259
E12;KR;s;0;s;s;17
E13;KR;0;0;0;0;0
E14;KR;24;0;0;1;25
E16;KR;s;0;0;s;0
E18;KR;5;0;0;0;5
E19;KR;0;0;0;0;0
E20;KR;7;0;0;0;7
E21;KR;6;0;0;1;7
E22;KR;s;0;0;s;51
E23;KR;s;0;0;0;s
E24;KR;s;0;0;0;s
E25;KR;s;0;0;0;s
E26;KR;s;0;0;0;s
E28;KR;0;0;0;0;0
E29;KR;0;0;0;0;0
E30;KR;0;0;0;0;0
E31;KR;s;0;s;s;0
E32;KR;s;0;0;s;1
E33;KR;0;0;s;0;s
E34;KR;s;0;0;s;8
E35;KR;s;0;s;0;27
E36;KR;s;0;0;s;s
E37;KR;3;0;0;1;5
E38;KR;2;0;1;0;3
T;KR;170;0;3;12;185
E12;LR;3;0;1;1;5
E13;LR;2;0;s;s;6
E14;LR;14;1;1;12;28
E16;LR;s;0;0;s;11
E18;LR;0;s;s;3;4
E19;LR;6;0;0;7;13
E20;LR;3;0;0;11;14
E21;LR;28;1;1;50;80
E22;LR;0;s;s;1;2
E23;LR;1;0;0;1;2
E24;LR;s;s;s;2;3
E25;LR;0;0;0;1;1
E26;LR;2;0;0;3;6
E28;LR;1;1;0;2;4
E29;LR;2;0;0;11;14
E30;LR;3;1;0;5;9
E31;LR;s;s;1;4;4
E32;LR;s;s;0;4;8
E33;LR;3;0;1;2;6
E34;LR;1;0;0;3;4
E35;LR;1;0;0;3;5
E36;LR;s;0;s;s;0
E37;LR;1;0;0;5;6
E38;LR;7;2;1;43;52
T;LR;86;7;9;184;286
E12;OR;33;so;0;s;s
E13;OR;s;so;0;0;s
E14;OR;s;so;0;1;s
E16;OR;0;so;0;s;s
E18;OR;0;so;0;0;0
E19;OR;0;so;0;0;0
E20;OR;41;so;0;0;41
E21;OR;s;so;0;s;23
E22;OR;0;so;0;0;0
E23;OR;3;so;0;0;3
E24;OR;s;so;0;0;s
E25;OR;0;so;0;0;0
