ENERGIE;REGION;QAUP;CSUP;VALA;PRIX
T;11;so;so;618;so
T;24;so;so;449;so
T;27;so;so;600;so
T;28;so;so;1239;so
T;32;so;so;2795;so
T;44;so;so;2323;so
T;52;so;so;686;so
T;53;so;so;500;so
T;75;so;so;880;so
T;76;so;so;565;so
T;84;so;so;1850;so
T;93;so;so;1954;so
T;97;so;so;77;so
T;T;so;so;14535;so
BR;11;5584;5611;384;69
BR;24;3606;3684;252;70
BR;27;s;5806;362;62
BR;28;8202;9006;519;63
BR;32;20544;21786;1081;53
BR;44;17208;17915;1043;61
BR;52;s;6185;423;69
BR;53;s;4328;304;70
BR;75;7149;7545;456;64
BR;76;4720;4987;328;69
BR;84;19373;19496;1100;57
BR;93;7634;8177;396;52
BR;97;502;508;52;104
BR;T;110777;115032;6699;60
CR;11;768;768;19;25
CR;24;155;155;4;28
CR;27;1555;1555;53;34
CR;28;3681;3681;102;28
CR;32;2446;2446;58;24
CR;44;3875;3875;88;23
CR;52;827;827;18;21
CR;53;696;696;18;25
CR;75;4575;4575;100;22
CR;76;702;702;17;24
CR;84;3103;3103;80;26
CR;93;2906;2906;73;25
CR;97;412;412;8;19
CR;T;25701;25701;638;25
DR;11;7634;7634;175;23
DR;24;4863;4863;141;29
DR;27;4908;4908;145;30
DR;28;18308;18308;458;25
DR;32;27249;27249;688;25
DR;44;29808;29808;759;25
DR;52;5063;5063;155;31
DR;53;4581;4581;140;31
DR;75;7533;7533;213;28
DR;76;4140;4140;114;28
DR;84;16344;16344;443;27
DR;93;9579;9579;232;24
DR;97;0;0;0;186
DR;T;140008;140008;3664;26
FR;11;149;61;20;134
FR;24;153;42;21;134
FR;27;47;44;9;193
FR;28;s;s;s;s
FR;32;s;s;s;s
FR;44;1936;1787;311;161
FR;52;229;15;39;169
FR;53;s;s;s;s
FR;75;141;136;24;167
FR;76;379;79;59;157
FR;84;429;365;95;221
FR;93;s;s;s;s
FR;97;0;0;0;0
FR;T;11146;9768;1849;166
IR;11;14;13;3;185
IR;24;50;49;7;139
IR;27;0;0;0;0
IR;28;s;s;s;s
IR;32;169;161;49;288
IR;44;62;63;8;126
IR;52;60;61;6;107
IR;53;0;0;0;0
IR;75;s;s;s;s
IR;76;88;91;11;126
IR;84;143;141;39;275
IR;93;82;92;10;121
IR;97;0;0;0;0
IR;T;732;736;140;192
JR;11;6;6;5;803
JR;24;14;14;10;659
JR;27;19;19;11;613
JR;28;s;s;s;s
JR;32;s;s;s;s
JR;44;18;17;13;708
JR;52;13;13;18;1367
JR;53;28;28;17;607
JR;75;26;26;18;675
JR;76;8;8;6;744
JR;84;25;28;17;684
JR;93;s;s;s;s
JR;97;s;s;s;s
JR;T;2072;2063;1054;509
KR;11;1;1;1;462
KR;24;3;3;2;475
KR;27;17;17;6;363
KR;28;16;16;7;430
KR;32;4;6;2;466
KR;44;15;15;6;444
KR;52;7;12;4;602
KR;53;s;s;s;s
KR;75;s;s;s;s
KR;76;15;16;8;547
KR;84;42;44;18;414
KR;93;18;18;7;397
KR;97;s;s;s;s
KR;T;184;194;84;455
LR;11;16121;15964;12;0.72
LR;24;11156;11180;9;0.85
LR;27;15268;14840;11;0.73
LR;28;20186;19825;15;0.72
LR;32;37414;36248;26;0.71
LR;44;53193;53018;40;0.75
LR;52;24026;23334;17;0.73
LR;53;14660;14605;11;0.73
LR;75;34321;33820;25;0.74
LR;76;25115;24781;19;0.75
LR;84;46222;44337;34;0.73
LR;93;25609;25633;19;0.74
LR;97;20732;20653;14;0.68
LR;T;344023;338238;252;0.73
OR;11;s;s;s;s
OR;24;s;s;s;s
OR;27;s;s;s;s
OR;28;403;432;18;45
OR;32;s;s;s;s
OR;44;s;s;s;s
OR;52;s;s;s;s
OR;53;s;s;s;s
OR;75;525;995;22;42
OR;76;s;s;s;s
OR;84;292;329;9;31
OR;93;s;s;s;s
OR;97;s;s;s;s
OR;T;2416;3863;101;42
