ENERGIE2;REGION;USQF;USQ2;USQ3;USQ4;CSTP
CR;11;48;so;0;7;55
CR;24;10;so;0;2;11
CR;27;s;so;0;s;112
CR;28;258;so;0;7;265
CR;32;165;so;0;11;176
CR;44;261;so;s;s;279
CR;52;s;so;s;4;60
CR;53;45;so;0;5;50
CR;75;318;so;s;s;329
CR;76;40;so;s;s;51
CR;84;209;so;s;s;223
CR;93;206;so;3;1;209
CR;97;30;so;0;0;30
CR;T;1736;so;32;83;1850
DR;11;379;s;6;s;588
DR;24;274;0;39;61;374
DR;27;274;s;0;s;378
DR;28;853;336;65;156;1410
DR;32;1794;0;134;170;2098
DR;44;1564;503;54;175;2295
DR;52;332;0;2;56;390
DR;53;319;4;0;30;353
DR;75;492;6;s;s;580
DR;76;287;1;0;31;319
DR;84;985;s;s;172;1258
DR;93;712;s;s;18;738
DR;97;0;0;0;0;0
DR;T;8266;1077;339;1099;10781
FR;11;s;4;0;s;38
FR;24;26;0;0;0;26
FR;27;s;s;0;0;28
FR;28;52;0;s;0;s
FR;32;255;s;12;0;s
FR;44;991;s;s;0;1061
FR;52;10;0;0;0;10
FR;53;s;0;0;0;s
FR;75;77;s;s;s;85
FR;76;s;s;0;0;49
FR;84;106;122;0;0;229
FR;93;s;s;s;0;s
FR;97;0;0;0;0;0
FR;T;1652;4269;s;s;5994
IR;11;s;1;0;s;10
IR;24;s;s;0;0;38
IR;27;0;0;0;0;0
IR;28;s;0;0;0;s
IR;32;s;s;0;0;122
IR;44;45;s;0;s;48
IR;52;46;0;0;0;46
IR;53;0;0;0;0;0
IR;75;s;0;0;0;s
IR;76;s;s;s;0;70
IR;84;73;35;0;0;107
IR;93;70;0;0;0;70
IR;97;0;0;0;0;0
IR;T;498;s;s;s;561
JR;11;1;s;0;s;6
JR;24;9;0;s;s;16
JR;27;s;0;s;6;20
JR;28;10;s;0;6;s
JR;32;16;s;s;9;s
JR;44;s;s;0;9;19
JR;52;9;0;0;6;15
JR;53;25;s;s;6;31
JR;75;s;s;0;6;29
JR;76;5;1;0;3;9
JR;84;18;4;0;9;31
JR;93;1;s;0;2;s
JR;97;s;0;0;1;s
JR;T;137;2047;0;75;2259
KR;11;1;0;1;0;1
KR;24;3;0;0;0;3
KR;27;15;0;0;0;16
KR;28;14;0;0;2;15
KR;32;s;s;0;0;6
KR;44;s;s;0;1;15
KR;52;3;0;s;s;11
KR;53;10;0;s;s;s
KR;75;33;0;s;0;s
KR;76;14;0;0;0;15
KR;84;41;0;0;1;42
KR;93;17;0;0;0;17
KR;97;0;0;0;s;s
KR;T;170;0;3;12;185
LR;11;3;0;0;10;13
LR;24;s;s;0;6;9
LR;27;3;1;0;8;13
LR;28;5;1;1;10;17
LR;32;7;0;2;21;31
LR;44;11;2;1;31;45
LR;52;7;0;1;12;20
LR;53;3;0;1;8;12
LR;75;7;1;1;20;29
LR;76;7;0;1;13;21
LR;84;7;0;1;29;37
LR;93;9;1;1;12;22
LR;97;s;s;1;4;17
LR;T;86;7;9;184;286
OR;11;0;so;0;s;s
OR;24;30;so;0;s;s
OR;27;54;so;s;14;s
OR;28;103;so;s;s;111
OR;32;s;so;0;4;s
OR;44;272;so;s;7;s
OR;52;s;so;0;11;s
OR;53;s;so;0;3;s
OR;75;245;so;s;s;256
OR;76;s;so;0;2;s
OR;84;77;so;0;8;84
OR;93;s;so;s;1;s
OR;97;s;so;0;0;s
OR;T;904;so;26;62;993
