REGION;BR_THER;BR_NTHE;BR_VEND;BR_AUCO;BR_QAUP;BR_CSUP;BR_USQ1_UP;BR_USQ2_UP;BR_USQ4_UP;BR_USQ6_UP;BR_USQ7_UP
T;5360;677;1782;4255;110777;115032;68715;10382;12816;8902;14217
11;s;s;51;27;5584;5611;2745;881;50;764;1171
24;209;3;134;78;3606;3684;2372;457;20;386;450
27;2;0;s;s;s;5806;3153;s;s;450;568
28;s;s;193;804;8202;9006;6835;666;29;555;920
32;s;s;388;1242;20544;21786;12024;1775;4633;1115;2238
44;937;12;242;707;17208;17915;12790;1714;210;1780;1420
52;s;s;s;s;s;6185;3808;644;50;722;961
53;5;71;s;s;s;4328;2566;373;40;303;1046
75;s;s;121;395;7149;7545;5105;s;s;563;982
76;s;s;62;267;4720;4987;2811;s;s;467;509
84;184;79;140;123;19373;19496;9015;1883;4591;1429;2578
93;625;5;87;543;7634;8177;5153;277;1160;313;1274
97;6;274;274;6;502;508;336;17;0;54;101
