ENERGIE;TEFF;QAUP;CSUP;VALA;PRIX
T;03;so;so;1498;so
T;04;so;so;1714;so
T;05;so;so;3610;so
T;06;so;so;3453;so
T;07;so;so;4260;so
T;T;so;so;14535;so
BR;03;12227;12386;1009;83
BR;04;14363;14424;951;66
BR;05;28214;29552;1724;61
BR;06;25616;27095;1441;56
BR;07;30357;31576;1573;52
BR;T;110777;115032;6699;60
CR;03;830;830;24;29
CR;04;2529;2529;61;24
CR;05;9291;9291;217;23
CR;06;8317;8317;193;23
CR;07;4734;4734;143;30
CR;T;25701;25701;638;25
DR;03;7609;7609;257;34
DR;04;14015;14015;411;29
DR;05;48427;48427;1233;25
DR;06;40852;40852;1032;25
DR;07;29105;29105;732;25
DR;T;140008;140008;3664;26
FR;03;199;193;23;117
FR;04;1034;426;161;155
FR;05;1298;928;216;166
FR;06;645;646;96;149
FR;07;7969;7576;1354;170
FR;T;11146;9768;1849;166
IR;03;37;39;5;143
IR;04;260;271;32;124
IR;05;299;300;45;151
IR;06;s;s;s;s
IR;07;s;s;s;s
IR;T;732;736;140;192
JR;03;56;58;50;904
JR;04;37;37;25;682
JR;05;69;68;44;629
JR;06;999;991;559;559
JR;07;911;908;376;413
JR;T;2072;2063;1054;509
KR;03;17;23;10;575
KR;04;16;17;8;496
KR;05;40;41;19;471
KR;06;85;87;36;425
KR;07;26;26;11;425
KR;T;184;194;84;455
LR;03;142652;140654;107;0.75
LR;04;73453;71669;52;0.71
LR;05;72064;70154;52;0.72
LR;06;s;s;s;s
LR;07;s;s;s;s
LR;T;344023;338238;252;0.73
OR;03;234;427;11;48
OR;04;308;467;10;32
OR;05;1008;1649;41;41
OR;06;777;1177;33;43
OR;07;89;143;5;61
OR;T;2416;3863;101;42
