ENERGIE2;TEFF;USQF;USQ2;USQ3;USQ4;CSTP
CR;03;57;so;0;3;60
CR;04;178;so;s;s;182
CR;05;645;so;s;s;669
CR;06;567;so;10;21;599
CR;07;289;so;13;38;341
CR;T;1736;so;32;83;1850
DR;03;467;7;0;112;586
DR;04;887;53;3;135;1079
DR;05;2854;450;125;299;3729
DR;06;2187;549;145;265;3146
DR;07;1871;18;65;287;2241
DR;T;8266;1077;339;1099;10781
FR;03;100;3;0;0;104
FR;04;228;29;0;0;257
FR;05;422;s;s;0;544
FR;06;s;s;s;s;386
FR;07;s;s;s;0;4703
FR;T;1652;4269;s;s;5994
IR;03;s;s;0;0;30
IR;04;200;7;0;0;207
IR;05;s;14;s;s;229
IR;06;s;s;0;s;s
IR;07;s;s;0;0;s
IR;T;498;s;s;s;561
JR;03;43;0;0;21;63
JR;04;27;0;0;13;41
JR;05;44;5;0;25;75
JR;06;14;1063;0;9;1086
JR;07;9;979;0;6;995
JR;T;137;2047;0;75;2259
KR;03;12;0;s;s;22
KR;04;16;0;s;s;16
KR;05;37;0;0;2;39
KR;06;80;0;2;1;83
KR;07;24;0;s;s;24
KR;T;170;0;3;12;185
LR;03;39;3;1;76;119
LR;04;15;2;1;42;61
LR;05;18;0;2;38;59
LR;06;4;s;3;16;s
LR;07;9;s;3;11;s
LR;T;86;7;9;184;286
OR;03;74;so;13;23;110
OR;04;109;so;0;11;120
OR;05;404;so;s;s;424
OR;06;290;so;s;s;303
OR;07;27;so;0;9;37
OR;T;904;so;26;62;993
