NCE_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Indicateur,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,
Total industrie,20704,5994,10781,561,2259,185,286,20066,3117,753,993,279.7,405.2,4863,24929,1850,9893,37357,455,612,36290
E12 - Industrie laitière,401,0,427,0,17,17,5,466,s,0,s,s,0.3,34,500,48,326,886,ns,ns,880
E13 - Sucreries,32,191,645,s,s,0,6,841,0,0,s,s,0,0,842,30,94,974,ns,ns,860
"E14 - Industries alimentaires, hors industrie du lait et du sucre",2784,159,1393,0,63,25,28,1668,1,0,s,68.4,s,56,1724,152,1431,3396,ns,ns,3287
E16 - Sidérurgie,64,4855,658,12,4,0,11,5540,s,0,s,0,s,5,5545,11,950,6511,ns,ns,6453
E18 - Métallurgie de première transformation des métaux non ferreux,90,s,275,s,0,5,4,s,s,0,0,0,0,s,s,s,677,1061,ns,ns,1061
E19 - Production de minéraux divers,45,0,s,0,0,0,13,s,0,0,0,0,0,0,s,s,20,53,ns,ns,53
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",68,195,266,414,1,7,14,897,41,0,41,71.7,334,82,979,12,208,1604,ns,ns,1604
E21 - Production d'autres matériaux de construction et de céramique,818,70,453,34,8,7,80,653,14,0,23,12.5,22.1,37,690,s,245,981,ns,ns,980
E22 - Industrie du verre,220,0,905,0,s,51,2,s,s,0,0,0,0,s,962,1,313,1276,ns,ns,1276
E23 - Fabrication d'engrais,39,0,986,0,s,s,2,989,0,0,3,0,0,3,992,0,87,1079,ns,ns,1050
E24 - Autres industries de la chimie minérale,94,323,339,s,2,s,3,678,254,0,s,0,s,269,948,249,770,1968,ns,ns,1937
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",92,s,144,0,0,s,1,206,s,0,0,s,s,1,207,170,147,525,ns,ns,502
E26 - Autres industries de la chimie organique de base,368,0,1528,s,2035,s,6,3581,2796,s,s,9.4,14.3,2858,6439,622,694,7779,ns,ns,7477
E28 - Parachimie et industrie pharmaceutique,615,0,s,0,20,0,4,s,s,0,s,0.1,0,s,195,14,246,455,ns,ns,455
E29 - Fonderie et travail des métaux,3611,104,467,0,36,0,14,621,s,0,2,s,0.1,2,623,1,619,1242,ns,ns,1242
E30 - Construction mécanique,2561,0,135,0,14,0,9,158,s,0,s,0,s,2,160,3,215,379,ns,ns,379
E31 - Construction électrique et électronique,1467,17,160,0,5,0,4,186,0,0,0,0.2,0.1,0,186,2,343,532,ns,ns,531
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,697,s,342,0,s,1,8,370,s,0,0,s,0.2,2,372,16,425,815,ns,ns,809
"E33 - Construction navale et aéronautique, armement",389,0,s,0,2,s,6,s,s,0,4,0,0.1,s,110,12,194,316,ns,ns,315
"E34 - Industrie textile, du cuir et de l'habillement",1017,0,134,0,5,8,4,152,0,0,0,0,0.1,0,152,11,115,278,ns,ns,277
E35 - Industrie du papier et du carton,604,12,820,0,7,27,5,870,s,s,356,91.1,3.8,1096,1966,378,720,3158,ns,ns,2833
E36 - Fabrication de produits en caoutchouc,160,0,s,0,1,s,0,85,0,0,7,0,0,7,92,38,111,241,ns,ns,227
E37 - Fabrication de produits en plastique,1243,0,142,0,12,5,6,164,0,0,5,0.1,0,5,168,22,482,672,ns,ns,646
E38 - Industries diverses,3226,0,215,0,9,3,52,280,0,s,395,s,3.2,395,675,33,459,1176,ns,ns,1157
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2018.",,,,,,,,,,,,,,,,,,,,,
