"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateur,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,14535,so,11146,9768,1849,166,140008,140008,3664,26,732,736,140,192,2072,2063,1054,509,184,194,84,455,344023,338238,252,0.73,2416,3863,101,42,25701,25701,638,25,110777,115032,6699,60
E12 - Industrie laitière,so,so,455,so,0,0,0,0,5546,5546,159,29,0,0,0,0,15,15,11,683,17,18,9,561,6579,6455,4,0.68,s,s,s,s,662,662,19,28,3786,3794,245,65
E13 - Sucreries,so,so,270,so,350,367,47,133,8370,8370,180,22,s,s,s,s,s,s,s,s,0,0,0,0,7083,7121,5,0.74,s,s,s,s,412,412,8,19,s,1099,29,72
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1801,so,294,290,34,116,18096,18096,533,29,0,0,0,0,54,57,35,648,26,26,16,604,33357,33154,25,0.74,s,s,s,s,2114,2114,51,24,s,16637,1091,68
E16 - Sidérurgie,so,so,2089,so,8124,7816,1370,169,8549,8549,205,24,16,16,3,206,3,3,2,582,0,0,0,630,12697,12639,9,0.7,s,s,s,s,155,155,3,18,10678,11048,492,46
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,423,so,s,s,s,s,3574,3574,81,23,s,s,s,s,1,0,1,645,5,5,2,425,4626,4525,3,0.72,0,0,0,0,s,s,s,s,7875,7875,288,37
E19 - Production de minéraux divers,so,so,33,so,0,0,0,0,s,s,s,s,0,0,0,0,0,0,0,1040,1,0,1,694,15419,15341,12,0.75,0,0,0,0,s,s,s,s,s,s,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",so,so,324,so,323,334,38,119,3456,3456,78,23,529,543,63,120,1,1,0,655,7,8,2,338,17149,17047,11,0.64,154,160,3,18,163,163,4,22,s,2414,124,51
E21 - Production d'autres matériaux de construction et de céramique,so,so,468,so,112,109,34,299,5882,5882,136,23,48,45,26,541,8,8,5,670,8,8,3,458,96039,94643,70,0.72,88,88,4,49,s,s,s,s,s,s,s,s
E22 - Industrie du verre,so,so,507,so,61,0,7,119,11748,11748,263,22,0,0,0,0,s,s,s,s,54,54,19,349,2546,2436,2,0.7,0,0,0,0,18,18,0,17,3634,3637,211,58
E23 - Fabrication d'engrais,so,so,318,so,0,0,0,0,12801,12801,278,22,0,0,0,0,s,s,s,s,s,s,s,s,2440,2221,2,0.74,10,10,1,65,0,0,0,0,s,1008,37,67
E24 - Autres industries de la chimie minérale,so,so,697,so,533,534,75,141,4397,4397,108,24,s,s,s,s,2,2,1,596,s,s,s,s,3469,3554,3,0.73,s,s,s,s,3456,3456,104,30,8674,8949,397,46
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",so,so,217,so,s,s,s,s,1869,1869,50,27,0,0,0,0,0,0,0,751,s,s,s,s,635,659,0,0.72,0,0,0,0,2363,2363,55,23,s,1712,97,58
E26 - Autres industries de la chimie organique de base,so,so,2096,so,6,0,1,165,19845,19845,487,25,s,s,s,s,1868,1858,908,486,s,s,s,s,6580,6538,5,0.75,s,s,s,s,8642,8642,228,26,7838,8075,423,54
E28 - Parachimie et industrie pharmaceutique,so,so,323,so,104,0,13,124,s,s,s,s,0,0,0,0,18,18,12,661,0,0,0,685,4190,4154,3,0.65,s,s,s,s,198,198,6,33,2857,2859,213,75
E29 - Fonderie et travail des métaux,so,so,849,so,252,163,73,292,6059,6059,196,32,0,0,0,573,34,33,32,969,0,0,0,770,16157,16046,12,0.73,3,7,0,55,10,10,0,42,7180,7198,532,74
E30 - Construction mécanique,so,so,324,so,144,0,22,153,1756,1756,72,41,0,0,0,0,13,13,9,684,0,0,0,748,10478,10610,8,0.75,s,s,s,s,46,46,2,40,2503,2504,211,84
E31 - Construction électrique et électronique,so,so,378,so,81,25,17,209,2074,2074,72,35,0,0,0,0,5,5,3,674,0,0,0,819,5081,5113,4,0.74,1,1,0,18,28,28,1,37,3985,3989,280,70
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,so,so,502,so,s,s,s,s,4445,4445,138,31,0,0,0,0,s,s,s,s,1,1,1,702,9376,9117,8,0.89,1,1,0,109,225,225,5,24,4933,4946,326,66
