NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Bois et sous-produit du bois,,,,,Vapeur,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1652,4269,s,s,5994,8266,1077,339,1099,10781,498,s,s,s,561,137,2047,0,75,2259,170,0,3,12,185,86,7,9,184,286,904,so,26,62,993,1736,so,32,83,1850
E12 - Industrie laitière,0,0,0,0,0,409,0,0,18,427,0,0,0,0,0,s,0,s,3,17,s,0,s,s,17,3,0,1,1,5,33,so,0,s,s,47,so,0,1,48
E13 - Sucreries,178,0,13,0,191,573,0,63,8,645,s,0,0,0,s,0,0,0,s,s,0,0,0,0,0,2,0,s,s,6,s,so,0,0,s,30,so,0,0,30
"E14 - Industries alimentaires, hors industrie du lait et du sucre",159,0,0,0,159,1190,4,103,96,1393,0,0,0,0,0,49,0,0,13,63,24,0,0,1,25,14,1,1,12,28,s,so,0,1,s,147,so,0,5,152
E16 - Sidérurgie,s,4162,s,s,4855,624,s,0,s,658,s,5,0,s,12,3,0,0,1,4,s,0,0,s,0,s,0,0,s,11,0,so,0,s,s,9,so,0,2,11
E18 - Métallurgie de première transformation des métaux non ferreux,0,s,0,0,s,260,s,0,s,275,s,s,0,0,s,s,s,0,s,0,5,0,0,0,5,0,s,s,3,4,0,so,0,0,0,s,so,0,0,s
E19 - Production de minéraux divers,0,0,0,0,0,9,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,13,0,so,0,0,0,s,so,0,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",195,0,0,0,195,261,0,0,5,266,414,0,0,0,414,s,s,0,0,1,7,0,0,0,7,3,0,0,11,14,41,so,0,0,41,12,so,0,0,12
