TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Indicateur,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,
Total industrie,20704,5994,10781,561,2259,185,286,20066,3117,753,993,279.7,405.2,4863,24929,1850,9893,37357,455,612,36290
20 à 49 salariés,11919,104,586,30,63,22,119,923,s,s,110,38.2,4.9,136,1059,60,1065,2227,ns,ns,2209
50 à 99 salariés,4164,257,1079,207,41,16,61,1661,184,0,120,56.9,165.7,304,1965,182,1240,3610,ns,ns,3603
100 à 249 salariés,3100,544,3729,229,75,39,59,4675,s,s,424,s,195.6,617,5292,669,2542,8806,ns,ns,8587
250 à 499 salariés,1033,386,3146,s,1086,83,s,4749,2327,s,303,s,25.4,3193,7942,599,2330,10967,ns,ns,10288
500 salariés ou plus,488,4703,2241,s,995,24,s,8058,576,0,37,6.1,13.7,613,8671,341,2716,11747,ns,ns,11604
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2018.",,,,,,,,,,,,,,,,,,,,,
