REG,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Toutes régions,20704,5994,10781,561,2259,185,286,20066,3117,753,993,279.7,405.2,4863,24929,1850,9893,37357,455,612,36290
Île-de-France,1734,38,588,10,6,1,13,657,0,0,s,s,1.2,1,658,55,483,1199,ns,ns,1191
Centre-Val de Loire,1053,26,374,38,16,3,9,467,s,0,s,12.2,4.6,33,500,11,317,844,ns,ns,805
Bourgogne-Franche-Comté,1359,28,378,0,20,16,13,454,0,0,s,19.5,s,71,526,112,499,1167,ns,ns,1164
Normandie,1301,s,1410,s,s,15,17,1948,546,0,111,34.8,25.3,658,2605,265,775,3705,ns,ns,3623
Hauts-de-France,2078,s,2098,122,s,6,31,5154,s,0,s,12.2,77.7,317,5470,176,1874,7610,ns,ns,7444
Grand Est,2145,1061,2295,48,19,15,45,3482,s,0,s,62.6,106,2117,5599,279,1541,7587,ns,ns,7405
Pays de la Loire,1799,10,390,46,15,11,20,492,s,0,s,14.5,s,37,529,60,532,1174,ns,ns,1161
Bretagne,1188,s,353,0,31,s,12,421,0,s,s,0.2,s,9,430,50,372,852,ns,ns,846
Nouvelle-Aquitaine,1926,85,580,s,29,s,29,778,7,477,256,44.5,18.8,740,1518,329,649,2559,ns,ns,2412
Occitanie,1292,49,319,70,9,15,21,482,s,s,s,7.6,45.7,198,680,51,429,1213,ns,ns,1211
Auvergne-Rhône-Alpes,3667,229,1258,107,31,42,37,1705,5,0,84,28.3,50,90,1794,223,1677,3773,ns,ns,3724
Provence-Alpes-Côte d'Azur et Corse,856,s,738,70,s,17,22,4008,445,s,s,4.9,24.8,591,4600,209,703,5542,ns,ns,5173
Dom,306,0,0,0,s,s,17,20,1,0,s,s,s,1,21,30,44,133,ns,ns,132
