"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateur,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,14535,so,11146,9768,1849,166,140008,140008,3664,26,732,736,140,192,2072,2063,1054,509,184,194,84,455,344023,338238,252,0.73,2416,3863,101,42,25701,25701,638,25,110777,115032,6699,60
20 à 49 salariés,so,so,1498,so,199,193,23,117,7609,7609,257,34,37,39,5,143,56,58,50,904,17,23,10,575,142652,140654,107,0.75,234,427,11,48,830,830,24,29,12227,12386,1009,83
50 à 99 salariés,so,so,1714,so,1034,426,161,155,14015,14015,411,29,260,271,32,124,37,37,25,682,16,17,8,496,73453,71669,52,0.71,308,467,10,32,2529,2529,61,24,14363,14424,951,66
100 à 249 salariés,so,so,3610,so,1298,928,216,166,48427,48427,1233,25,299,300,45,151,69,68,44,629,40,41,19,471,72064,70154,52,0.72,1008,1649,41,41,9291,9291,217,23,28214,29552,1724,61
250 à 499 salariés,so,so,3453,so,645,646,96,149,40852,40852,1032,25,s,s,s,s,999,991,559,559,85,87,36,425,s,s,s,s,777,1177,33,43,8317,8317,193,23,25616,27095,1441,56
500 salariés ou plus,so,so,4260,so,7969,7576,1354,170,29105,29105,732,25,s,s,s,s,911,908,376,413,26,26,11,425,s,s,s,s,89,143,5,61,4734,4734,143,30,30357,31576,1573,52
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
