"TEFF_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateur,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
Tranche d'effectif salarié,,,,,,,,,,,
Total industrie,5360,677,1782,4255,110777,115032,68715,10382,12816,8902,14217
20 à 49 salariés,167,295,303,159,12227,12386,7121,957,360,2015,1932
50 à 99 salariés,60,38,38,61,14363,14424,8342,1090,821,1276,2894
100 à 249 salariés,1649,192,502,1339,28214,29552,18481,3071,2269,1842,3888
250 à 499 salariés,2278,34,834,1479,25616,27095,16993,3025,2707,1470,2901
500 salariés ou plus,1205,119,105,1219,30357,31576,17777,2238,6659,2299,2602
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2018.",,,,,,,,,,,
