Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Bois et sous-produit du bois,,,,,Vapeur,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Total industrie,1652,4269,s,s,5994,8266,1077,339,1099,10781,498,s,s,s,561,137,2047,0,75,2259,170,0,3,12,185,86,7,9,184,286,904,so,26,62,993,1736,so,32,83,1850
07 - Extraction de minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,0,0,0,s,0,s,s,s,0,so,0,0,0,0,so,0,0,0
08 - 09 - Industries extractives,0,0,0,0,0,29,0,0,1,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,28,1,0,43,73,s,so,0,0,s,s,so,0,s,s
10 - Industries alimentaires,336,0,s,0,s,2052,4,166,105,2327,s,0,0,0,s,s,s,0,13,75,s,0,s,1,40,15,s,4,s,33,s,so,0,s,s,216,so,0,6,222
11 - Fabrication de boissons,0,0,0,0,0,120,0,0,17,136,0,0,0,0,0,2,0,0,3,5,1,0,0,0,2,s,0,s,2,7,4,so,0,1,5,7,so,0,0,7
12 - Fabrication de produits à base de tabac,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,0,s,so,s,s,s,s,so,s,s,s
13 - Fabrication de textiles,0,0,0,0,0,94,0,1,21,116,0,0,0,0,0,3,0,0,1,4,s,0,s,s,2,0,0,0,2,2,0,so,0,0,0,s,so,0,s,s
14 - Industrie de l'habillement,0,0,0,0,0,6,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,1,1,0,so,0,0,0,0,so,0,s,s
15 - Industrie du cuir et de la chaussure,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,so,0,0,0,2,so,0,2,4
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,s,0,s,4,64,0,0,0,0,0,2,0,0,2,4,2,0,0,0,2,s,s,0,18,20,341,so,0,38,379,s,so,0,s,s
17 - Industrie du papier et du carton,s,0,s,0,12,716,s,s,48,820,0,0,0,0,0,2,0,0,5,7,s,0,s,0,27,1,0,0,3,5,341,so,s,s,356,365,so,s,s,378
