Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Bois et sous-produit du bois,,,,,Vapeur,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Toutes régions,1652,4269,s,s,5994,8266,1077,339,1099,10781,498,s,s,s,561,137,2047,0,75,2259,170,0,3,12,185,86,7,9,184,286,904,so,26,62,993,1736,so,32,83,1850
Île-de-France,s,4,0,s,38,379,s,6,s,588,s,1,0,s,10,1,s,0,s,6,1,0,1,0,1,3,0,0,10,13,0,so,0,s,s,48,so,0,7,55
Centre-Val de Loire,26,0,0,0,26,274,0,39,61,374,s,s,0,0,38,9,0,s,s,16,3,0,0,0,3,s,s,0,6,9,30,so,0,s,s,10,so,0,2,11
Bourgogne-Franche-Comté,s,s,0,0,28,274,s,0,s,378,0,0,0,0,0,s,0,s,6,20,15,0,0,0,16,3,1,0,8,13,54,so,s,14,s,s,so,0,s,112
Normandie,52,0,s,0,s,853,336,65,156,1410,s,0,0,0,s,10,s,0,6,s,14,0,0,2,15,5,1,1,10,17,103,so,s,s,111,258,so,0,7,265
Hauts-de-France,255,s,12,0,s,1794,0,134,170,2098,s,s,0,0,122,16,s,s,9,s,s,s,0,0,6,7,0,2,21,31,s,so,0,4,s,165,so,0,11,176
Grand Est,991,s,s,0,1061,1564,503,54,175,2295,45,s,0,s,48,s,s,0,9,19,s,s,0,1,15,11,2,1,31,45,272,so,s,7,s,261,so,s,s,279
Pays de la Loire,10,0,0,0,10,332,0,2,56,390,46,0,0,0,46,9,0,0,6,15,3,0,s,s,11,7,0,1,12,20,s,so,0,11,s,s,so,s,4,60
Bretagne,s,0,0,0,s,319,4,0,30,353,0,0,0,0,0,25,s,s,6,31,10,0,s,s,s,3,0,1,8,12,s,so,0,3,s,45,so,0,5,50
Nouvelle-Aquitaine,77,s,s,s,85,492,6,s,s,580,s,0,0,0,s,s,s,0,6,29,33,0,s,0,s,7,1,1,20,29,245,so,s,s,256,318,so,s,s,329
Occitanie,s,s,0,0,49,287,1,0,31,319,s,s,s,0,70,5,1,0,3,9,14,0,0,0,15,7,0,1,13,21,s,so,0,2,s,40,so,s,s,51
Auvergne-Rhône-Alpes,106,122,0,0,229,985,s,s,172,1258,73,35,0,0,107,18,4,0,9,31,41,0,0,1,42,7,0,1,29,37,77,so,0,8,84,209,so,s,s,223
Provence-Alpes-Côte d'Azur et Corse,s,s,s,0,s,712,s,s,18,738,70,0,0,0,70,1,s,0,2,s,17,0,0,0,17,9,1,1,12,22,s,so,s,1,s,206,so,3,1,209
Dom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,1,s,0,0,0,s,s,s,s,1,4,17,s,so,0,0,s,30,so,0,0,30
