ID,NAF,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
_T,Total,20704,5994,10781,561,2259,185,286,20066,3117,753,993,279.7,405.2,4863,24929,1850,9893,37357,455,612,36290
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,ns,ns,s
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",220,0,30,0,1,0,73,104,10,0,s,s,0,13,117,s,60,192,ns,ns,192
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2816,s,2327,s,75,40,33,2824,0,0,s,54.6,s,85,2909,222,1659,4865,ns,ns,4637
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",398,0,136,0,5,2,7,150,1,0,5,33.7,0,5,155,7,192,389,ns,ns,389
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,ns,ns,s
13,Fabrication de textiles,482,0,116,0,4,2,2,125,0,0,0,0,0,0,125,s,95,227,ns,ns,225
14,Industrie de l'habillement,283,0,11,0,0,s,1,s,0,0,0,0,0.1,0,s,s,9,27,ns,ns,27
15,Industrie du cuir et de la chaussure,251,0,6,0,1,0,1,8,0,0,0,0,0,0,8,4,12,24,ns,ns,24
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",773,0,64,0,4,2,20,90,0,s,379,4.4,s,379,469,s,195,676,ns,ns,659
17,Industrie du papier et du carton,604,12,820,0,7,27,5,870,s,s,356,91.1,3.8,1096,1966,378,720,3158,ns,ns,2833
18,Imprimerie et reproduction d'enregistrements,655,0,46,0,1,0,2,49,0,0,s,0,s,s,s,s,94,147,ns,ns,147
20,Industrie chimique,900,384,3004,s,2057,s,13,5484,3051,s,s,9.4,9.1,3133,8617,1032,1721,11389,ns,ns,11007
21,Industrie pharmaceutique,308,0,s,0,s,0,2,s,0,0,0,s,s,s,163,24,222,417,ns,ns,414
22,Fabrication de produits en caoutchouc et en plastique,1403,0,217,0,12,13,6,249,0,0,11,0.1,0,11,260,60,593,913,ns,ns,873
23,Fabrication d'autres produits minéraux non métalliques,927,265,1604,448,12,66,36,2431,46,0,61,78.6,356.1,106,2537,24,725,3721,ns,ns,3720
24,Métallurgie,452,4924,1119,s,9,5,s,6182,s,0,0,0,s,5,6187,15,1837,8044,ns,ns,7985
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3539,36,290,0,36,0,10,373,s,0,2,s,0.1,2,376,1,429,806,ns,ns,806
26,"Fabrication de produits informatiques, électroniques et optiques",655,0,32,0,s,s,1,33,0,0,0,0,0,0,33,4,162,199,ns,ns,198
27,Fabrication d'équipements électriques,678,17,120,0,4,0,3,143,0,0,s,s,0.1,0,144,1,170,315,ns,ns,315
28,Fabrication de machines et équipements n.c.a.,1591,0,128,0,9,0,9,146,0,0,s,0,s,1,147,1,185,333,ns,ns,332
29,Industrie automobile,618,s,316,0,13,1,s,340,s,0,0,s,0.2,2,342,15,410,768,ns,ns,763
30,Fabrication d'autres matériels de transport,331,0,102,0,2,0,3,107,s,0,s,0,0,7,115,11,182,308,ns,ns,306
31,Fabrication de meubles,394,0,18,0,1,0,2,21,0,0,15,1,0,15,36,0,36,73,ns,ns,73
32,Autres industries manufacturières,597,0,26,0,1,0,1,28,0,0,s,0,s,0,28,2,57,88,ns,ns,88
33,Réparation et installation de machines et d'équipements,1421,0,16,0,1,0,7,23,s,0,0,0,s,0,24,2,47,73,ns,ns,73
38,"Collecte, traitement et élimination des déchets ; récupération",401,0,70,0,3,1,27,101,0,0,0,0,0,0,101,23,79,204,ns,ns,202
