ID,REG,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
FRA,France,5360,677,1782,4255,110777,115032,68715,10382,12816,8902,14217
IDF,Ile-de-France,s,s,51,27,5584,5611,2745,881,50,764,1171
CVL,Centre-Val de Loire,209,3,134,78,3606,3684,2372,457,20,386,450
BFC,Bourgogne-Franche-Comté,2,0,s,s,s,5806,3153,s,s,450,568
NOR,Normandie,s,s,193,804,8202,9006,6835,666,29,555,920
HDF,Hauts-de-France,s,s,388,1242,20544,21786,12024,1775,4633,1115,2238
GRE,Grand Est,937,12,242,707,17208,17915,12790,1714,210,1780,1420
PAL,Pays de la Loire,s,s,s,s,s,6185,3808,644,50,722,961
BRE,Bretagne,5,71,s,s,s,4328,2566,373,40,303,1046
NOA,Nouvelle-Aquitaine,s,s,121,395,7149,7545,5105,s,s,563,982
OCC,Occitanie,s,s,62,267,4720,4987,2811,s,s,467,509
ARA,Auvergne-Rhône-Alpes,184,79,140,123,19373,19496,9015,1883,4591,1429,2578
PAC,Provence-Alpes-Côte d'Azur,625,5,87,543,7634,8177,5153,277,1160,313,1274
DOM,Départements d’Outre-mer,6,274,274,6,502,508,336,17,0,54,101
