naf_code,naf_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
13,Fabrication de textiles,482,0,116,,0,4,2,2,,125,0,0,0,,0,0,0,,,227.0,,,225.0
14,Industrie de l'habillement,283,0,11,,0,0,,1,,,0,0,0,,0,0.1,0,,,27.0,,,27.0
15,Industrie du cuir et de la chaussure,251,0,6,,0,1,0,1,,8,0,0,0,,0,0,0,4,,24.0,,,24.0
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",773,0,64,,0,4,2,20,,90,0,,379,,4.4,,379,,,676.0,,,659.0
17,Industrie du papier et du carton,604,12,820,,0,7,27,5,,870,,,356,,91.1,3.8,1096,378,,3158.0,,,2833.0
18,Imprimerie et reproduction d'enregistrements,655,0,46,,0,1,0,2,,49,0,0,,,0,,,,,147.0,,,147.0
20,Industrie chimique,900,384,3004,,,2057,,13,,5484,3051,,,,9.4,9.1,3133,1032,,11389.0,,,11007.0
21,Industrie pharmaceutique,308,0,,,0,,0,2,,,0,0,0,,,,,24,,417.0,,,414.0
22,Fabrication de produits en caoutchouc et en plastique,1403,0,217,,0,12,13,6,,249,0,0,11,,0.1,0,11,60,,913.0,,,873.0
23,Fabrication d'autres produits minéraux non métalliques,927,265,1604,,448,12,66,36,,2431,46,0,61,,78.6,356.1,106,24,,3721.0,,,3720.0
24,Métallurgie,452,4924,1119,,,9,5,,,6182,,0,0,,0,,5,15,,8044.0,,,7985.0
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3539,36,290,,0,36,0,10,,373,,0,2,,,0.1,2,1,,806.0,,,806.0
26,"Fabrication de produits informatiques, électroniques et optiques",655,0,32,,0,,,1,,33,0,0,0,,0,0,0,4,,199.0,,,198.0
27,Fabrication d'équipements électriques,678,17,120,,0,4,0,3,,143,0,0,,,,0.1,0,1,,315.0,,,315.0
28,Fabrication de machines et équipements n.c.a.,1591,0,128,,0,9,0,9,,146,0,0,,,0,,1,1,,333.0,,,332.0
29,Industrie automobile,618,,316,,0,13,1,,,340,,0,0,,,0.2,2,15,,768.0,,,763.0
30,Fabrication d'autres matériels de transport,331,0,102,,0,2,0,3,,107,,0,,,0,0,7,11,,308.0,,,306.0
31,Fabrication de meubles,394,0,18,,0,1,0,2,,21,0,0,15,,1,0,15,0,,73.0,,,73.0
32,Autres industries manufacturières,597,0,26,,0,1,0,1,,28,0,0,,,0,,0,2,,88.0,,,88.0
33,Réparation et installation de machines et d'équipements,1421,0,16,,0,1,0,7,,23,,0,0,,0,,0,2,,73.0,,,73.0
38,"Collecte, traitement et élimination des déchets ; récupération",401,0,70,,0,3,1,27,,101,0,0,0,,0,0,0,23,,204.0,,,202.0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",224,0.0,30.0,,0.0,1.0,0.0,73.0,,104.0,10.0,0.0,,,,0.0,13.0,,,192.0,,,192.0
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",3216,0.0,2463.0,,0.0,80.0,42.0,40.0,,2974.0,1.0,0.0,5.0,,88.30000000000001,0.0,90.0,229.0,,5254.0,,,5026.0
_T,Total,20704,5994,10781,,561,2259,185,286,,20066,3117,753,993,,279.7,405.2,4863,1850,,37357.0,455,612,36290.0
