naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,11,2,13,13,1,,,816,,1,120.0,80.0,,
14,Industrie de l'habillement,0,,0.0,,,,99,65,0,0,29.0,5.0,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,141,141,74,5,0,25.0,36.0,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",119,276,395,389,6,,,1974,,0,204.0,48.0,,
17,Industrie du papier et du carton,1449,8,1457,493,964,7408,8372,7869,51,4,292.0,156.0,,
18,Imprimerie et reproduction d'enregistrements,1,0,1,0,1,1097,1097,803,53,6,140.0,96.0,,
20,Industrie chimique,1149,96,1245,249,996,19020,20016,11553,427,3469,505.0,4063.0,,
21,Industrie pharmaceutique,5,1,6,,,,2586,1181,182,1,422.0,801.0,,
22,Fabrication de produits en caoutchouc et en plastique,,,,,,,6890,4460,935,20,630.0,845.0,,
23,Fabrication d'autres produits minéraux non métalliques,6,17,23,0,23,8409,8432,5623,,,614.0,461.0,,
24,Métallurgie,,,,17,388,20968,21356,7910,3326,8832,674.0,614.0,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",0,2,2,2,0,4991,4991,3459,546,164,608.0,213.0,,
26,"Fabrication de produits informatiques, électroniques et optiques",1,0,1,0,1,1881,1882,633,126,27,429.0,667.0,,
27,Fabrication d'équipements électriques,3,0,3,0,3,1978,1981,1019,472,41,234.0,215.0,,
28,Fabrication de machines et équipements n.c.a.,1,0,1,0,1,2146,2148,1302,249,3,378.0,216.0,,
29,Industrie automobile,,,,22,13,4756,4768,3194,333,112,766.0,362.0,,
30,Fabrication d'autres matériels de transport,,,,22,14,2098,2113,1044,300,20,432.0,318.0,,
31,Fabrication de meubles,,,,,,,416,347,7,0,51.0,11.0,,
32,Autres industries manufacturières,0,0,0,0,0,667,668,398,41,3,101.0,123.0,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,545,545,,40,,202.0,112.0,,
38,"Collecte, traitement et élimination des déchets ; récupération",155,0,155,,,,923,741,46,3,62.0,71.0,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",3.0,0,3.0,0,3.0,,7.0,652,1,7,0.0,4.0,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1796.0,72.0,1868.0,537.0,1338.0,20187.0,21525.0,13409.0,1456.0,17.0,1287.0,4351.0,,
_T,Total,5360,677,6037,1782,4255,110777,115032,68715,10382,12816,8902.0,14217.0,,
