COD_VAR;LIB_VAR;COD_MOD;LIB_MOD1
INDIC_SL;Indicateur;CONSBRT;Consommation brute (en millions de TEP)
INDIC_SL;Indicateur;CONSNET;Consommation nette (en millions de TEP)
INDIC_SL;Indicateur;FACTURE;Facture énergétique (en millions d'euros courants)
INDIC_SL;Indicateur;BR_PCT;Electricité consommée hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;CMS_PCT;Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;DR_PCT;Gaz de réseau consommé hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;PP_PCT;Produits pétroliers (coke de pétrole, butane-propane, fioul lourd et fioul domestique) consommés hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;CR_PCT;Vapeur consommée hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;ENM_PCT;Énergies non marchandes consommées hors utilisation en tant que matière première (en %)
INDIC_SL;Indicateur;TOT_PCT;Total (en %)
INDIC_SL;Indicateur;BR_PRIX;Prix moyen annuel de l'électricité (en € / Mwh)
INDIC_SL;Indicateur;CR_PRIX;Prix moyen annuel de la vapeur (en € / t)
INDIC_SL;Indicateur;DR_PRIX;Prix moyen annuel du gaz de réseau (en € / Mwh)
INDIC_SL;Indicateur;FR_PRIX;Prix moyen annuel de la houille (en € / t)
INDIC_SL;Indicateur;GR_PRIX;Prix moyen annuel de la lignite, du charbon pauvre (en € / t)
INDIC_SL;Indicateur;HR_PRIX;Prix moyen annuel du coke de houille (en € / t)
INDIC_SL;Indicateur;IR_PRIX;Prix moyen annuel du coke de pétrole (en € / t)
INDIC_SL;Indicateur;JR_PRIX;Prix moyen annuel du butane-propane (en € / t)
INDIC_SL;Indicateur;KR_PRIX;Prix moyen annuel du fioul lourd (en € / t)
INDIC_SL;Indicateur;LR_PRIX;Prix moyen annuel du fioul domestique (en € / l)
INDIC_SL;Indicateur;OR_PRIX;Prix moyen annuel du bois (en € / t)
INDIC_T1;Indicateur;NB_ETAB;Nombre d'établissements
INDIC_T1;Indicateur;FR_CSTP;Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)
INDIC_T1;Indicateur;DR_CSTP;Gaz de réseau
INDIC_T1;Indicateur;IR_CSTP;Coke de pétrole
INDIC_T1;Indicateur;JR_CSTP;Butane propane
INDIC_T1;Indicateur;KR_CSTP;Fioul lourd
INDIC_T1;Indicateur;LR_CSTP;Fioul domestique
INDIC_T1;Indicateur;CONCOMB1;Total combustibles usuels
INDIC_T1;Indicateur;MR_CSTP;Autres produits pétroliers
INDIC_T1;Indicateur;NR_CSTP;Liqueurs noires
INDIC_T1;Indicateur;OR_CSTP;Bois et sous-produit du bois
