ENERGIE2;SECTEUR;USQF;USQ2;USQ3;USQ4;USQ8;CSTP
CR;07;;so;0;;;0
CR;08;;so;0;;;s
CR;10;;so;0;;;258
CR;11;;so;0;;;13
CR;12;;so;0;;;0
CR;13;;so;0;;;s
CR;14;;so;0;;;0
CR;15;;so;0;;;3
CR;16;;so;0;;;s
CR;17;;so;s;;;300
CR;18;;so;0;;;s
CR;20;;so;29;;;1052
CR;21;;so;0;;;28
CR;22;;so;s;;;49
CR;23;;so;0;;;12
CR;24;;so;0;;;32
CR;25;;so;0;;;1
CR;26;;so;0;;;1
CR;27;;so;0;;;1
CR;28;;so;0;;;1
CR;29;;so;0;;;17
CR;30;;so;0;;;12
CR;31;;so;0;;;0
CR;32;;so;0;;;3
CR;33;;so;0;;;2
CR;38;;so;0;;;s
CR;T;;so;39;;;1818
DR;07;;0;0;;;0
DR;08;;0;0;;;35
DR;10;;4;170;;;2352
DR;11;;0;0;;;125
DR;12;;0;0;;;s
DR;13;;0;s;;;104
DR;14;;0;0;;;s
DR;15;;0;0;;;s
DR;16;;0;s;;;53
DR;17;;0;58;;;786
DR;18;;0;0;;;36
DR;20;;918;63;;;2857
DR;21;;0;0;;;157
DR;22;;5;23;;;227
DR;23;;s;0;;;1596
DR;24;;1;0;;;1054
DR;25;;0;0;;;289
DR;26;;s;0;;;s
DR;27;;0;0;;;91
DR;28;;0;0;;;127
DR;29;;0;3;;;300
DR;30;;s;s;;;107
DR;31;;0;0;;;17
DR;32;;0;0;;;27
DR;33;;0;0;;;27
DR;38;;0;s;;;85
DR;T;;943;340;;;10509
FR;07;;0;0;;;0
FR;08;;0;0;;;0
FR;10;;s;s;;;183
FR;11;;0;0;;;0
FR;12;;0;0;;;0
FR;13;;0;0;;;0
FR;14;;0;0;;;0
FR;15;;0;0;;;0
FR;16;;0;0;;;0
FR;17;;0;s;;;11
FR;18;;0;0;;;0
FR;20;;s;s;;;324
FR;21;;0;0;;;0
FR;22;;0;0;;;0
FR;23;;s;s;;;250
FR;24;;3902;s;;;4642
FR;25;;s;0;;;s
FR;26;;0;0;;;0
FR;27;;0;0;;;14
FR;28;;0;0;;;0
FR;29;;0;0;;;s
FR;30;;0;0;;;0
FR;31;;0;0;;;0
FR;32;;0;0;;;0
FR;33;;0;0;;;0
FR;38;;0;0;;;0
FR;T;;3933;56;;;5437
IR;07;;0;0;;;0
IR;08;;0;0;;;0
IR;10;;s;0;;;s
IR;11;;0;0;;;0
IR;12;;0;0;;;0
IR;13;;0;0;;;0
IR;14;;0;0;;;0
IR;15;;0;0;;;0
IR;16;;0;0;;;0
IR;17;;0;0;;;0
IR;18;;0;0;;;0
IR;20;;s;0;;;s
IR;21;;0;0;;;0
IR;22;;0;0;;;0
IR;23;;s;0;;;448
IR;24;;28;0;;;s
IR;25;;0;0;;;0
IR;26;;0;0;;;0
IR;27;;0;0;;;0
IR;28;;0;0;;;0
IR;29;;0;0;;;0
IR;30;;0;0;;;0
IR;31;;0;0;;;0
IR;32;;0;0;;;0
IR;33;;0;0;;;0
IR;38;;0;0;;;0
IR;T;;55;0;;;568
JR;07;0;0;s;0;;s
JR;08;s;s;s;0;;1
JR;10;55;1;0;11;;67
JR;11;3;0;0;3;;6
JR;12;0;0;0;0;;0
JR;13;3;0;0;1;;5
JR;14;1;0;0;0;;1
JR;15;s;0;0;s;;1
JR;16;1;0;0;s;;s
JR;17;s;0;s;5;;6
JR;18;2;0;0;0;;2
JR;20;15;2710;0;3;;2728
JR;21;1;0;0;1;;2
JR;22;7;0;0;5;;12
JR;23;9;0;0;5;;15
JR;24;6;s;0;3;;s
JR;25;18;0;0;13;;32
JR;26;0;0;0;0;;0
JR;27;s;0;s;2;;3
JR;28;5;0;0;5;;10
JR;29;s;0;0;7;;s
JR;30;s;s;0;2;;3
JR;31;1;0;0;2;;3
JR;32;0;0;0;1;;1
JR;33;1;0;0;1;;2
JR;38;2;0;0;s;;s
JR;T;139;2714;1;74;;2928
KR;07;;0;0;;;0
KR;08;;0;0;;;1
KR;10;;0;s;;;33
KR;11;;0;0;;;1
KR;12;;0;0;;;0
KR;13;;0;0;;;2
KR;14;;0;0;;;0
KR;15;;0;0;;;0
KR;16;;0;0;;;1
KR;17;;0;s;;;27
KR;18;;0;0;;;0
KR;20;;0;0;;;s
KR;21;;0;0;;;0
KR;22;;0;0;;;19
KR;23;;0;0;;;62
KR;24;;0;0;;;4
KR;25;;0;s;;;s
KR;26;;0;s;;;s
KR;27;;0;s;;;0
