SECTEUR;BR_THER;BR_NTHE;BR_VEND;BR_AUCO;BR_QAUP;BR_CSUP;BR_USQ2_UP
T;5617;454;2143;3971;106074;110045;8954
07;0;0;0;0;0;0;0
08;8;0;0;8;655;664;0
10;1763;76;330;1509;16814;18323;946
11;1;7;5;3;1679;1681;81
12;s;0;0;s;s;5;0
13;0;0;0;0;1009;1009;65
14;0;7;s;s;s;107;0
15;0;0;0;0;144;144;4
16;441;2;436;8;1857;1865;39
17;1324;7;713;619;6919;7538;54
18;0;0;0;0;961;961;33
20;1258;70;406;965;18918;19883;399
21;4;1;s;s;s;2339;163
22;s;s;s;s;s;6686;726
23;6;11;s;s;s;8201;1467
24;s;s;15;426;20742;21168;3209
25;1;6;5;1;4824;4825;383
26;1;0;0;1;1918;1919;129
27;2;2;s;s;s;1986;379
28;1;0;0;1;2008;2009;201
29;s;s;s;s;s;4449;274
30;37;0;22;15;2060;2075;286
31;0;s;s;s;s;401;5
32;s;0;0;s;s;593;22
33;0;0;0;0;480;480;42
38;s;s;183;49;686;734;46
