NCE;ENERGIE;QAUP;CSUP;VALA;PRIX
E12;T;so;so;466;so
E13;T;so;so;261;so
E14;T;so;so;1737;so
E16;T;so;so;1872;so
E18;T;so;so;458;so
E19;T;so;so;29;so
E20;T;so;so;317;so
E21;T;so;so;449;so
E22;T;so;so;483;so
E23;T;so;so;223;so
E24;T;so;so;656;so
E25;T;so;so;191;so
E26;T;so;so;2009;so
E28;T;so;so;313;so
E29;T;so;so;825;so
E30;T;so;so;317;so
E31;T;so;so;380;so
E32;T;so;so;492;so
E33;T;so;so;252;so
E34;T;so;so;167;so
E35;T;so;so;757;so
E36;T;so;so;120;so
E37;T;so;so;485;so
E38;T;so;so;517;so
T;T;so;so;13774;so
E12;BR;3287;3346;240;73
E13;BR;s;1076;37;80
E14;BR;14751;15587;1079;73
E16;BR;10261;10676;470;46
E18;BR;8325;8325;321;39
E19;BR;s;207;13;64
E20;BR;2427;2428;117;48
E21;BR;2732;2752;188;69
E22;BR;s;3478;199;57
E23;BR;s;679;30;54
E24;BR;8419;8685;369;44
E25;BR;1624;1894;97;59
E26;BR;8013;8320;442;55
E28;BR;2639;2643;207;78
E29;BR;6782;6795;537;79
E30;BR;2407;2409;216;90
E31;BR;s;3924;292;75
E32;BR;s;4617;328;72
E33;BR;s;2253;187;83
E34;BR;s;1259;103;82
E35;BR;6919;7538;383;55
E36;BR;s;1126;74;69
E37;BR;s;5560;397;74
E38;BR;4409;4466;363;82
T;BR;106074;110045;6689;63
E12;CR;898;898;26;28
E13;CR;893;893;11;13
E14;CR;1972;1972;47;24
E16;CR;158;158;2;16
E18;CR;253;253;4;16
E19;CR;s;s;s;s
E20;CR;146;146;3;21
E21;CR;0;0;0;1609
E22;CR;s;s;s;s
E23;CR;0;0;0;0
E24;CR;4150;4150;93;22
E25;CR;2313;2313;41;18
E26;CR;8156;8156;196;24
E28;CR;384;384;13;33
E29;CR;54;54;1;17
E30;CR;15;15;1;42
E31;CR;20;20;1;51
E32;CR;245;245;6;24
E33;CR;178;178;6;36
E34;CR;143;143;3;18
E35;CR;4164;4164;81;20
E36;CR;s;s;s;s
E37;CR;178;178;3;19
E38;CR;281;281;5;17
T;CR;25255;25255;555;22
E12;DR;5834;5834;175;30
E13;DR;7886;7886;171;22
E14;DR;18477;18477;528;29
E16;DR;7879;7879;159;20
E18;DR;3529;3529;87;25
E19;DR;s;s;s;s
E20;DR;3487;3487;76;22
E21;DR;5724;5724;133;23
E22;DR;11855;11855;259;22
E23;DR;11287;11287;188;17
E24;DR;5316;5316;98;18
E25;DR;1742;1742;40;23
E26;DR;18654;18654;364;19
E28;DR;2143;2143;75;35
E29;DR;5899;5899;189;32
E30;DR;1743;1743;73;42
E31;DR;1897;1897;69;37
E32;DR;4263;4263;138;32
E33;DR;1305;1305;50;38
E34;DR;1588;1588;53;33
E35;DR;10206;10206;235;23
E36;DR;s;s;s;s
E37;DR;1882;1882;65;35
E38;DR;2719;2719;84;31
T;DR;136487;136487;3345;25
E12;FR;0;0;0;0
E13;FR;286;297;36;125
E14;FR;50;50;5;105
E16;FR;7418;7302;1221;165
E18;FR;s;s;s;s
E19;FR;0;0;0;0
E20;FR;349;347;38;108
E21;FR;65;69;25;383
E22;FR;0;0;0;536
E23;FR;0;0;0;0
E24;FR;495;449;76;154
E25;FR;s;s;s;s
E26;FR;0;0;0;0
E28;FR;0;0;0;0
E29;FR;175;173;63;358
E30;FR;0;0;0;0
E31;FR;21;21;6;312
E32;FR;s;s;s;s
E33;FR;0;0;0;0
E34;FR;0;0;0;0
E35;FR;18;18;2;109
E36;FR;0;0;0;0
E37;FR;0;0;0;0
E38;FR;0;0;0;0
T;FR;8971;8821;1484;165
E12;IR;0;0;0;0
E13;IR;s;s;s;s
E14;IR;0;0;0;0
E16;IR;14;14;3;208
E18;IR;135;135;34;250
E19;IR;0;0;0;0
E20;IR;543;553;66;121
E21;IR;35;35;19;557
E22;IR;0;0;0;0
E23;IR;0;0;0;0
E24;IR;s;s;s;s
E25;IR;0;0;0;0
E26;IR;s;s;s;s
E28;IR;0;0;0;0
E29;IR;0;0;0;605
E30;IR;0;0;0;0
E31;IR;0;0;0;0
E32;IR;0;0;0;0
E33;IR;0;0;0;0
E34;IR;0;0;0;0
E35;IR;0;0;0;0
E36;IR;0;0;0;0
E37;IR;0;0;0;0
E38;IR;0;0;0;0
T;IR;736;746;124;168
E12;JR;11;11;6;587
E13;JR;s;s;s;s
E14;JR;51;54;31;605
E16;JR;4;4;2;593
E18;JR;0;0;0;727
E19;JR;0;0;0;883
E20;JR;1;1;0;642
E21;JR;10;10;6;647
E22;JR;4;4;3;668
E23;JR;0;0;0;589
E24;JR;2;2;1;570
E25;JR;0;0;0;821
E26;JR;2476;2472;978;395
E28;JR;s;s;s;s
E29;JR;31;31;21;683
E30;JR;12;12;8;687
E31;JR;4;4;3;743
E32;JR;s;s;s;s
E33;JR;2;2;2;834
E34;JR;5;6;3;590
E35;JR;4;5;3;796
E36;JR;0;0;0;994
E37;JR;11;11;8;725
E38;JR;11;11;8;728
T;JR;2674;2674;1108;414
E12;KR;13;13;7;562
E13;KR;s;s;s;s
E14;KR;24;23;14;589
E16;KR;0;0;0;630
E18;KR;s;s;s;s
E19;KR;0;0;0;0
E20;KR;10;9;3;356
E21;KR;8;8;4;545
E22;KR;46;48;17;378
E23;KR;4;4;2;482
E24;KR;7;7;5;718
E25;KR;s;s;s;s
E26;KR;s;s;s;s
E28;KR;s;s;s;s
E29;KR;0;0;0;1165
E30;KR;0;0;0;670
E31;KR;0;0;0;867
E32;KR;0;0;0;627
E33;KR;0;0;0;788
E34;KR;2;3;2;638
E35;KR;26;28;11;432
E36;KR;s;s;s;s
E37;KR;11;11;6;550
E38;KR;3;3;2;837
T;KR;172;176;83;482
E12;LR;7845;7950;5;0.68
E13;LR;s;s;s;s
E14;LR;24923;25056;19;0.77
E16;LR;10323;10376;7;0.7
E18;LR;6426;6379;5;0.77
E19;LR;11688;11841;10;0.82
E20;LR;16936;16883;11;0.64
E21;LR;91895;92037;68;0.74
E22;LR;2518;2569;2;0.72
E23;LR;2300;2339;2;0.84
E24;LR;s;s;s;s
E25;LR;770;766;1;0.84
E26;LR;6562;6605;5;0.76
E28;LR;5337;5178;4;0.7
E29;LR;15632;15489;12;0.76
E30;LR;15081;14830;12;0.82
E31;LR;9315;9204;7;0.73
E32;LR;7935;8145;8;0.95
E33;LR;5769;6421;6;0.97
E34;LR;5068;4928;4;0.72
E35;LR;5475;5494;4;0.74
E36;LR;336;340;0;0.84
E37;LR;6446;6268;5;0.75
E38;LR;55753;55662;43;0.78
T;LR;322670;323092;245;0.76
E12;OR;106;106;7;67
E13;OR;7;7;0;58
E14;OR;164;164;10;63
E16;OR;s;s;s;s
E18;OR;0;0;0;
E19;OR;0;0;0;
E20;OR;184;190;3;14
E21;OR;84;86;4;50
E22;OR;0;0;0;
E23;OR;8;8;1;80
E24;OR;32;32;2;64
E25;OR;0;0;0;
E26;OR;175;215;9;50
E28;OR;s;s;s;s
E29;OR;s;s;s;s
E30;OR;s;s;s;s
E31;OR;0;1;0;13
E32;OR;s;s;s;s
E33;OR;s;s;s;s
E34;OR;s;s;s;s
E35;OR;930;1388;37;39
E36;OR;s;s;s;s
E37;OR;0;3;0;212
E38;OR;356;1235;12;34
T;OR;2094;3520;88;42
E12;PR;0;0;0;0
E13;PR;0;0;0;0
E14;PR;8750;8750;4;0
E16;PR;16404;20654;7;0
E18;PR;s;s;s;s
E19;PR;0;0;0;0
E20;PR;0;0;0;0
E21;PR;280;280;0;1
E22;PR;s;s;s;s
E23;PR;0;0;0;3
E24;PR;s;s;s;s
E25;PR;19133;19331;3;0
E26;PR;192733;423134;13;0
E28;PR;14;14;0;0
E29;PR;3572;4396;2;1
E30;PR;s;s;s;s
E31;PR;1591;1591;2;1
E32;PR;s;s;s;s
E33;PR;27;147;0;1
E34;PR;0;0;0;0
E35;PR;0;0;0;0
E36;PR;0;0;0;0
E37;PR;0;0;0;0
E38;PR;11;11;0;5
T;PR;338211;888016;54;0
