NCE;ENERGIE2;USQF;USQ2;USQ3;USQ4;USQ8;CSTP
E12;CR;;so;0;;;65
E13;CR;;so;0;;;64
E14;CR;;so;0;;;142
E16;CR;;so;0;;;11
E18;CR;;so;0;;;18
E19;CR;;so;0;;;s
E20;CR;;so;0;;;11
E21;CR;;so;0;;;0
E22;CR;;so;0;;;s
E23;CR;;so;0;;;0
E24;CR;;so;s;;;299
E25;CR;;so;s;;;167
E26;CR;;so;11;;;587
E28;CR;;so;0;;;28
E29;CR;;so;0;;;4
E30;CR;;so;0;;;1
E31;CR;;so;0;;;1
E32;CR;;so;0;;;18
E33;CR;;so;0;;;13
E34;CR;;so;0;;;10
E35;CR;;so;s;;;300
E36;CR;;so;s;;;s
E37;CR;;so;0;;;13
E38;CR;;so;0;;;20
T;CR;;so;39;;;1818
E12;DR;;1;0;;;449
E13;DR;;0;58;;;607
E14;DR;;3;112;;;1423
E16;DR;;s;0;;;607
E18;DR;;0;0;;;272
E19;DR;;0;0;;;s
E20;DR;;0;0;;;269
E21;DR;;s;0;;;441
E22;DR;;s;0;;;913
E23;DR;;516;s;;;869
E24;DR;;47;s;;;409
E25;DR;;0;7;;;134
E26;DR;;s;23;;;1436
E28;DR;;s;0;;;165
E29;DR;;1;0;;;454
E30;DR;;0;0;;;134
E31;DR;;1;0;;;146
E32;DR;;0;3;;;328
E33;DR;;s;s;;;100
E34;DR;;0;1;;;122
E35;DR;;0;58;;;786
E36;DR;;0;s;;;s
E37;DR;;5;s;;;145
E38;DR;;0;s;;;209
T;DR;;943;340;;;10509
E12;FR;;0;0;;;0
E13;FR;;0;s;;;154
E14;FR;;0;0;;;28
E16;FR;;3896;s;;;4534
E18;FR;;s;0;;;s
E19;FR;;0;0;;;0
E20;FR;;0;0;;;204
E21;FR;;s;s;;;45
E22;FR;;0;0;;;0
E23;FR;;0;0;;;0
E24;FR;;s;0;;;272
E25;FR;;0;s;;;s
E26;FR;;0;0;;;0
E28;FR;;0;0;;;0
E29;FR;;6;0;;;115
E30;FR;;0;0;;;0
E31;FR;;0;0;;;14
E32;FR;;0;0;;;s
E33;FR;;0;0;;;0
E34;FR;;0;0;;;0
E35;FR;;0;s;;;11
E36;FR;;0;0;;;0
E37;FR;;0;0;;;0
E38;FR;;0;0;;;0
T;FR;;3933;56;;;5437
E12;IR;;0;0;;;0
E13;IR;;s;0;;;s
E14;IR;;0;0;;;0
E16;IR;;s;0;;;11
E18;IR;;23;0;;;103
E19;IR;;0;0;;;0
E20;IR;;0;0;;;421
E21;IR;;26;0;;;27
E22;IR;;0;0;;;0
E23;IR;;0;0;;;0
E24;IR;;0;0;;;s
E25;IR;;0;0;;;0
E26;IR;;s;0;;;s
E28;IR;;0;0;;;0
E29;IR;;s;0;;;0
E30;IR;;0;0;;;0
E31;IR;;0;0;;;0
E32;IR;;0;0;;;0
E33;IR;;0;0;;;0
E34;IR;;0;0;;;0
E35;IR;;0;0;;;0
E36;IR;;0;0;;;0
E37;IR;;0;0;;;0
E38;IR;;0;0;;;0
T;IR;;55;0;;;568
E12;JR;8;0;0;3;;12
E13;JR;s;0;0;0;;s
E14;JR;48;1;0;11;;59
E16;JR;3;0;0;1;;4
E18;JR;s;0;s;0;;1
E19;JR;s;0;s;s;;0
E20;JR;s;s;s;0;;1
E21;JR;6;0;0;4;;11
E22;JR;3;0;0;1;;4
E23;JR;0;0;0;0;;0
E24;JR;2;0;0;0;;2
E25;JR;s;0;0;s;;0
E26;JR;s;2700;0;s;;2707
E28;JR;8;s;s;3;;s
E29;JR;19;1;0;14;;34
E30;JR;7;0;0;6;;13
E31;JR;s;0;s;3;;4
E32;JR;s;0;0;8;;s
E33;JR;0;s;0;s;;2
E34;JR;4;0;0;2;;6
E35;JR;s;0;s;5;;6
E36;JR;0;0;0;0;;0
E37;JR;s;s;0;5;;12
E38;JR;6;0;0;6;;12
T;JR;139;2714;1;74;;2928
E12;KR;;0;s;;;12
E13;KR;;0;0;;;s
E14;KR;;0;0;;;22
E16;KR;;0;0;;;0
E18;KR;;0;0;;;s
E19;KR;;0;0;;;0
E20;KR;;0;0;;;9
E21;KR;;0;0;;;8
E22;KR;;0;0;;;46
E23;KR;;0;0;;;4
E24;KR;;0;0;;;7
E25;KR;;0;0;;;s
E26;KR;;0;0;;;s
E28;KR;;0;s;;;s
E29;KR;;0;0;;;0
E30;KR;;0;0;;;0
E31;KR;;0;s;;;0
E32;KR;;0;0;;;0
E33;KR;;0;s;;;0
E34;KR;;0;0;;;2
E35;KR;;0;s;;;27
E36;KR;;0;0;;;s
E37;KR;;0;0;;;11
E38;KR;;0;1;;;3
T;KR;;0;3;;;168
E12;LR;;0;1;;;7
E13;LR;;0;1;;;s
E14;LR;;s;1;;;21
E16;LR;;0;0;;;9
E18;LR;;0;0;;;5
E19;LR;;0;0;;;10
E20;LR;;0;0;;;14
E21;LR;;1;1;;;78
E22;LR;;s;0;;;2
E23;LR;;0;0;;;2
E24;LR;;s;s;;;s
E25;LR;;0;s;;;1
E26;LR;;s;0;;;6
E28;LR;;1;0;;;4
E29;LR;;0;0;;;13
E30;LR;;1;0;;;13
E31;LR;;0;0;;;8
E32;LR;;s;s;;;7
E33;LR;;s;0;;;5
E34;LR;;s;0;;;4
E35;LR;;0;0;;;5
E36;LR;;0;s;;;0
E37;LR;;0;0;;;5
E38;LR;;2;0;;;47
T;LR;;6;7;;;273
E12;OR;;so;0;;;27
E13;OR;;so;0;;;2
E14;OR;;so;0;;;42
E16;OR;;so;0;;;s
E18;OR;;so;0;;;0
E19;OR;;so;0;;;0
E20;OR;;so;0;;;49
E21;OR;;so;0;;;22
E22;OR;;so;0;;;0
E23;OR;;so;0;;;2
E24;OR;;so;0;;;8
E25;OR;;so;0;;;0
E26;OR;;so;s;;;55
E28;OR;;so;0;;;s
E29;OR;;so;0;;;s
E30;OR;;so;0;;;s
E31;OR;;so;0;;;0
E32;OR;;so;0;;;s
E33;OR;;so;0;;;s
E34;OR;;so;0;;;s
E35;OR;;so;s;;;357
E36;OR;;so;0;;;s
E37;OR;;so;0;;;1
E38;OR;;so;0;;;317
T;OR;;so;28;;;905
E12;PR;;0;0;;0;0
E13;PR;;0;0;;0;0
E14;PR;;3;0;;0;3
E16;PR;;s;0;;s;7
E18;PR;;s;0;;6;s
E19;PR;;0;0;;0;0
E20;PR;;0;0;;0;0
E21;PR;;0;0;;0;0
E22;PR;;1;0;;s;s
E23;PR;;0;0;;0;0
E24;PR;;s;0;;100;s
E25;PR;;4;s;;s;6
E26;PR;;s;0;;s;140
E28;PR;;0;0;;0;0
E29;PR;;1;0;;1;1
E30;PR;;s;s;;s;s
E31;PR;;0;0;;0;1
E32;PR;;0;0;;s;s
E33;PR;;s;s;;s;0
E34;PR;;0;0;;0;0
E35;PR;;0;0;;0;0
E36;PR;;0;0;;0;0
E37;PR;;0;0;;0;0
E38;PR;;0;0;;0;0
T;PR;;s;s;;188;295
