NCE;BR_THER;BR_NTHE;BR_VEND;BR_AUCO;BR_QAUP;BR_CSUP;BR_USQ2_UP
T;5617;454;2143;3971;106074;110045;8954
E12;s;s;6;59;3287;3346;261
E13;617;0;s;s;s;1076;37
E14;1102;62;329;836;14751;15587;729
E16;s;s;13;415;10261;10676;2045
E18;0;0;0;0;8325;8325;453
E19;s;0;0;s;s;207;0
E20;1;0;0;1;2427;2428;53
E21;9;11;0;20;2732;2752;335
E22;2;0;s;s;s;3478;1079
E23;s;s;s;s;s;679;8
E24;s;s;133;266;8419;8685;39
E25;s;s;53;270;1624;1894;83
E26;s;s;218;307;8013;8320;257
E28;2;2;1;4;2639;2643;176
E29;4;15;6;12;6782;6795;1086
E30;1;0;0;1;2407;2409;240
E31;3;3;s;s;s;3924;480
E32;s;s;s;s;s;4617;286
E33;s;0;s;s;s;2253;319
E34;0;7;s;s;s;1259;69
E35;1324;7;713;619;6919;7538;54
E36;s;s;s;s;s;1126;69
E37;s;2;1;s;s;5560;657
E38;s;s;619;57;4409;4466;140
