ENERGIE2;REGION;USQF;USQ2;USQ3;USQ4;USQ8;CSTP
CR;11;;so;0;;;18
CR;24;;so;0;;;6
CR;27;;so;0;;;116
CR;28;;so;0;;;249
CR;32;;so;0;;;157
CR;44;;so;18;;;282
CR;52;;so;s;;;55
CR;53;;so;0;;;39
CR;75;;so;s;;;296
CR;76;;so;s;;;54
CR;84;;so;6;;;276
CR;93;;so;4;;;206
CR;97;;so;0;;;64
CR;T;;so;39;;;1818
DR;11;;s;7;;;652
DR;24;;0;44;;;414
DR;27;;s;0;;;377
DR;28;;255;58;;;s
DR;32;;0;144;;;1993
DR;44;;439;47;;;2176
DR;52;;s;s;;;421
DR;53;;4;0;;;338
DR;75;;s;19;;;577
DR;76;;s;s;;;323
DR;84;;s;15;;;1270
DR;93;;s;s;;;s
DR;97;;0;0;;;0
DR;T;;943;340;;;10509
FR;11;;3;0;;;26
FR;24;;0;0;;;26
FR;27;;s;0;;;25
FR;28;;0;s;;;11
FR;32;;s;s;;;s
FR;44;;s;s;;;887
FR;52;;0;0;;;10
FR;53;;0;0;;;s
FR;75;;0;s;;;81
FR;76;;s;0;;;35
FR;84;;104;0;;;204
FR;93;;s;s;;;s
FR;97;;0;0;;;0
FR;T;;3933;56;;;5437
IR;11;;1;0;;;15
IR;24;;2;0;;;40
IR;27;;0;0;;;0
IR;28;;0;0;;;s
IR;32;;s;0;;;131
IR;44;;3;0;;;41
IR;52;;0;0;;;49
IR;53;;0;0;;;0
IR;75;;0;0;;;s
IR;76;;s;0;;;82
IR;84;;27;0;;;105
IR;93;;0;0;;;64
IR;97;;0;0;;;0
IR;T;;55;0;;;568
JR;11;2;0;0;2;;4
JR;24;6;0;0;4;;10
JR;27;11;0;0;10;;21
JR;28;8;s;0;5;;s
JR;32;18;s;s;9;;s
JR;44;12;0;0;7;;19
JR;52;8;0;0;8;;16
JR;53;25;0;s;s;;30
JR;75;20;s;s;5;;24
JR;76;6;1;0;2;;10
JR;84;20;3;1;13;;37
JR;93;2;1506;0;2;;1511
JR;97;1;0;s;s;;2
JR;T;139;2714;1;74;;2928
KR;11;;0;1;;;1
KR;24;;0;0;;;2
KR;27;;0;0;;;10
KR;28;;0;0;;;10
KR;32;;s;0;;;s
KR;44;;s;0;;;10
KR;52;;0;s;;;5
KR;53;;0;s;;;11
KR;75;;0;s;;;36
KR;76;;0;0;;;12
KR;84;;0;0;;;51
KR;93;;0;0;;;16
KR;97;;0;0;;;s
KR;T;;0;3;;;168
LR;11;;0;0;;;9
LR;24;;s;0;;;11
LR;27;;1;0;;;14
LR;28;;1;1;;;16
LR;32;;0;2;;;33
LR;44;;0;1;;;43
LR;52;;0;0;;;20
LR;53;;0;0;;;11
LR;75;;1;0;;;s
LR;76;;0;0;;;18
LR;84;;s;1;;;34
LR;93;;1;0;;;20
LR;97;;0;0;;;s
LR;T;;6;7;;;273
OR;11;;so;0;;;s
OR;24;;so;0;;;28
OR;27;;so;s;;;52
OR;28;;so;s;;;87
OR;32;;so;0;;;43
OR;44;;so;s;;;247
OR;52;;so;0;;;43
OR;53;;so;0;;;s
OR;75;;so;s;;;233
OR;76;;so;0;;;48
OR;84;;so;0;;;85
OR;93;;so;s;;;33
OR;97;;so;0;;;s
OR;T;;so;28;;;905
PR;11;;s;s;;s;0
PR;24;;s;0;;0;s
PR;27;;s;0;;s;42
PR;28;;0;0;;s;s
PR;32;;5;0;;6;10
PR;44;;s;0;;s;94
PR;52;;s;s;;s;s
PR;53;;s;0;;0;s
PR;75;;s;0;;s;10
PR;76;;0;0;;0;0
PR;84;;20;0;;11;31
PR;93;;9;0;;95;104
PR;97;;0;0;;0;0
PR;T;;s;s;;188;295
