ENERGIE2;TEFF;USQF;USQ2;USQ3;USQ4;USQ8;CSTP
CR;03;;so;0;;;22
CR;04;;so;s;;;160
CR;05;;so;s;;;709
CR;06;;so;19;;;612
CR;07;;so;11;;;315
CR;T;;so;39;;;1818
DR;03;;s;0;;;637
DR;04;;s;3;;;1036
DR;05;;399;114;;;3575
DR;06;;494;146;;;3068
DR;07;;20;78;;;2194
DR;T;;943;340;;;10509
FR;03;;2;0;;;7
FR;04;;9;0;;;253
FR;05;;92;s;;;444
FR;06;;30;s;;;326
FR;07;;3799;s;;;4408
FR;T;;3933;56;;;5437
IR;03;;s;0;;;36
IR;04;;6;0;;;251
IR;05;;9;0;;;181
IR;06;;s;0;;;s
IR;07;;s;0;;;s
IR;T;;55;0;;;568
JR;03;38;1;1;18;;58
JR;04;24;1;0;14;;40
JR;05;48;0;0;27;;75
JR;06;19;807;s;s;;835
JR;07;10;1904;s;s;;1920
JR;T;139;2714;1;74;;2928
KR;03;;0;1;;;17
KR;04;;s;0;;;19
KR;05;;s;s;;;35
KR;06;;0;2;;;77
KR;07;;0;s;;;20
KR;T;;0;3;;;168
LR;03;;1;1;;;99
LR;04;;3;1;;;59
LR;05;;s;2;;;64
LR;06;;s;2;;;s
LR;07;;1;2;;;s
LR;T;;6;7;;;273
OR;03;;so;s;;;87
OR;04;;so;0;;;105
OR;05;;so;0;;;320
OR;06;;so;s;;;357
OR;07;;so;0;;;35
OR;T;;so;28;;;905
PR;03;;s;0;;s;1
PR;04;;s;0;;s;6
PR;05;;17;0;;18;35
PR;06;;72;0;;29;102
PR;07;;s;s;;137;151
PR;T;;s;s;;188;295
