NCE_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
Indicateur,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Hydrogene,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,
Total industrie,19943,5437,10509,568,2928,168,273,19884,1567,778,905,295,295,400,4239,24122,1818,9464,35404,424,609,34371
E12 - Industrie laitière,335,0,449,0,12,12,7,480,0,0,27,0,s,s,29,508,65,288,861,ns,ns,856
E13 - Sucreries,38,154,607,s,s,s,s,769,0,0,2,0,6,0,8,777,64,93,934,ns,ns,834
"E14 - Industries alimentaires, hors industrie du lait et du sucre",2732,28,1423,0,59,22,21,1554,0,0,42,3,90,0,136,1689,142,1340,3172,ns,ns,3054
E16 - Sidérurgie,62,4534,607,11,4,0,9,5165,s,0,s,7,0,s,12,5176,11,918,6106,ns,ns,6053
E18 - Métallurgie de première transformation des métaux non ferreux,89,s,272,103,1,s,5,385,s,0,0,s,0,0,6,391,18,716,1125,ns,ns,1125
E19 - Production de minéraux divers,41,0,s,0,0,0,10,s,0,0,0,0,0,0,0,s,s,18,46,ns,ns,46
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",70,204,269,421,1,9,14,918,52,0,49,0,75,301,477,1395,11,209,1615,ns,ns,1615
E21 - Production d'autres matériaux de construction et de céramique,800,45,441,27,11,8,78,609,15,0,22,0,13,62,112,721,0,237,957,ns,ns,956
E22 - Industrie du verre,225,0,913,0,4,46,2,965,s,0,0,s,0,0,s,s,s,299,1267,ns,ns,1267
E23 - Fabrication d'engrais,42,0,869,0,0,4,2,875,0,0,2,0,0,0,2,877,0,58,936,ns,ns,909
E24 - Autres industries de la chimie minérale,90,272,409,s,2,7,s,698,s,0,8,s,0,s,267,965,299,747,2011,ns,ns,1980
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",92,s,134,0,0,s,1,s,s,0,0,6,s,1,s,247,167,163,576,ns,ns,547
E26 - Autres industries de la chimie organique de base,367,0,1436,s,2707,s,6,4154,1306,15,55,140,8,17,1542,5696,587,716,6999,ns,ns,6711
E28 - Parachimie et industrie pharmaceutique,636,0,165,0,s,s,4,s,s,0,s,0,0,0,s,192,28,227,447,ns,ns,444
E29 - Fonderie et travail des métaux,3520,115,454,0,34,0,13,616,s,0,s,1,0,0,3,620,4,584,1208,ns,ns,1207
E30 - Construction mécanique,2382,0,134,0,13,0,13,161,0,0,s,s,0,0,4,165,1,207,373,ns,ns,373
E31 - Construction électrique et électronique,1391,14,146,0,4,0,8,172,0,0,0,1,0,0,1,173,1,337,511,ns,ns,511
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,667,s,328,0,s,0,7,356,0,0,s,s,0,0,1,357,18,397,771,ns,ns,768
"E33 - Construction navale et aéronautique, armement",467,0,100,0,2,0,5,108,s,0,s,0,0,0,12,120,13,194,326,ns,ns,324
"E34 - Industrie textile, du cuir et de l'habillement",962,0,122,0,6,2,4,135,0,0,s,0,0,s,0,135,10,108,254,ns,ns,253
E35 - Industrie du papier et du carton,582,11,786,0,6,27,5,834,s,762,357,0,100,s,1231,2065,300,648,3013,ns,ns,2695
E36 - Fabrication de produits en caoutchouc,152,0,s,0,0,s,0,91,0,0,s,0,0,0,s,s,s,97,234,ns,ns,221
E37 - Fabrication de produits en plastique,1305,0,145,0,12,11,5,173,0,0,1,0,s,s,2,175,13,478,666,ns,ns,646
E38 - Industries diverses,2896,0,209,0,12,3,47,271,0,0,317,0,1,2,321,593,20,384,997,ns,ns,976
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2019.",,,,,,,,,,,,,,,,,,,,,,
