"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,,Hydrogene,,,
Indicateur,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13774,so,8971,8821,1484,165,136487,136487,3345,25,736,746,124,168,2674,2674,1108,414,172,176,83,482,322670,323092,245,0.76,2094,3520,88,42,25255,25255,555,22,106074,110045,6689,63,338211,888016,54,0
E12 - Industrie laitière,so,so,466,so,0,0,0,0,5834,5834,175,30,0,0,0,0,11,11,6,587,13,13,7,562,7845,7950,5,0.68,106,106,7,67,898,898,26,28,3287,3346,240,73,0,0,0,0
E13 - Sucreries,so,so,261,so,286,297,36,125,7886,7886,171,22,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,7,7,0,58,893,893,11,13,s,1076,37,80,0,0,0,0
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1737,so,50,50,5,105,18477,18477,528,29,0,0,0,0,51,54,31,605,24,23,14,589,24923,25056,19,0.77,164,164,10,63,1972,1972,47,24,14751,15587,1079,73,8750,8750,4,0
E16 - Sidérurgie,so,so,1872,so,7418,7302,1221,165,7879,7879,159,20,14,14,3,208,4,4,2,593,0,0,0,630,10323,10376,7,0.7,s,s,s,s,158,158,2,16,10261,10676,470,46,16404,20654,7,0
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,458,so,s,s,s,s,3529,3529,87,25,135,135,34,250,0,0,0,727,s,s,s,s,6426,6379,5,0.77,0,0,0,-,253,253,4,16,8325,8325,321,39,s,s,s,s
