NCE_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,,Gaz de réseau,,,,,,Coke de pétrole,,,,,,Butane propane,,,,,,Fioul lourd,,,,,,Fioul domestique,,,,,,Bois et sous-produit du bois,,,,,,Vapeur,,,,,,Hydrogene,,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,-,3933,56,-,-,5437,-,943,340,-,-,10509,-,55,0,-,-,568,139,2714,1,74,-,2928,-,0,3,-,-,168,-,6,7,-,-,273,-,so,28,-,-,905,-,so,39,-,-,1818,-,s,s,-,188,295
E12 - Industrie laitière,-,0,0,-,-,0,-,1,0,-,-,449,-,0,0,-,-,0,8,0,0,3,-,12,-,0,s,-,-,12,-,0,1,-,-,7,-,so,0,-,-,27,-,so,0,-,-,65,-,0,0,-,0,0
E13 - Sucreries,-,0,s,-,-,154,-,0,58,-,-,607,-,s,0,-,-,s,s,0,0,0,-,s,-,0,0,-,-,s,-,0,1,-,-,s,-,so,0,-,-,2,-,so,0,-,-,64,-,0,0,-,0,0
"E14 - Industries alimentaires, hors industrie du lait et du sucre",-,0,0,-,-,28,-,3,112,-,-,1423,-,0,0,-,-,0,48,1,0,11,-,59,-,0,0,-,-,22,-,s,1,-,-,21,-,so,0,-,-,42,-,so,0,-,-,142,-,3,0,-,0,3
E16 - Sidérurgie,-,3896,s,-,-,4534,-,s,0,-,-,607,-,s,0,-,-,11,3,0,0,1,-,4,-,0,0,-,-,0,-,0,0,-,-,9,-,so,0,-,-,s,-,so,0,-,-,11,-,s,0,-,s,7
E18 - Métallurgie de première transformation des métaux non ferreux,-,s,0,-,-,s,-,0,0,-,-,272,-,23,0,-,-,103,s,0,s,0,-,1,-,0,0,-,-,s,-,0,0,-,-,5,-,so,0,-,-,0,-,so,0,-,-,18,-,s,0,-,6,s
E19 - Production de minéraux divers,-,0,0,-,-,0,-,0,0,-,-,s,-,0,0,-,-,0,s,0,s,s,-,0,-,0,0,-,-,0,-,0,0,-,-,10,-,so,0,-,-,0,-,so,0,-,-,s,-,0,0,-,0,0
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",-,0,0,-,-,204,-,0,0,-,-,269,-,0,0,-,-,421,s,s,s,0,-,1,-,0,0,-,-,9,-,0,0,-,-,14,-,so,0,-,-,49,-,so,0,-,-,11,-,0,0,-,0,0
E21 - Production d'autres matériaux de construction et de céramique,-,s,s,-,-,45,-,s,0,-,-,441,-,26,0,-,-,27,6,0,0,4,-,11,-,0,0,-,-,8,-,1,1,-,-,78,-,so,0,-,-,22,-,so,0,-,-,0,-,0,0,-,0,0
E22 - Industrie du verre,-,0,0,-,-,0,-,s,0,-,-,913,-,0,0,-,-,0,3,0,0,1,-,4,-,0,0,-,-,46,-,s,0,-,-,2,-,so,0,-,-,0,-,so,0,-,-,s,-,1,0,-,s,s
E23 - Fabrication d'engrais,-,0,0,-,-,0,-,516,s,-,-,869,-,0,0,-,-,0,0,0,0,0,-,0,-,0,0,-,-,4,-,0,0,-,-,2,-,so,0,-,-,2,-,so,0,-,-,0,-,0,0,-,0,0
E24 - Autres industries de la chimie minérale,-,s,0,-,-,272,-,47,s,-,-,409,-,0,0,-,-,s,2,0,0,0,-,2,-,0,0,-,-,7,-,s,s,-,-,s,-,so,0,-,-,8,-,so,s,-,-,299,-,s,0,-,100,s
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",-,0,s,-,-,s,-,0,7,-,-,134,-,0,0,-,-,0,s,0,0,s,-,0,-,0,0,-,-,s,-,0,s,-,-,1,-,so,0,-,-,0,-,so,s,-,-,167,-,4,s,-,s,6
E26 - Autres industries de la chimie organique de base,-,0,0,-,-,0,-,s,23,-,-,1436,-,s,0,-,-,s,s,2700,0,s,-,2707,-,0,0,-,-,s,-,s,0,-,-,6,-,so,s,-,-,55,-,so,11,-,-,587,-,s,0,-,s,140
E28 - Parachimie et industrie pharmaceutique,-,0,0,-,-,0,-,s,0,-,-,165,-,0,0,-,-,0,8,s,s,3,-,s,-,0,s,-,-,s,-,1,0,-,-,4,-,so,0,-,-,s,-,so,0,-,-,28,-,0,0,-,0,0
E29 - Fonderie et travail des métaux,-,6,0,-,-,115,-,1,0,-,-,454,-,s,0,-,-,0,19,1,0,14,-,34,-,0,0,-,-,0,-,0,0,-,-,13,-,so,0,-,-,s,-,so,0,-,-,4,-,1,0,-,1,1
E30 - Construction mécanique,-,0,0,-,-,0,-,0,0,-,-,134,-,0,0,-,-,0,7,0,0,6,-,13,-,0,0,-,-,0,-,1,0,-,-,13,-,so,0,-,-,s,-,so,0,-,-,1,-,s,s,-,s,s
E31 - Construction électrique et électronique,-,0,0,-,-,14,-,1,0,-,-,146,-,0,0,-,-,0,s,0,s,3,-,4,-,0,s,-,-,0,-,0,0,-,-,8,-,so,0,-,-,0,-,so,0,-,-,1,-,0,0,-,0,1
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,-,0,0,-,-,s,-,0,3,-,-,328,-,0,0,-,-,0,s,0,0,8,-,s,-,0,0,-,-,0,-,s,s,-,-,7,-,so,0,-,-,s,-,so,0,-,-,18,-,0,0,-,s,s
"E33 - Construction navale et aéronautique, armement",-,0,0,-,-,0,-,s,s,-,-,100,-,0,0,-,-,0,0,s,0,s,-,2,-,0,s,-,-,0,-,s,0,-,-,5,-,so,0,-,-,s,-,so,0,-,-,13,-,s,s,-,s,0
