SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
Année,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2005,2006,2007,2008,2009,2010,2011,2012.0,2013.0,2014.0,2015.0,2016.0,2017,2018,2019
Indicateur,,,,,,,,,,,,,,,,,,,,,,,,,
Consommation brute (en millions de TEP),32.9,33.4,34.6,34.5,34.4,33.7,33.1,32.7,33.3,32.9,44,42.9,42.5,42.6,36.5,37.6,36.4,36.0,35.6,35.4,35.8,36.5,35.5,35.7,35.4
Consommation nette (en millions de TEP),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,41.5,40.7,40.5,40.7,34.6,35.7,34.8,34.4,34.3,34.2,34.6,35.5,34.5,34.6,34.4
Facture énergétique (en millions d'euros courants),7603,7894,7770,7569,8477,8762,8327,8462,9031,10356,12769,14309,14446,16260,13284,14538,15594,16110.0,15894.0,15175.0,14304.0,13116.0,13279,14535,13774
Electricité consommée hors utilisation en tant que matière première (en %),36.6,37.8,37.7,38.3,39.3,38.6,38.1,39.4,38.9,39.6,33.5,33.6,34.4,33.5,34.2,33.8,33.8,33.3,33.4,33.9,34.1,34.0,34.6,34.9,34.7
"Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant que matière première (en %)",5.5,5.1,4.9,4.4,5.6,4.1,7.1,5.1,4.2,4.9,4.7,5.1,5.2,4.9,4.6,5.1,6.7,6.5,6.2,5.9,7.8,7.2,6.1,6.1,5.5
Gaz de réseau consommé hors utilisation en tant que matière première (en %),37.6,38.4,38.6,39,37.8,38,36.4,37.7,37.3,37,33.9,33.7,33.7,32.5,33.3,34.3,33.9,35.0,35.9,35.3,33.6,33.5,33.8,34.3,35.1
"Produits pétroliers (coke de pétrole, butane-propane, fioul lourd et fioul domestique) consommés hors utilisation en tant que matière première (en %)",18.1,16.8,16.7,15.5,13.8,14.3,12.6,11.9,13.4,11.5,10.1,10,9.1,8.3,8.3,7.7,7.8,7.0,6.4,5.9,5.4,5.3,4.6,4.3,4.3
Vapeur consommée hors utilisation en tant que matière première (en %),2.2,1.9,2.1,2.8,3.5,5,5.8,5.9,6.2,7,6,5.1,5.4,5.8,6.1,5.9,5.2,5.5,5.9,5.7,6.1,6.0,6.5,6.5,6.7
