Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,,Hydrogene,,,
Indicateur,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
_T,Total industrie,so,so,13774,so,8971,8821,1484,165,136487,136487,3345,25,736,746,124,168,2674,2674,1108,414,172,176,83,482,322670,323092,245,0.76,2094,3520,88,42,25255,25255,555,22,106074,110045,6689,63,338211,888016,54,0
07,Extraction de minerais métalliques,so,so,-,so,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,0,0,0,0,s,s,s,s,0,0,0,-,0,0,0,0,0,0,0,87,0,0,0,0
08 - 09,Industries extractives,so,so,125,so,0,0,0,0,450,450,11,24,0,0,0,0,1,1,1,641,1,1,1,980,76169,76420,58,0.76,s,s,s,s,s,s,s,s,655,664,52,80,0,0,0,0
10,Industries alimentaires,so,so,2270,so,336,347,41,122,30546,30546,819,27,s,s,s,s,58,61,34,589,35,35,20,580,s,s,s,s,278,278,18,64,3581,3581,80,22,16814,18323,1227,73,8750,8750,4,0
11,Fabrication de boissons,so,so,192,so,0,0,0,0,1628,1628,55,34,0,0,0,0,6,6,4,657,1,1,1,597,2969,2947,2,0.76,0,0,0,-,182,182,3,19,1679,1681,127,76,0,0,0,0
12,Fabrication de produits à base de tabac,so,so,-,so,0,0,0,0,s,s,s,s,0,0,0,0,0,0,0,1213,0,0,0,0,9,9,0,0.82,0,0,0,-,0,0,0,0,s,5,1,99,0,0,0,0
13,Fabrication de textiles,so,so,129,so,0,0,0,0,1345,1345,43,32,0,0,0,0,4,4,2,566,2,2,1,619,s,s,s,s,0,0,0,-,s,s,s,s,1009,1009,79,79,0,0,0,0
14,Industrie de l'habillement,so,so,-,so,0,0,0,0,s,s,s,s,0,0,0,0,1,1,0,737,0,0,0,882,1771,1697,1,0.7,0,0,0,-,0,0,0,66,s,107,10,99,0,0,0,0
15,Industrie du cuir et de la chaussure,so,so,21,so,0,0,0,0,s,s,s,s,0,0,0,0,1,1,0,619,0,0,0,0,553,530,0,0.76,s,s,s,s,48,48,1,18,144,144,14,97,0,0,0,0
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,186,so,0,0,0,0,686,686,18,27,0,0,0,0,s,s,s,s,1,1,1,639,17929,17940,14,0.77,354,1187,12,34,s,s,s,s,1857,1865,138,74,0,0,0,0
17,Industrie du papier et du carton,so,so,757,so,18,18,2,109,10206,10206,235,23,0,0,0,0,4,5,3,796,26,28,11,432,5475,5494,4,0.74,930,1388,37,39,4164,4164,81,20,6919,7538,383,55,0,0,0,0
18,Imprimerie et reproduction d'enregistrements,so,so,102,so,0,0,0,0,472,472,18,38,0,0,0,0,2,2,2,781,0,0,0,523,1108,1209,1,0.75,s,s,s,s,s,s,s,s,961,961,81,85,0,0,0,0
20,Industrie chimique,so,so,3141,so,578,532,85,148,37107,37107,699,19,s,s,s,s,2496,2492,992,397,s,s,s,s,16345,16366,12,0.75,225,265,12,53,14608,14608,328,22,18918,19883,977,52,277210,821079,24,0
21,Industrie pharmaceutique,so,so,251,so,0,0,0,0,2033,2033,67,33,0,0,0,0,2,2,1,718,0,0,0,0,1215,1102,1,0.83,0,0,0,-,395,395,14,35,s,2339,168,72,0,0,0,7
22,Fabrication de produits en caoutchouc et en plastique,so,so,605,so,0,0,0,0,2950,2950,98,33,0,0,0,0,11,11,8,735,20,20,9,467,6782,6608,5,0.75,10,42,1,57,679,679,13,19,s,6686,471,74,0,0,0,0
23,Fabrication d'autres produits minéraux non métalliques,so,so,1152,so,414,417,63,151,20721,20721,460,22,578,588,85,147,13,13,9,655,63,65,24,390,46615,46657,32,0.69,261,268,6,25,165,165,3,21,s,8201,466,57,4835,5577,3,1
24,Métallurgie,so,so,2608,so,7582,7464,1279,169,13689,13689,305,22,s,s,s,s,s,s,s,s,4,4,2,452,20685,20693,15,0.73,1,1,0,113,451,451,7,16,20742,21168,944,45,s,s,s,s
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,573,so,s,s,s,s,3756,3756,134,36,0,0,0,0,29,29,20,683,s,s,s,s,12082,11932,9,0.76,3,7,0,91,14,14,0,34,4824,4825,402,83,1858,1858,1,1
26,"Fabrication de produits informatiques, électroniques et optiques",so,so,165,so,0,0,0,0,s,s,s,s,0,0,0,0,0,0,0,770,s,s,s,s,7124,7041,5,0.72,0,0,0,-,15,15,1,53,1918,1919,139,72,266,266,0,1
27,Fabrication d'équipements électriques,so,so,211,so,21,21,6,312,1184,1184,42,36,0,0,0,0,3,3,2,757,0,0,0,866,2611,2647,2,0.75,0,1,0,13,12,12,1,59,s,1986,156,79,1307,1307,1,1
28,Fabrication de machines et équipements n.c.a.,so,so,267,so,0,0,0,0,1646,1646,68,41,0,0,0,0,9,9,6,710,0,0,0,658,11659,11474,10,0.82,s,s,s,s,7,7,0,33,2008,2009,177,88,s,s,s,s
29,Industrie automobile,so,so,458,so,s,s,s,s,3897,3897,124,32,0,0,0,0,s,s,s,s,s,s,s,s,4231,4374,4,1,s,s,s,s,231,231,6,24,s,4449,313,71,s,s,s,s
30,Fabrication d'autres matériels de transport,so,so,230,so,0,0,0,0,1391,1391,53,38,0,0,0,0,3,3,2,736,1,1,0,647,2772,2968,2,0.87,s,s,s,s,168,168,6,35,2060,2075,165,80,7,127,0,2
31,Fabrication de meubles,so,so,51,so,0,0,0,0,221,221,9,42,0,0,0,0,3,3,2,626,0,0,0,0,2762,2690,2,0.73,2,47,0,70,0,0,0,0,s,401,38,95,0,0,0,0
32,Autres industries manufacturières,so,so,66,so,0,0,0,0,357,357,13,37,0,0,0,0,1,1,1,755,0,0,0,0,821,664,1,0.74,0,0,0,-,35,35,1,22,s,593,51,86,s,s,s,s
33,Réparation et installation de machines et d'équipements,so,so,81,so,0,0,0,0,356,356,15,43,0,0,0,0,2,2,2,973,0,0,0,0,11797,12193,11,0.91,0,0,0,-,27,27,1,31,480,480,53,110,s,s,s,s
38,Récupération,so,so,114,so,0,0,0,0,1101,1101,28,26,0,0,0,0,s,s,s,s,2,2,2,964,30653,30681,24,0.79,s,s,s,s,s,s,s,s,686,734,57,83,0,0,0,13
