"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,,Hydrogene,,,
Indicateur,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13774,so,8971,8821,1484,165,136487,136487,3345,25,736,746,124,168,2674,2674,1108,414,172,176,83,482,322670,323092,245,0.76,2094,3520,88,42,25255,25255,555,22,106074,110045,6689,63,338211,888016,54,0
20 à 49 salariés,so,so,1429,so,11,11,3,256,8269,8269,276,33,44,47,7,152,49,53,34,682,18,18,10,556,118333,117631,91,0.77,213,340,10,49,310,310,7,24,11345,11382,991,87,2208,2208,1,0
50 à 99 salariés,so,so,1589,so,428,418,70,163,13451,13451,392,29,324,329,39,121,36,36,25,692,20,20,9,483,69610,69731,51,0.73,260,409,8,29,2220,2220,53,24,13592,13654,940,69,8273,18829,2,0
100 à 249 salariés,so,so,3407,so,733,756,121,165,46428,46428,1144,25,235,237,33,142,68,69,43,638,34,37,19,563,75363,76037,58,0.77,695,1246,28,40,9842,9842,204,21,26929,28219,1742,65,77307,106871,13,0
250 à 499 salariés,so,so,3029,so,589,542,93,158,39844,39844,905,23,s,s,s,s,765,762,306,399,79,81,34,437,s,s,s,s,845,1388,37,44,8503,8503,177,21,24060,25359,1414,59,207573,306221,23,0
500 salariés ou plus,so,so,4321,so,7210,7094,1197,166,28494,28494,629,22,s,s,s,s,1755,1754,700,399,21,21,10,456,s,s,s,s,82,136,5,64,4379,4379,113,26,30148,31432,1602,53,42849,453887,14,0
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
