TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,,Gaz de réseau,,,,,,Coke de pétrole,,,,,,Butane propane,,,,,,Fioul lourd,,,,,,Fioul domestique,,,,,,Bois et sous-produit du bois,,,,,,Vapeur,,,,,,Hydrogene,,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,-,3933,56,-,-,5437,-,943,340,-,-,10509,-,55,0,-,-,568,139,2714,1,74,-,2928,-,0,3,-,-,168,-,6,7,-,-,273,-,so,28,-,-,905,-,so,39,-,-,1818,-,s,s,-,188,295
20 à 49 salariés,-,2,0,-,-,7,-,s,0,-,-,637,-,s,0,-,-,36,38,1,1,18,-,58,-,0,1,-,-,17,-,1,1,-,-,99,-,so,s,-,-,87,-,so,0,-,-,22,-,s,0,-,s,1
50 à 99 salariés,-,9,0,-,-,253,-,s,3,-,-,1036,-,6,0,-,-,251,24,1,0,14,-,40,-,s,0,-,-,19,-,3,1,-,-,59,-,so,0,-,-,105,-,so,s,-,-,160,-,s,0,-,s,6
100 à 249 salariés,-,92,s,-,-,444,-,399,114,-,-,3575,-,9,0,-,-,181,48,0,0,27,-,75,-,s,s,-,-,35,-,s,2,-,-,64,-,so,0,-,-,320,-,so,s,-,-,709,-,17,0,-,18,35
250 à 499 salariés,-,30,s,-,-,326,-,494,146,-,-,3068,-,s,0,-,-,s,19,807,s,s,-,835,-,0,2,-,-,77,-,s,2,-,-,s,-,so,s,-,-,357,-,so,19,-,-,612,-,72,0,-,29,102
500 salariés ou plus,-,3799,s,-,-,4408,-,20,78,-,-,2194,-,s,0,-,-,s,10,1904,s,s,-,1920,-,0,s,-,-,20,-,1,2,-,-,s,-,so,0,-,-,35,-,so,11,-,-,315,-,s,s,-,137,151
Note : la répartition des usages de la vapeur ne concerne que la quantité achetée de cette énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
