Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,,Gaz de réseau,,,,,,Coke de pétrole,,,,,,Butane propane,,,,,,Fioul lourd,,,,,,Fioul domestique,,,,,,Bois et sous-produit du bois,,,,,,Vapeur,,,,,,Hydrogene,,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Combustion hors production d’électricité,Ensemble des usages
Total industrie,-,3933,56,-,-,5437,-,943,340,-,-,10509,-,55,0,-,-,568,139,2714,1,74,-,2928,-,0,3,-,-,168,-,6,7,-,-,273,-,so,28,-,-,905,-,so,39,-,-,1818,-,s,s,-,188,295
07 - Extraction de minerais métalliques,-,0,0,-,-,0,-,0,0,-,-,0,-,0,0,-,-,0,0,0,s,0,-,s,-,0,0,-,-,0,-,0,0,-,-,s,-,so,0,-,-,0,-,so,0,-,-,0,-,0,0,-,0,0
08 - 09 - Industries extractives,-,0,0,-,-,0,-,0,0,-,-,35,-,0,0,-,-,0,s,s,s,0,-,1,-,0,0,-,-,1,-,1,0,-,-,65,-,so,0,-,-,s,-,so,0,-,-,s,-,0,0,-,0,0
10 - Industries alimentaires,-,s,s,-,-,183,-,4,170,-,-,2352,-,s,0,-,-,s,55,1,0,11,-,67,-,0,s,-,-,33,-,0,3,-,-,s,-,so,0,-,-,71,-,so,0,-,-,258,-,3,0,-,0,3
11 - Fabrication de boissons,-,0,0,-,-,0,-,0,0,-,-,125,-,0,0,-,-,0,3,0,0,3,-,6,-,0,0,-,-,1,-,s,s,-,-,2,-,so,0,-,-,0,-,so,0,-,-,13,-,0,0,-,0,0
12 - Fabrication de produits à base de tabac,-,0,0,-,-,0,-,0,0,-,-,s,-,0,0,-,-,0,0,0,0,0,-,0,-,0,0,-,-,0,-,0,s,-,-,0,-,so,0,-,-,0,-,so,0,-,-,0,-,0,0,-,0,0
13 - Fabrication de textiles,-,0,0,-,-,0,-,0,s,-,-,104,-,0,0,-,-,0,3,0,0,1,-,5,-,0,0,-,-,2,-,s,0,-,-,s,-,so,0,-,-,0,-,so,0,-,-,s,-,0,0,-,0,0
14 - Industrie de l'habillement,-,0,0,-,-,0,-,0,0,-,-,s,-,0,0,-,-,0,1,0,0,0,-,1,-,0,0,-,-,0,-,0,0,-,-,1,-,so,0,-,-,0,-,so,0,-,-,0,-,0,0,-,0,0
15 - Industrie du cuir et de la chaussure,-,0,0,-,-,0,-,0,0,-,-,s,-,0,0,-,-,0,s,0,0,s,-,1,-,0,0,-,-,0,-,0,0,-,-,0,-,so,0,-,-,s,-,so,0,-,-,3,-,0,0,-,0,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",-,0,0,-,-,0,-,0,s,-,-,53,-,0,0,-,-,0,1,0,0,s,-,s,-,0,0,-,-,1,-,s,0,-,-,15,-,so,0,-,-,305,-,so,0,-,-,s,-,0,0,-,0,0
17 - Industrie du papier et du carton,-,0,s,-,-,11,-,0,58,-,-,786,-,0,0,-,-,0,s,0,s,5,-,6,-,0,s,-,-,27,-,0,0,-,-,5,-,so,s,-,-,357,-,so,s,-,-,300,-,0,0,-,0,0
18 - Imprimerie et reproduction d'enregistrements,-,0,0,-,-,0,-,0,0,-,-,36,-,0,0,-,-,0,2,0,0,0,-,2,-,0,0,-,-,0,-,0,0,-,-,1,-,so,0,-,-,s,-,so,0,-,-,s,-,0,0,-,0,0
20 - Industrie chimique,-,s,s,-,-,324,-,918,63,-,-,2857,-,s,0,-,-,s,15,2710,0,3,-,2728,-,0,0,-,-,s,-,1,0,-,-,14,-,so,s,-,-,68,-,so,29,-,-,1052,-,92,0,-,180,272
21 - Industrie pharmaceutique,-,0,0,-,-,0,-,0,0,-,-,157,-,0,0,-,-,0,1,0,0,1,-,2,-,0,0,-,-,0,-,0,0,-,-,1,-,so,0,-,-,0,-,so,0,-,-,28,-,0,0,-,0,0
22 - Fabrication de produits en caoutchouc et en plastique,-,0,0,-,-,0,-,5,23,-,-,227,-,0,0,-,-,0,7,0,0,5,-,12,-,0,0,-,-,19,-,0,0,-,-,6,-,so,0,-,-,11,-,so,s,-,-,49,-,0,0,-,0,0
23 - Fabrication d'autres produits minéraux non métalliques,-,s,s,-,-,250,-,s,0,-,-,1596,-,s,0,-,-,448,9,0,0,5,-,15,-,0,0,-,-,62,-,1,1,-,-,39,-,so,0,-,-,69,-,so,0,-,-,12,-,1,0,-,0,2
24 - Métallurgie,-,3902,s,-,-,4642,-,1,0,-,-,1054,-,28,0,-,-,s,6,s,0,3,-,s,-,0,0,-,-,4,-,0,0,-,-,17,-,so,0,-,-,0,-,so,0,-,-,32,-,s,0,-,7,s
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",-,s,0,-,-,s,-,0,0,-,-,289,-,0,0,-,-,0,18,0,0,13,-,32,-,0,s,-,-,s,-,0,s,-,-,10,-,so,0,-,-,2,-,so,0,-,-,1,-,0,0,-,0,1
"26 - Fabrication de produits informatiques, électroniques et optiques",-,0,0,-,-,0,-,s,0,-,-,s,-,0,0,-,-,0,0,0,0,0,-,0,-,0,s,-,-,s,-,0,0,-,-,6,-,so,0,-,-,0,-,so,0,-,-,1,-,s,s,-,0,0
27 - Fabrication d'équipements électriques,-,0,0,-,-,14,-,0,0,-,-,91,-,0,0,-,-,0,s,0,s,2,-,3,-,0,s,-,-,0,-,0,0,-,-,2,-,so,0,-,-,0,-,so,0,-,-,1,-,s,0,-,s,0
28 - Fabrication de machines et équipements n.c.a.,-,0,0,-,-,0,-,0,0,-,-,127,-,0,0,-,-,0,5,0,0,5,-,10,-,0,0,-,-,0,-,0,0,-,-,10,-,so,0,-,-,s,-,so,0,-,-,1,-,s,0,-,0,s
29 - Industrie automobile,-,0,0,-,-,s,-,0,3,-,-,300,-,0,0,-,-,0,s,0,0,7,-,s,-,0,s,-,-,s,-,s,0,-,-,4,-,so,0,-,-,s,-,so,0,-,-,17,-,s,0,-,0,s
30 - Fabrication d'autres matériels de transport,-,0,0,-,-,0,-,s,s,-,-,107,-,0,0,-,-,0,s,s,0,2,-,3,-,0,0,-,-,0,-,s,0,-,-,3,-,so,0,-,-,s,-,so,0,-,-,12,-,0,s,-,s,0
31 - Fabrication de meubles,-,0,0,-,-,0,-,0,0,-,-,17,-,0,0,-,-,0,1,0,0,2,-,3,-,0,0,-,-,0,-,0,0,-,-,2,-,so,0,-,-,12,-,so,0,-,-,0,-,0,0,-,0,0
32 - Autres industries manufacturières,-,0,0,-,-,0,-,0,0,-,-,27,-,0,0,-,-,0,0,0,0,1,-,1,-,0,0,-,-,0,-,0,s,-,-,1,-,so,0,-,-,0,-,so,0,-,-,3,-,0,0,-,s,s
33 - Réparation et installation de machines et d'équipements,-,0,0,-,-,0,-,0,0,-,-,27,-,0,0,-,-,0,1,0,0,1,-,2,-,0,0,-,-,0,-,0,0,-,-,10,-,so,0,-,-,0,-,so,0,-,-,2,-,s,0,-,0,s
38 - Récupération,-,0,0,-,-,0,-,0,s,-,-,85,-,0,0,-,-,0,2,0,0,s,-,s,-,0,1,-,-,2,-,2,0,-,-,26,-,so,0,-,-,s,-,so,0,-,-,s,-,0,0,-,0,0
