ID,REG,Total des énergies,Total des énergies,Total des énergies,Total des énergies,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)","Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)","Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)","Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Bois,Bois,Bois,Bois,Vapeur,Vapeur,Vapeur,Vapeur,Electricité,Electricité,Electricité,Electricité,Hydrogene,Hydrogene,Hydrogene,Hydrogene
ID,REG,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
FRA,France,so,so,13774,so,8971,8821,1484,165,136487,136487,3345,25,736,746,124,168,2674,2674,1108,414,172,176,83,482,322670,323092,245,0.76,2094,3520,88,42,25255,25255,555,22,106074,110045,6689,63,338211,888016,54,0
IDF,Ile-de-France,so,so,590,so,43,42,7,157,8471,8471,192,23,18,20,3,153,4,4,3,802,1,1,1,519,10861,10951,7,0.69,s,s,s,s,253,253,7,28,s,5281,369,70,422,422,0,1
CVL,Centre-Val de Loire,so,so,435,so,45,42,6,132,5374,5374,143,27,53,53,7,139,10,10,6,645,2,2,1,337,13219,13275,11,0.86,33,109,2,62,90,90,3,28,3450,3509,255,74,s,s,s,s
BFC,Bourgogne-Franche-Comté,so,so,584,so,41,40,8,201,4893,4893,140,29,0,0,0,0,19,19,12,628,11,11,4,386,17078,17083,12,0.72,24,201,1,24,1618,1618,42,26,s,5566,361,65,13590,127474,4,0
NOR,Normandie,so,so,1333,so,17,17,3,146,s,s,s,s,s,s,s,s,s,s,s,s,11,11,5,422,18503,18396,14,0.78,311,338,13,42,3454,3454,79,23,7945,8356,517,65,s,s,s,s
HDF,Hauts-de-France,so,so,2620,so,s,s,s,s,25881,25881,599,23,173,172,37,215,s,s,s,s,s,s,s,s,38693,39079,28,0.73,152,166,7,43,2187,2187,51,23,19578,20929,1087,56,28233,30867,9,0
GRE,Grand Est,so,so,2108,so,1492,1462,269,181,28257,28257,650,23,53,54,7,130,17,17,12,726,10,10,4,429,51354,50729,38,0.75,588,961,28,47,3919,3919,87,22,15825,16728,1001,63,187486,282223,11,0
PAL,Pays de la Loire,so,so,654,so,15,16,5,343,5462,5462,173,32,62,64,7,117,15,15,10,693,6,6,3,571,23811,24017,18,0.74,61,167,3,55,758,758,16,21,s,5697,417,74,s,s,s,s
BRE,Bretagne,so,so,502,so,s,s,s,s,4386,4386,139,32,0,0,0,0,27,27,16,577,11,11,6,567,12758,12835,10,0.75,s,s,s,s,535,535,13,24,4035,4039,315,78,s,s,s,s
NOA,Nouvelle-Aquitaine,so,so,883,so,129,129,19,150,7488,7488,205,27,s,s,s,s,22,22,14,651,37,38,18,501,s,s,s,s,431,908,19,45,4109,4109,85,21,7308,7536,486,67,22787,30630,4,0
OCC,Occitanie,so,so,520,so,56,57,7,117,4200,4200,114,27,108,107,15,136,9,9,6,699,13,13,8,582,21042,21147,17,0.79,79,186,3,32,745,745,17,23,4704,4871,335,71,210,210,0,1
ARA,Auvergne-Rhône-Alpes,so,so,1825,so,310,325,71,230,16496,16496,435,26,132,138,32,246,31,34,20,639,50,53,25,490,40732,40568,31,0.75,275,330,7,24,3835,3835,86,22,18722,18896,1105,59,70090,94418,15,0
PAC,Provence-Alpes-Côte d'Azur,so,so,1638,so,s,s,s,s,s,s,s,s,85,84,10,114,1381,1380,561,406,17,17,6,389,23804,24155,20,0.82,127,128,5,41,2860,2860,58,20,7566,8144,383,51,8242,314500,5,1
DOM,Départements d’Outre-mer,so,so,81,so,0,0,0,0,4,4,0,37,0,0,0,0,1,1,2,1254,s,s,s,s,s,s,s,s,s,s,s,s,893,893,11,13,s,492,56,115,0,0,0,0
