SECTEUR;GAZR_USQFAB;GAZR_USQ2;GAZR_USQ3;GAZR_USQ4;GAZR_CSTP;LR_USQFAB;LR_USQ2;LR_USQ3;LR_USQ4;LR_CSTP;PR_USQ2;PR_USQ8;PR_CSTP
global;7684,6;998,2;249,2;1015,7;9947,7;78,7;7,5;10,1;151,1;247,4;76,6;142,3;218,9
07-09;31,7;0;0;0,6;32,4;24,6;s;s;35,9;61,1;0;0;0
10-12;2046,2;0,7;139,4;162;2348,3;13,4;1,9;2,2;11,6;29,1;2,2;0;2,2
13;55;0;0;18,2;73,2;0,3;0;0;1,8;2,2;0;0;0
14;3,9;0;0;s;s;0,3;0;0;0,6;0,9;0;0;0
15;3,3;0;0;4,1;7,4;0;0;0;0,5;0,5;0;0;0
16;41,5;0;s;s;61,7;2,8;s;s;9,7;14;0;0;0
17;600,5;0;48,6;53,4;702,6;1,2;s;s;3,9;5,4;0;0;0
18;s;s;0;s;33,8;0;0;0,1;0,3;0,4;0;0;0
20;1801,8;929,6;35;86,1;2852,4;6,4;s;s;6,6;s;67,6;137,7;205,3
21;133,9;0;0;34,2;168,1;0;0;0,5;0,4;0,9;0;0;0
22;152,1;s;s;s;201,8;0,6;0;0,1;3,5;4,2;0;0;0
23;1422,1;28,1;0,4;94,3;1545;s;s;0,7;20,3;s;s;s;1,4
24;834,5;s;s;s;948,9;s;s;0,9;8,6;s;4,8;3,7;8,5
25;149,9;1,6;0,1;84,2;235,8;0,4;0,3;0,4;9,3;10,4;s;0;s
26;s;s;0;22,8;s;s;0;s;0,8;s;0;0;0,1
27;92;0;0;45,3;137,3;0;s;s;1,9;2,4;s;s;0,2
28;47,3;0,7;0,3;69,5;117,8;4;s;s;4,9;s;s;0;s
29;134,9;0,5;2,9;92,1;230,4;0,5;0,7;0,2;2,7;4,1;0;0;0
30;s;s;0;51,7;s;s;0;0,8;1;s;0,1;0;0,1
31;5,8;0;0;8,6;14,4;0,5;0;0;1,9;2,3;0;0;0
32;18,2;0;0;18,1;36,4;0,1;0;0;0,6;0,7;0;0;0,1
33;s;s;0;12,6;s;4,5;s;s;3,7;s;0;0;0
38;55,3;0;0;1,2;56,5;1,4;s;s;20,5;22;0;0;0
