SECTEUR;BR_THER;BR_NTHE;BR_PROD;BR_VEND;BR_AUCO;BR_QAUP;BR_CSUP;BR_USQ1;BR_USQ2;BR_USQ4;BR_USQ6;BR_USQ7
global;4888,8;419,9;5308,7;1868,8;3471,4;98535,2;102006,6;58060,5;9734,9;10527,9;9332,6;14351,2
07-09;3,9;0,3;4,2;0,3;3,9;576,5;580,5;489,5;18,6;1,2;51,2;20,9
10-12;1667,5;91,1;1758,6;334,3;1424,3;18330,9;19755,2;11619,8;1567,4;43;1531,4;4995,3
13;0;0,3;0,3;s;s;s;s;661,6;72,1;0;s;s
14;0;s;s;0;s;s;s;47,7;1,2;0;s;7
15;0,3;0,3;0,6;0;0,6;132,5;133,1;70,9;s;s;31,4;s
16;148,2;1,6;149,8;130,5;19,4;1676,5;1695,9;1455,8;25,6;1,2;118,6;95,3
17;1397,1;24,5;1421,6;809,4;612,2;6686,7;7298,9;6458,1;126,7;0;400;314
18;0,5;s;s;s;s;s;s;584,9;17,4;s;174,4;s
20;1086,4;23,3;1109,7;341,7;799,6;16530,1;17329,7;10038,4;514;2904,7;686;3187,2
21;3,8;s;s;s;s;s;s;1284,9;152,3;4,7;s;786
22;73,3;1,7;75;22,9;52;5594,9;5646,9;3424,4;707;20,9;583,7;910,5
23;13,1;30,8;43,9;4,3;39,6;7663,3;7702,8;4654,7;1586;82,6;847,7;532,6
24;298,5;98,9;397,4;49,6;347,8;17814,6;18162,4;6922,1;2214;7148,8;1137,2;739,5
25;11,1;8,9;20;8,9;11,1;4101,3;4112,4;2131,4;623,3;124,4;874,4;360,5
26;s;s;s;0;s;s;s;669,8;94,2;4,7;s;744,2
27;3,8;0,7;4,5;0,7;3,8;2154,5;2158,3;782,6;747,7;62,8;359,3;205,8
28;10,7;0,9;11,6;s;s;s;s;1079,1;s;1,2;316,3;153,5
29;s;s;s;s;44,5;5152,7;5197,2;3504,7;598,8;100;510,5;483,7
30;36,8;0,4;37,2;s;s;s;s;852,3;s;18,6;346,5;369,8
31;s;s;6,9;s;s;s;s;330,2;27,9;0;s;30,2
32;0,4;0;0,4;0;0,4;685,3;685,7;301,2;107;3,5;114;159,3
33;10,4;0,5;10,9;0,6;10,3;570;580,3;274,4;27,9;1,2;219,8;58,1
38;s;s;178,9;143,9;34,9;509,7;544,6;425,6;s;0;82,6;s
