REGION;GAZR_USQFAB;GAZR_USQ2;GAZR_USQ3;GAZR_USQ4;GAZR_CSTP;LR_USQFAB;LR_USQ2;LR_USQ3;LR_USQ4;LR_CSTP;PR_USQ2;PR_USQ8;PR_CSTP
global;7684,6;998,2;249,2;1015,7;9947,7;78,7;7,5;10,1;151,1;247,4;76,6;142,3;218,9
11;329;s;s;s;554,7;0,4;0,5;0,2;8,8;9,9;0,3;s;s
24;302,8;0,7;42,8;53,5;399,8;0,9;0;1,2;6,6;8,7;0,1;0,1;0,2
27;352,3;10,8;0,2;67,7;431;3,2;1,9;0,4;8,2;13,7;s;s;s
28;791,2;s;6,7;s;s;12,2;0,7;1,6;7,4;21,8;s;s;1
32;1604,8;s;s;132,7;1878,8;14,4;s;s;16,3;31,5;s;s;s
44;1443,3;337,8;48,6;168,6;1998,3;9,3;2;0,8;25,1;37,2;s;s;s
52;s;s;0;s;353,3;3,7;0,6;0,8;13,5;18,7;0,3;0;0,3
53;294,1;0,7;0;40,4;335,2;2,6;0,3;0,6;6,6;10;s;0;s
75;498,4;s;s;69,4;582,5;6,6;0,1;1;15,3;23;0,5;6,5;7
76;s;s;0;s;306,2;4,9;s;s;9,6;15,2;0;0;0
84;705,8;70,7;14,6;172;963,1;7,4;1;0,6;19,7;28,8;0,3;16,4;16,7
93;815,4;s;s;s;s;5,2;0,1;1,3;6,6;13,2;9,3;91,9;101,2
97;0,3;0;0;0;0,3;7,8;0;0,4;7,3;15,5;0;0;0
